t,p,q,d,b,a
2024-02-15,8470.0,2800.0,1800.0,500.0,2300.0
2024-02-15,8480.0,2000.0,2000.0,0.0,2000.0
2024-02-15,8500.0,2200.0,2200.0,0.0,2200.0
2024-02-15,8520.0,600.0,600.0,0.0,600.0
2024-02-15,8540.0,1400.0,1400.0,0.0,1400.0
2024-02-15,8560.0,13000.0,10000.0,1500.0,11500.0
2024-02-15,8580.0,1000.0,1000.0,0.0,1000.0
2024-02-15,8590.0,11300.0,11300.0,0.0,11300.0
2024-02-15,8600.0,15800.0,15800.0,0.0,15800.0
2024-02-15,8630.0,7000.0,7000.0,0.0,7000.0
2024-02-15,8650.0,9100.0,5900.0,1600.0,7500.0
2024-02-15,8660.0,18300.0,-6700.0,12500.0,5800.0
2024-02-15,8670.0,24800.0,-10800.0,17800.0,7000.0
2024-02-15,8680.0,1500.0,1500.0,0.0,1500.0
2024-02-15,8690.0,25700.0,-17500.0,21600.0,4100.0
2024-02-15,8700.0,99300.0,-23900.0,61600.0,37700.0
2024-02-15,8710.0,60600.0,-4800.0,32700.0,27900.0
2024-02-15,8720.0,63200.0,9200.0,27000.0,36200.0
2024-02-15,8730.0,46000.0,10200.0,17900.0,28100.0
2024-02-15,8740.0,7900.0,-1500.0,4700.0,3200.0
2024-02-15,8750.0,29900.0,-18700.0,24300.0,5600.0
2024-02-15,8760.0,64100.0,47300.0,8400.0,55700.0
2024-02-15,8770.0,11400.0,5000.0,3200.0,8200.0
2024-02-15,8780.0,37600.0,17000.0,10300.0,27300.0
2024-02-15,8790.0,36800.0,14400.0,11200.0,25600.0
2024-02-15,8800.0,89400.0,38000.0,25700.0,63700.0
2024-02-15,8810.0,8600.0,6800.0,900.0,7700.0
2024-02-15,8820.0,7900.0,100.0,3900.0,4000.0
2024-02-15,8830.0,4500.0,4500.0,0.0,4500.0
2024-02-15,8840.0,700.0,700.0,0.0,700.0
2024-02-15,8850.0,1900.0,1900.0,0.0,1900.0
2024-02-16,8800.0,1300.0,-1300.0,1300.0,0.0
2024-02-16,8810.0,4500.0,-1300.0,2900.0,1600.0
2024-02-16,8820.0,36100.0,-18700.0,27400.0,8700.0
2024-02-16,8830.0,45400.0,-27400.0,36400.0,9000.0
2024-02-16,8840.0,117100.0,1900.0,57600.0,59500.0
2024-02-16,8850.0,55600.0,-4400.0,30000.0,25600.0
2024-02-16,8860.0,21100.0,5500.0,7800.0,13300.0
2024-02-16,8870.0,16200.0,8400.0,3900.0,12300.0
2024-02-16,8880.0,35700.0,-5100.0,20400.0,15300.0
2024-02-16,8890.0,15700.0,10500.0,2600.0,13100.0
2024-02-16,8900.0,8500.0,-8500.0,8500.0,0.0
2024-02-19,8620.0,400.0,-400.0,400.0,0.0
2024-02-19,8630.0,8300.0,-8300.0,8300.0,0.0
2024-02-19,8640.0,3600.0,3400.0,100.0,3500.0
2024-02-19,8650.0,10900.0,3100.0,3900.0,7000.0
2024-02-19,8660.0,10000.0,200.0,4900.0,5100.0
2024-02-19,8670.0,600.0,-400.0,500.0,100.0
2024-02-19,8680.0,15100.0,-14100.0,14600.0,500.0
2024-02-19,8690.0,26500.0,-7100.0,16800.0,9700.0
2024-02-19,8700.0,94900.0,-7700.0,51300.0,43600.0
2024-02-19,8710.0,29500.0,-6100.0,17800.0,11700.0
2024-02-19,8720.0,44600.0,-26400.0,35500.0,9100.0
2024-02-19,8730.0,29700.0,7100.0,11300.0,18400.0
2024-02-19,8740.0,12500.0,2100.0,5200.0,7300.0
2024-02-19,8750.0,33900.0,23500.0,5200.0,28700.0
2024-02-19,8760.0,20500.0,-7700.0,14100.0,6400.0
2024-02-19,8780.0,800.0,800.0,0.0,800.0
2024-02-19,8790.0,3200.0,800.0,1200.0,2000.0
2024-02-19,8800.0,9500.0,-9500.0,9500.0,0.0
2024-02-20,8710.0,6400.0,-6400.0,6400.0,0.0
2024-02-20,8720.0,11100.0,-11100.0,11100.0,0.0
2024-02-20,8730.0,13900.0,-7700.0,10800.0,3100.0
2024-02-20,8740.0,22100.0,-3100.0,12600.0,9500.0
2024-02-20,8750.0,55800.0,-29200.0,42500.0,13300.0
2024-02-20,8760.0,39800.0,-800.0,20300.0,19500.0
2024-02-20,8770.0,60100.0,28500.0,15800.0,44300.0
2024-02-20,8780.0,87000.0,57000.0,15000.0,72000.0
2024-02-20,8790.0,52900.0,20900.0,16000.0,36900.0
2024-02-20,8800.0,16900.0,-1500.0,9200.0,7700.0
2024-02-20,8810.0,10100.0,-6100.0,8100.0,2000.0
2024-02-20,8830.0,34300.0,2700.0,15800.0,18500.0
2024-02-20,8840.0,5100.0,5100.0,0.0,5100.0
2024-02-21,8690.0,1000.0,-1000.0,1000.0,0.0
2024-02-21,8700.0,81400.0,-68000.0,74700.0,6700.0
2024-02-21,8710.0,37300.0,-31500.0,34400.0,2900.0
2024-02-21,8720.0,4500.0,-3500.0,4000.0,500.0
2024-02-21,8730.0,15200.0,-14200.0,14700.0,500.0
2024-02-21,8740.0,6000.0,600.0,2700.0,3300.0
2024-02-21,8750.0,26300.0,8900.0,8700.0,17600.0
2024-02-21,8760.0,15200.0,7400.0,3900.0,11300.0
2024-02-21,8770.0,7500.0,5900.0,800.0,6700.0
2024-02-21,8780.0,300.0,300.0,0.0,300.0
2024-02-21,8790.0,27500.0,27500.0,0.0,27500.0
2024-02-21,8800.0,5800.0,5800.0,0.0,5800.0
2024-02-22,8770.0,200.0,-200.0,200.0,0.0
2024-02-22,8780.0,5700.0,1700.0,2000.0,3700.0
2024-02-22,8790.0,7900.0,-2100.0,5000.0,2900.0
2024-02-22,8800.0,28900.0,28900.0,0.0,28900.0
2024-02-22,8810.0,500.0,500.0,0.0,500.0
2024-02-22,8820.0,500.0,500.0,0.0,500.0
2024-02-22,8840.0,14600.0,14600.0,0.0,14600.0
2024-02-22,8850.0,13100.0,13100.0,0.0,13100.0
2024-02-22,8880.0,2900.0,2900.0,0.0,2900.0
2024-02-22,8900.0,13300.0,12100.0,600.0,12700.0
2024-02-22,8940.0,200.0,200.0,0.0,200.0
2024-02-22,8950.0,1400.0,1400.0,0.0,1400.0
2024-02-22,9000.0,94200.0,45000.0,24600.0,69600.0
2024-02-22,9010.0,5300.0,1700.0,1800.0,3500.0
2024-02-22,9030.0,500.0,-500.0,500.0,0.0
2024-02-22,9040.0,9800.0,-4200.0,7000.0,2800.0
2024-02-22,9050.0,48000.0,-31000.0,39500.0,8500.0
2024-02-22,9060.0,23300.0,5300.0,9000.0,14300.0
2024-02-22,9070.0,34500.0,-17700.0,26100.0,8400.0
2024-02-22,9080.0,38800.0,21200.0,8800.0,30000.0
2024-02-22,9090.0,14200.0,14000.0,100.0,14100.0
2024-02-22,9100.0,76500.0,32100.0,22200.0,54300.0
2024-02-22,9110.0,64600.0,-21400.0,43000.0,21600.0
2024-02-22,9120.0,46000.0,-5000.0,25500.0,20500.0
2024-02-22,9130.0,118700.0,-44900.0,81800.0,36900.0
