t,p,q,d,b,a
2024-07-09,49500.0,5300.0,-5300.0,5300.0,0.0
2024-07-09,49600.0,160800.0,10000.0,75400.0,85400.0
2024-07-09,49700.0,108500.0,75100.0,16700.0,91800.0
2024-07-09,49800.0,86000.0,36000.0,25000.0,61000.0
2024-07-09,49900.0,145200.0,-5200.0,75200.0,70000.0
2024-07-09,50000.0,239100.0,125900.0,56600.0,182500.0
2024-07-09,50100.0,58600.0,4200.0,27200.0,31400.0
2024-07-09,50200.0,61600.0,40800.0,10400.0,51200.0
2024-07-09,50300.0,4000.0,4000.0,0.0,4000.0
2024-07-10,49400.0,1100.0,-1100.0,1100.0,0.0
2024-07-10,49500.0,91100.0,-45100.0,68100.0,23000.0
2024-07-10,49600.0,19600.0,-19600.0,19600.0,0.0
2024-07-10,49700.0,92700.0,-76900.0,84800.0,7900.0
2024-07-10,49800.0,68200.0,13600.0,27300.0,40900.0
2024-07-10,49900.0,22400.0,2200.0,10100.0,12300.0
2024-07-10,50000.0,39000.0,-36600.0,37800.0,1200.0
2024-07-10,50100.0,48900.0,-4900.0,26900.0,22000.0
2024-07-10,50200.0,42900.0,4700.0,19100.0,23800.0
2024-07-10,50300.0,18900.0,1900.0,8500.0,10400.0
2024-07-10,50400.0,38500.0,12500.0,13000.0,25500.0
2024-07-10,50500.0,7500.0,7500.0,0.0,7500.0
2024-07-11,49400.0,218400.0,-218400.0,218400.0,0.0
2024-07-11,49500.0,331300.0,-153900.0,242600.0,88700.0
2024-07-11,49600.0,163500.0,134500.0,14500.0,149000.0
2024-07-11,49700.0,4200.0,-200.0,2200.0,2000.0
2024-07-11,49800.0,300.0,300.0,0.0,300.0
2024-07-12,49400.0,120500.0,-120500.0,120500.0,0.0
2024-07-12,49500.0,279500.0,134500.0,72500.0,207000.0
2024-07-12,49600.0,27500.0,-1900.0,14700.0,12800.0
2024-07-12,49700.0,21500.0,-13700.0,17600.0,3900.0
2024-07-12,49800.0,2100.0,2100.0,0.0,2100.0
2024-07-15,49400.0,700.0,-700.0,700.0,0.0
2024-07-15,49500.0,118500.0,-100700.0,109600.0,8900.0
2024-07-15,49600.0,51500.0,-10700.0,31100.0,20400.0
2024-07-15,49700.0,12500.0,12500.0,0.0,12500.0
2024-07-16,49500.0,12100.0,-12100.0,12100.0,0.0
2024-07-16,49600.0,64000.0,-35600.0,49800.0,14200.0
2024-07-16,49700.0,72400.0,-55600.0,64000.0,8400.0
2024-07-16,49800.0,75000.0,-9600.0,42300.0,32700.0
2024-07-16,49900.0,55900.0,38700.0,8600.0,47300.0
2024-07-16,50000.0,76500.0,54900.0,10800.0,65700.0
2024-07-16,50100.0,23500.0,-2700.0,13100.0,10400.0
2024-07-16,50200.0,500.0,500.0,0.0,500.0
2024-07-17,48600.0,19500.0,-19500.0,19500.0,0.0
2024-07-17,48700.0,5900.0,-5900.0,5900.0,0.0
2024-07-17,48800.0,31100.0,19700.0,5700.0,25400.0
2024-07-17,48900.0,16600.0,-9400.0,13000.0,3600.0
2024-07-17,49000.0,81000.0,-5200.0,43100.0,37900.0
2024-07-17,49100.0,32400.0,-3000.0,17700.0,14700.0
2024-07-17,49200.0,14800.0,-14800.0,14800.0,0.0
2024-07-17,49300.0,102800.0,-94400.0,98600.0,4200.0
2024-07-17,49400.0,281500.0,-153300.0,217400.0,64100.0
2024-07-17,49500.0,228000.0,45000.0,91500.0,136500.0
2024-07-17,49600.0,10500.0,4100.0,3200.0,7300.0
2024-07-17,49700.0,4000.0,-400.0,2200.0,1800.0
2024-07-18,48800.0,292500.0,-292500.0,292500.0,0.0
2024-07-18,48900.0,125300.0,-19300.0,72300.0,53000.0
2024-07-18,49000.0,28800.0,21400.0,3700.0,25100.0
2024-07-18,49100.0,10700.0,-100.0,5400.0,5300.0
2024-07-18,49200.0,2200.0,2200.0,0.0,2200.0
2024-07-18,49300.0,200.0,-200.0,200.0,0.0
2024-07-19,48900.0,40600.0,-37600.0,39100.0,1500.0
2024-07-19,49000.0,120000.0,-24400.0,72200.0,47800.0
2024-07-19,49100.0,40500.0,900.0,19800.0,20700.0
2024-07-19,49200.0,23800.0,14200.0,4800.0,19000.0
2024-07-22,48600.0,135200.0,-135200.0,135200.0,0.0
2024-07-22,48700.0,140900.0,48900.0,46000.0,94900.0
2024-07-22,48800.0,82800.0,-26200.0,54500.0,28300.0
2024-07-22,48900.0,17200.0,-7200.0,12200.0,5000.0
2024-07-22,49000.0,20800.0,600.0,10100.0,10700.0
2024-07-22,49100.0,12300.0,-4700.0,8500.0,3800.0
2024-07-23,48600.0,126800.0,-126800.0,126800.0,0.0
2024-07-23,48700.0,70600.0,-60200.0,65400.0,5200.0
2024-07-23,48800.0,277500.0,-253700.0,265600.0,11900.0
2024-07-23,48900.0,84100.0,57500.0,13300.0,70800.0
2024-07-23,49000.0,27400.0,-9000.0,18200.0,9200.0
2024-07-23,49100.0,64100.0,55900.0,4100.0,60000.0
2024-07-23,49200.0,10600.0,10600.0,0.0,10600.0
2024-07-24,48400.0,32900.0,-32900.0,32900.0,0.0
2024-07-24,48500.0,218700.0,-199300.0,209000.0,9700.0
2024-07-24,48600.0,403800.0,-241600.0,322700.0,81100.0
2024-07-24,48700.0,29500.0,25700.0,1900.0,27600.0
2024-07-25,48500.0,27000.0,-27000.0,27000.0,0.0
2024-07-25,48600.0,85700.0,10500.0,37600.0,48100.0
2024-07-25,48700.0,4800.0,4800.0,0.0,4800.0
2024-07-26,48600.0,12300.0,-12300.0,12300.0,0.0
2024-07-26,48700.0,24900.0,3500.0,10700.0,14200.0
2024-07-26,48800.0,36500.0,-12500.0,24500.0,12000.0
2024-07-26,48900.0,11000.0,400.0,5300.0,5700.0
2024-07-26,49000.0,3500.0,2500.0,500.0,3000.0
2024-07-29,48800.0,96900.0,-91900.0,94400.0,2500.0
2024-07-29,48900.0,27900.0,-1900.0,14900.0,13000.0
2024-07-29,49000.0,33800.0,-19800.0,26800.0,7000.0
2024-07-29,49100.0,14200.0,14200.0,0.0,14200.0
2024-07-29,49200.0,1500.0,1500.0,0.0,1500.0
2024-07-30,48700.0,8700.0,-8700.0,8700.0,0.0
2024-07-30,48800.0,198500.0,-56500.0,127500.0,71000.0
2024-07-30,48900.0,25300.0,-18900.0,22100.0,3200.0
2024-07-30,49000.0,15700.0,15700.0,0.0,15700.0
2024-07-30,49100.0,200.0,0.0,100.0,100.0
2024-07-30,49200.0,100.0,100.0,0.0,100.0
2024-07-31,48700.0,800.0,-800.0,800.0,0.0
2024-07-31,48800.0,52600.0,19600.0,16500.0,36100.0
2024-07-31,48900.0,47500.0,8300.0,19600.0,27900.0
2024-07-31,49000.0,47200.0,32200.0,7500.0,39700.0
2024-07-31,49100.0,4100.0,4100.0,0.0,4100.0
2024-08-01,48700.0,149600.0,-149600.0,149600.0,0.0
2024-08-01,48800.0,141500.0,-89100.0,115300.0,26200.0
2024-08-01,48900.0,8300.0,-7500.0,7900.0,400.0
2024-08-01,49000.0,3100.0,3100.0,0.0,3100.0
2024-08-02,48300.0,49300.0,-49300.0,49300.0,0.0
2024-08-02,48400.0,221200.0,-205800.0,213500.0,7700.0
2024-08-02,48500.0,308200.0,-142200.0,225200.0,83000.0
2024-08-02,48600.0,37700.0,27700.0,5000.0,32700.0
2024-08-05,46800.0,24100.0,-24100.0,24100.0,0.0
2024-08-05,46900.0,49400.0,-30000.0,39700.0,9700.0
2024-08-05,47000.0,96400.0,-5800.0,51100.0,45300.0
2024-08-05,47100.0,51100.0,-51100.0,51100.0,0.0
2024-08-05,47200.0,15900.0,-15900.0,15900.0,0.0
2024-08-05,47300.0,48400.0,-29600.0,39000.0,9400.0
2024-08-05,47400.0,75300.0,-61500.0,68400.0,6900.0
2024-08-05,47500.0,181300.0,147500.0,16900.0,164400.0
2024-08-05,47600.0,34600.0,-34400.0,34500.0,100.0
2024-08-05,47700.0,35600.0,-35200.0,35400.0,200.0
2024-08-05,47800.0,53500.0,-52900.0,53200.0,300.0
2024-08-05,47900.0,43900.0,-12100.0,28000.0,15900.0
2024-08-05,48000.0,214600.0,-207200.0,210900.0,3700.0
2024-08-05,48100.0,77700.0,-19300.0,48500.0,29200.0
2024-08-05,48200.0,23700.0,12300.0,5700.0,18000.0
2024-08-05,48300.0,12400.0,2800.0,4800.0,7600.0
2024-08-05,48400.0,300.0,300.0,0.0,300.0
2024-08-05,48500.0,600.0,200.0,200.0,400.0
2024-08-06,46600.0,2000.0,-2000.0,2000.0,0.0
2024-08-06,47200.0,26600.0,-26600.0,26600.0,0.0
2024-08-06,47400.0,13700.0,-11100.0,12400.0,1300.0
2024-08-06,47500.0,56500.0,-6300.0,31400.0,25100.0
2024-08-06,47600.0,34300.0,7900.0,13200.0,21100.0
2024-08-06,47700.0,4000.0,1200.0,1400.0,2600.0
2024-08-06,47800.0,22800.0,4200.0,9300.0,13500.0
2024-08-06,47900.0,6300.0,5500.0,400.0,5900.0
2024-08-06,48000.0,1100.0,1100.0,0.0,1100.0
2024-08-06,48500.0,3000.0,3000.0,0.0,3000.0
2024-08-07,47500.0,40500.0,-40500.0,40500.0,0.0
2024-08-07,47600.0,113100.0,-113100.0,113100.0,0.0
2024-08-07,47700.0,40900.0,-13700.0,27300.0,13600.0
2024-08-07,47800.0,46900.0,-17700.0,32300.0,14600.0
2024-08-07,47900.0,0.0,0.0,0.0,0.0
2024-08-08,47500.0,57000.0,-57000.0,57000.0,0.0
2024-08-08,47600.0,121100.0,-47900.0,84500.0,36600.0
2024-08-08,47700.0,8000.0,5600.0,1200.0,6800.0
2024-08-09,47600.0,38400.0,-38400.0,38400.0,0.0
2024-08-09,47700.0,65100.0,-23300.0,44200.0,20900.0
2024-08-09,47800.0,40100.0,12700.0,13700.0,26400.0
2024-08-09,47900.0,14300.0,3700.0,5300.0,9000.0
2024-08-09,48000.0,100.0,100.0,0.0,100.0
2024-08-12,47600.0,44700.0,6500.0,19100.0,25600.0
2024-08-12,47700.0,16600.0,6200.0,5200.0,11400.0
2024-08-12,47800.0,16200.0,15200.0,500.0,15700.0
2024-08-12,47900.0,73200.0,34400.0,19400.0,53800.0
2024-08-12,48000.0,78100.0,17700.0,30200.0,47900.0
2024-08-12,48100.0,16100.0,16100.0,0.0,16100.0
