t,p,q,d,b,a
2024-02-15,56600.0,8200.0,1600.0,3300.0,4900.0
2024-02-15,56700.0,89900.0,4700.0,42600.0,47300.0
2024-02-15,56800.0,90400.0,49600.0,20400.0,70000.0
2024-02-15,56900.0,20000.0,19400.0,300.0,19700.0
2024-02-15,57000.0,74800.0,17400.0,28700.0,46100.0
2024-02-15,57100.0,43400.0,31800.0,5800.0,37600.0
2024-02-15,57200.0,28500.0,27500.0,500.0,28000.0
2024-02-15,57300.0,25900.0,25500.0,200.0,25700.0
2024-02-15,57400.0,26800.0,5600.0,10600.0,16200.0
2024-02-15,57500.0,77200.0,35800.0,20700.0,56500.0
2024-02-15,57600.0,14000.0,9800.0,2100.0,11900.0
2024-02-15,57700.0,64500.0,-30100.0,47300.0,17200.0
2024-02-15,57800.0,118200.0,49000.0,34600.0,83600.0
2024-02-15,57900.0,81900.0,22100.0,29900.0,52000.0
2024-02-15,58000.0,132600.0,69200.0,31700.0,100900.0
2024-02-15,58100.0,40400.0,-5600.0,23000.0,17400.0
2024-02-15,58200.0,50000.0,18800.0,15600.0,34400.0
2024-02-15,58300.0,19100.0,-7500.0,13300.0,5800.0
2024-02-15,58400.0,8200.0,-600.0,4400.0,3800.0
2024-02-15,58500.0,71300.0,42300.0,14500.0,56800.0
2024-02-15,58600.0,22100.0,-2300.0,12200.0,9900.0
2024-02-15,58700.0,37900.0,-4900.0,21400.0,16500.0
2024-02-15,58800.0,54200.0,44800.0,4700.0,49500.0
2024-02-15,58900.0,57400.0,43400.0,7000.0,50400.0
2024-02-15,59000.0,3900.0,3900.0,0.0,3900.0
2024-02-16,58300.0,7900.0,-7900.0,7900.0,0.0
2024-02-16,58400.0,200.0,200.0,0.0,200.0
2024-02-16,58500.0,1300.0,1300.0,0.0,1300.0
2024-02-16,58600.0,11000.0,11000.0,0.0,11000.0
2024-02-16,58700.0,1700.0,900.0,400.0,1300.0
2024-02-16,58800.0,56600.0,-18600.0,37600.0,19000.0
2024-02-16,58900.0,45900.0,-25300.0,35600.0,10300.0
2024-02-16,59000.0,157400.0,-22000.0,89700.0,67700.0
2024-02-16,59100.0,105600.0,-11000.0,58300.0,47300.0
2024-02-16,59200.0,215200.0,-25200.0,120200.0,95000.0
2024-02-16,59300.0,96800.0,10600.0,43100.0,53700.0
2024-02-16,59400.0,31100.0,4500.0,13300.0,17800.0
2024-02-16,59500.0,93200.0,32800.0,30200.0,63000.0
2024-02-16,59600.0,24200.0,9200.0,7500.0,16700.0
2024-02-16,59700.0,13000.0,13000.0,0.0,13000.0
2024-02-16,59800.0,4500.0,4500.0,0.0,4500.0
2024-02-19,58400.0,39300.0,-39300.0,39300.0,0.0
2024-02-19,58500.0,88200.0,-50200.0,69200.0,19000.0
2024-02-19,58600.0,119800.0,-86400.0,103100.0,16700.0
2024-02-19,58700.0,122500.0,-7900.0,65200.0,57300.0
2024-02-19,58800.0,89500.0,-35900.0,62700.0,26800.0
2024-02-19,58900.0,96800.0,-16000.0,56400.0,40400.0
2024-02-19,59000.0,181400.0,21600.0,79900.0,101500.0
2024-02-19,59100.0,187500.0,-82500.0,135000.0,52500.0
2024-02-19,59200.0,142900.0,87100.0,27900.0,115000.0
2024-02-19,59300.0,3700.0,3700.0,0.0,3700.0
2024-02-20,58500.0,23700.0,-23700.0,23700.0,0.0
2024-02-20,58600.0,89200.0,-28800.0,59000.0,30200.0
2024-02-20,58700.0,85900.0,-1300.0,43600.0,42300.0
2024-02-20,58800.0,106500.0,-79100.0,92800.0,13700.0
2024-02-20,58900.0,114100.0,-5500.0,59800.0,54300.0
2024-02-20,59000.0,133300.0,-47900.0,90600.0,42700.0
2024-02-20,59100.0,21300.0,13100.0,4100.0,17200.0
2024-02-20,59200.0,12300.0,-10300.0,11300.0,1000.0
2024-02-20,59300.0,21200.0,17600.0,1800.0,19400.0
2024-02-21,58500.0,12900.0,-12900.0,12900.0,0.0
2024-02-21,58600.0,78900.0,-20500.0,49700.0,29200.0
2024-02-21,58700.0,101700.0,-32700.0,67200.0,34500.0
2024-02-21,58800.0,131400.0,-6400.0,68900.0,62500.0
2024-02-21,58900.0,69600.0,40600.0,14500.0,55100.0
2024-02-21,59000.0,35100.0,35100.0,0.0,35100.0
2024-02-21,59100.0,12300.0,12300.0,0.0,12300.0
2024-02-21,59200.0,18400.0,-1800.0,10100.0,8300.0
2024-02-21,59300.0,32700.0,-10500.0,21600.0,11100.0
2024-02-21,59400.0,130600.0,-28600.0,79600.0,51000.0
2024-02-21,59500.0,119100.0,103100.0,8000.0,111100.0
2024-02-21,59600.0,61600.0,21000.0,20300.0,41300.0
2024-02-21,59700.0,26600.0,26600.0,0.0,26600.0
2024-02-21,59800.0,27300.0,27300.0,0.0,27300.0
2024-02-21,59900.0,21800.0,20400.0,700.0,21100.0
2024-02-21,60000.0,53100.0,40100.0,6500.0,46600.0
2024-02-21,60100.0,22200.0,-14200.0,18200.0,4000.0
2024-02-21,60200.0,45100.0,8900.0,18100.0,27000.0
2024-02-21,60300.0,18700.0,-900.0,9800.0,8900.0
2024-02-21,60400.0,500.0,500.0,0.0,500.0
2024-02-22,59500.0,200.0,-200.0,200.0,0.0
2024-02-22,59600.0,36200.0,-5800.0,21000.0,15200.0
2024-02-22,59700.0,70000.0,-38400.0,54200.0,15800.0
2024-02-22,59800.0,71100.0,-14900.0,43000.0,28100.0
2024-02-22,59900.0,83700.0,-63500.0,73600.0,10100.0
2024-02-22,60000.0,124300.0,-29300.0,76800.0,47500.0
2024-02-22,60100.0,21900.0,-12100.0,17000.0,4900.0
2024-02-22,60200.0,26300.0,16700.0,4800.0,21500.0
2024-02-22,60300.0,5700.0,5700.0,0.0,5700.0
2024-02-23,58500.0,49000.0,-44000.0,46500.0,2500.0
2024-02-23,58600.0,55200.0,-28000.0,41600.0,13600.0
2024-02-23,58700.0,39300.0,-36300.0,37800.0,1500.0
2024-02-23,58800.0,17200.0,-17200.0,17200.0,0.0
2024-02-23,58900.0,62700.0,-6500.0,34600.0,28100.0
2024-02-23,59000.0,84700.0,-44100.0,64400.0,20300.0
2024-02-23,59100.0,51300.0,-28300.0,39800.0,11500.0
2024-02-23,59200.0,124100.0,-77900.0,101000.0,23100.0
2024-02-23,59300.0,190800.0,-24200.0,107500.0,83300.0
2024-02-23,59400.0,51400.0,-30400.0,40900.0,10500.0
2024-02-23,59500.0,87400.0,-14000.0,50700.0,36700.0
2024-02-23,59600.0,66800.0,-11200.0,39000.0,27800.0
2024-02-23,59700.0,26400.0,9200.0,8600.0,17800.0
2024-02-23,59800.0,21700.0,-9700.0,15700.0,6000.0
2024-02-23,59900.0,29700.0,-9300.0,19500.0,10200.0
2024-02-23,60000.0,18000.0,18000.0,0.0,18000.0
2024-02-26,58000.0,10400.0,-10400.0,10400.0,0.0
2024-02-26,58100.0,138600.0,-135400.0,137000.0,1600.0
2024-02-26,58200.0,135000.0,-82000.0,108500.0,26500.0
2024-02-26,58300.0,237000.0,-169000.0,203000.0,34000.0
2024-02-26,58400.0,158100.0,7100.0,75500.0,82600.0
2024-02-26,58500.0,70800.0,15400.0,27700.0,43100.0
2024-02-26,58600.0,8400.0,6000.0,1200.0,7200.0
2024-02-26,58800.0,200.0,-200.0,200.0,0.0
2024-02-26,58900.0,5100.0,5100.0,0.0,5100.0
2024-02-27,58300.0,2700.0,-2700.0,2700.0,0.0
2024-02-27,58400.0,4000.0,-4000.0,4000.0,0.0
2024-02-27,58500.0,33100.0,-33100.0,33100.0,0.0
2024-02-27,58600.0,14900.0,-8100.0,11500.0,3400.0
2024-02-27,58700.0,27400.0,-18400.0,22900.0,4500.0
2024-02-27,58800.0,127500.0,-43100.0,85300.0,42200.0
2024-02-27,58900.0,144700.0,51100.0,46800.0,97900.0
2024-02-27,59000.0,155200.0,30600.0,62300.0,92900.0
2024-02-27,59100.0,83000.0,-1000.0,42000.0,41000.0
2024-02-27,59200.0,31400.0,31400.0,0.0,31400.0
2024-02-27,59300.0,1400.0,1400.0,0.0,1400.0
2024-02-28,59200.0,100.0,-100.0,100.0,0.0
2024-02-28,59300.0,3600.0,-3600.0,3600.0,0.0
2024-02-28,59400.0,28000.0,-14800.0,21400.0,6600.0
2024-02-28,59500.0,59200.0,-4600.0,31900.0,27300.0
2024-02-28,59600.0,28400.0,19600.0,4400.0,24000.0
2024-02-28,59700.0,13400.0,13400.0,0.0,13400.0
2024-02-28,59800.0,6800.0,6800.0,0.0,6800.0
2024-02-28,59900.0,10700.0,10700.0,0.0,10700.0
2024-02-28,60000.0,112600.0,0.0,56300.0,56300.0
2024-02-28,60100.0,57600.0,-19400.0,38500.0,19100.0
2024-02-28,60200.0,54600.0,1800.0,26400.0,28200.0
2024-02-28,60300.0,105500.0,-20500.0,63000.0,42500.0
2024-02-28,60400.0,158300.0,-15100.0,86700.0,71600.0
2024-02-28,60500.0,269200.0,-28800.0,149000.0,120200.0
2024-02-28,60600.0,172400.0,-35200.0,103800.0,68600.0
2024-02-28,60700.0,165400.0,57000.0,54200.0,111200.0
2024-02-28,60800.0,70700.0,48100.0,11300.0,59400.0
2024-02-28,60900.0,41200.0,34000.0,3600.0,37600.0
2024-02-28,61000.0,122100.0,77700.0,22200.0,99900.0
2024-02-28,61100.0,11300.0,11300.0,0.0,11300.0
2024-02-28,61200.0,7400.0,6400.0,500.0,6900.0
2024-02-28,61300.0,400.0,400.0,0.0,400.0
2024-02-29,61000.0,24200.0,-24200.0,24200.0,0.0
2024-02-29,61100.0,90500.0,-40900.0,65700.0,24800.0
2024-02-29,61200.0,171900.0,-71300.0,121600.0,50300.0
2024-02-29,61300.0,166600.0,-27600.0,97100.0,69500.0
2024-02-29,61400.0,95800.0,10400.0,42700.0,53100.0
2024-02-29,61500.0,130800.0,-29800.0,80300.0,50500.0
2024-02-29,61600.0,60300.0,24500.0,17900.0,42400.0
2024-02-29,61700.0,35000.0,17400.0,8800.0,26200.0
2024-02-29,61800.0,46100.0,-3900.0,25000.0,21100.0
2024-02-29,61900.0,28000.0,600.0,13700.0,14300.0
2024-02-29,62000.0,51000.0,2600.0,24200.0,26800.0
2024-02-29,62100.0,38100.0,-12300.0,25200.0,12900.0
2024-02-29,62200.0,25700.0,25700.0,0.0,25700.0
2024-03-01,61200.0,22600.0,-14800.0,18700.0,3900.0
2024-03-01,61300.0,45900.0,-30700.0,38300.0,7600.0
2024-03-01,61400.0,125200.0,-44400.0,84800.0,40400.0
2024-03-01,61500.0,81500.0,-43700.0,62600.0,18900.0
2024-03-01,61600.0,94100.0,-45900.0,70000.0,24100.0
2024-03-01,61700.0,101600.0,-400.0,51000.0,50600.0
2024-03-01,61800.0,83500.0,-6100.0,44800.0,38700.0
2024-03-01,61900.0,40300.0,27700.0,6300.0,34000.0
2024-03-01,62000.0,64200.0,27000.0,18600.0,45600.0
2024-03-01,62100.0,59400.0,-37600.0,48500.0,10900.0
2024-03-01,62200.0,105700.0,-29300.0,67500.0,38200.0
2024-03-01,62300.0,114200.0,400.0,56900.0,57300.0
2024-03-01,62400.0,62700.0,16700.0,23000.0,39700.0
2024-03-01,62500.0,83500.0,57900.0,12800.0,70700.0
2024-03-01,62600.0,25900.0,17300.0,4300.0,21600.0
2024-03-01,62700.0,13800.0,13800.0,0.0,13800.0
2024-03-01,62800.0,25400.0,3600.0,10900.0,14500.0
