t,p,q,d,b,a
2024-07-08,55700.0,2800.0,-2800.0,2800.0,0.0
2024-07-08,55800.0,49600.0,-47200.0,48400.0,1200.0
2024-07-08,55900.0,87700.0,-73700.0,80700.0,7000.0
2024-07-08,56000.0,165800.0,-35200.0,100500.0,65300.0
2024-07-08,56100.0,53100.0,-27700.0,40400.0,12700.0
2024-07-08,56200.0,167600.0,-127400.0,147500.0,20100.0
2024-07-08,56300.0,174800.0,26800.0,74000.0,100800.0
2024-07-08,56400.0,73400.0,-29800.0,51600.0,21800.0
2024-07-08,56500.0,44000.0,-31400.0,37700.0,6300.0
2024-07-08,56600.0,55700.0,-51300.0,53500.0,2200.0
2024-07-08,56700.0,87400.0,-54800.0,71100.0,16300.0
2024-07-08,56800.0,38600.0,-13400.0,26000.0,12600.0
2024-07-08,56900.0,20100.0,-2900.0,11500.0,8600.0
2024-07-08,57000.0,34400.0,-19200.0,26800.0,7600.0
2024-07-08,57100.0,6600.0,-4400.0,5500.0,1100.0
2024-07-08,57200.0,20000.0,-18000.0,19000.0,1000.0
2024-07-08,57300.0,10100.0,-5900.0,8000.0,2100.0
2024-07-08,57400.0,7500.0,-4900.0,6200.0,1300.0
2024-07-08,57500.0,40100.0,-40100.0,40100.0,0.0
2024-07-08,57600.0,49700.0,-29500.0,39600.0,10100.0
2024-07-08,57700.0,69300.0,46100.0,11600.0,57700.0
2024-07-08,57800.0,1900.0,-300.0,1100.0,800.0
2024-07-08,57900.0,1100.0,-1100.0,1100.0,0.0
2024-07-08,58000.0,0.0,0.0,0.0,0.0
2024-07-09,55700.0,11300.0,-7700.0,9500.0,1800.0
2024-07-09,55800.0,38000.0,-8600.0,23300.0,14700.0
2024-07-09,55900.0,30300.0,3100.0,13600.0,16700.0
2024-07-09,56000.0,107600.0,24200.0,41700.0,65900.0
2024-07-09,56100.0,16700.0,5700.0,5500.0,11200.0
2024-07-09,56200.0,10900.0,5300.0,2800.0,8100.0
2024-07-09,56300.0,4100.0,-900.0,2500.0,1600.0
2024-07-09,56400.0,33400.0,30200.0,1600.0,31800.0
2024-07-09,56500.0,36500.0,36500.0,0.0,36500.0
2024-07-09,56600.0,14800.0,14800.0,0.0,14800.0
2024-07-09,56700.0,11000.0,9000.0,1000.0,10000.0
2024-07-09,56800.0,20000.0,13600.0,3200.0,16800.0
2024-07-09,56900.0,10800.0,10800.0,0.0,10800.0
2024-07-09,57000.0,21000.0,19000.0,1000.0,20000.0
2024-07-09,57100.0,20500.0,-9700.0,15100.0,5400.0
2024-07-09,57200.0,50100.0,1700.0,24200.0,25900.0
2024-07-09,57300.0,65100.0,-9300.0,37200.0,27900.0
2024-07-09,57400.0,161700.0,141300.0,10200.0,151500.0
2024-07-09,57500.0,121800.0,61400.0,30200.0,91600.0
2024-07-09,57600.0,150900.0,46700.0,52100.0,98800.0
2024-07-09,57700.0,113200.0,84400.0,14400.0,98800.0
2024-07-09,57800.0,74500.0,62100.0,6200.0,68300.0
