t,p,q,d,b,a
2024-02-15,7200.0,187356.0,-187156.0,187256.0,100.0
2024-02-15,7300.0,328532.0,328532.0,0.0,328532.0
2024-02-16,7200.0,11396.0,-11396.0,11396.0,0.0
2024-02-16,7300.0,1612029.0,-932399.0,1272214.0,339815.0
2024-02-16,7400.0,13148.0,13148.0,0.0,13148.0
2024-02-19,7200.0,22601.0,-22601.0,22601.0,0.0
2024-02-19,7300.0,977254.0,36948.0,470153.0,507101.0
2024-02-19,7400.0,146193.0,146193.0,0.0,146193.0
2024-02-20,7300.0,15600.0,-15600.0,15600.0,0.0
2024-02-20,7400.0,2309462.0,-89840.0,1199651.0,1109811.0
2024-02-20,7500.0,1670938.0,1428536.0,121201.0,1549737.0
2024-02-20,7600.0,100.0,100.0,0.0,100.0
2024-02-21,7300.0,48042.0,-48042.0,48042.0,0.0
2024-02-21,7400.0,806640.0,-244524.0,525582.0,281058.0
2024-02-21,7500.0,151701.0,151701.0,0.0,151701.0
2024-02-22,7300.0,1281117.0,-788317.0,1034717.0,246400.0
2024-02-22,7400.0,847628.0,391428.0,228100.0,619528.0
2024-02-22,7500.0,13601.0,13601.0,0.0,13601.0
2024-02-23,7200.0,1019305.0,-1019305.0,1019305.0,0.0
2024-02-23,7300.0,1129608.0,-516628.0,823118.0,306490.0
2024-02-23,7400.0,56100.0,56100.0,0.0,56100.0
2024-02-26,7100.0,19700.0,-19700.0,19700.0,0.0
2024-02-26,7200.0,782678.0,-617078.0,699878.0,82800.0
2024-02-26,7300.0,1139133.0,324531.0,407301.0,731832.0
2024-02-26,7400.0,93900.0,93900.0,0.0,93900.0
2024-02-27,7300.0,100.0,-100.0,100.0,0.0
2024-02-27,7400.0,1451440.0,-514438.0,982939.0,468501.0
2024-02-27,7500.0,1719293.0,841693.0,438800.0,1280493.0
2024-02-27,7600.0,22600.0,22600.0,0.0,22600.0
2024-02-28,7300.0,262400.0,-262400.0,262400.0,0.0
2024-02-28,7400.0,1167472.0,4128.0,581672.0,585800.0
2024-02-28,7500.0,287129.0,287129.0,0.0,287129.0
2024-02-29,7300.0,341100.0,-341100.0,341100.0,0.0
2024-02-29,7400.0,1255668.0,-536460.0,896064.0,359604.0
2024-02-29,7500.0,1065773.0,731027.0,167373.0,898400.0
2024-02-29,7600.0,5100.0,5100.0,0.0,5100.0
2024-03-01,7400.0,158611.0,-154411.0,156511.0,2100.0
2024-03-01,7500.0,2880198.0,-801428.0,1840813.0,1039385.0
2024-03-01,7600.0,1995999.0,1995999.0,0.0,1995999.0
2024-03-04,7600.0,20600.0,-20600.0,20600.0,0.0
2024-03-04,7700.0,442500.0,-205500.0,324000.0,118500.0
2024-03-04,7800.0,2525083.0,-257099.0,1391091.0,1133992.0
2024-03-04,7900.0,1028493.0,460091.0,284201.0,744292.0
2024-03-04,8000.0,223017.0,223017.0,0.0,223017.0
2024-03-05,7600.0,6400.0,-6400.0,6400.0,0.0
2024-03-05,7700.0,1678017.0,-657005.0,1167511.0,510506.0
2024-03-05,7800.0,822277.0,296477.0,262900.0,559377.0
2024-03-05,7900.0,6300.0,6300.0,0.0,6300.0
2024-03-06,7500.0,26400.0,-26400.0,26400.0,0.0
2024-03-06,7600.0,954141.0,-410541.0,682341.0,271800.0
2024-03-06,7700.0,926726.0,-420874.0,673800.0,252926.0
2024-03-06,7800.0,757299.0,-256299.0,506799.0,250500.0
2024-03-06,7900.0,38630.0,38630.0,0.0,38630.0
2024-03-07,7600.0,9600.0,-9600.0,9600.0,0.0
2024-03-07,7700.0,381905.0,-177895.0,279900.0,102005.0
2024-03-07,7800.0,957500.0,304900.0,326300.0,631200.0
2024-03-07,7900.0,1272336.0,460736.0,405800.0,866536.0
2024-03-07,8000.0,845590.0,557010.0,144290.0,701300.0
2024-03-07,8100.0,2623634.0,-509512.0,1566573.0,1057061.0
2024-03-07,8200.0,1794146.0,1467840.0,163153.0,1630993.0
2024-03-07,8300.0,60299.0,60299.0,0.0,60299.0
2024-03-08,7900.0,440330.0,306470.0,66930.0,373400.0
2024-03-08,8000.0,1779412.0,-470326.0,1124869.0,654543.0
2024-03-08,8100.0,1493191.0,358091.0,567550.0,925641.0
2024-03-08,8200.0,376469.0,-114543.0,245506.0,130963.0
2024-03-08,8300.0,80100.0,80100.0,0.0,80100.0
2024-03-11,7700.0,386800.0,-386800.0,386800.0,0.0
2024-03-11,7800.0,822478.0,-71278.0,446878.0,375600.0
2024-03-11,7900.0,966741.0,-677213.0,821977.0,144764.0
2024-03-11,8000.0,667046.0,362.0,333342.0,333704.0
2024-03-11,8100.0,427435.0,37965.0,194735.0,232700.0
2024-03-12,7600.0,49000.0,-49000.0,49000.0,0.0
2024-03-12,7700.0,2381234.0,-666558.0,1523896.0,857338.0
2024-03-12,7800.0,350240.0,342640.0,3800.0,346440.0
2024-03-12,7900.0,100.0,100.0,0.0,100.0
2024-03-13,7600.0,6300.0,-6300.0,6300.0,0.0
2024-03-13,7700.0,762100.0,-388100.0,575100.0,187000.0
2024-03-13,7800.0,619898.0,363098.0,128400.0,491498.0
2024-03-13,7900.0,939659.0,38967.0,450346.0,489313.0
2024-03-13,8000.0,1041421.0,551307.0,245057.0,796364.0
2024-03-13,8100.0,100084.0,100084.0,0.0,100084.0
2024-03-14,7900.0,344179.0,-344179.0,344179.0,0.0
2024-03-14,8000.0,2449506.0,-461196.0,1455351.0,994155.0
2024-03-14,8100.0,1003818.0,674936.0,164441.0,839377.0
2024-03-14,8200.0,216354.0,216354.0,0.0,216354.0
2024-03-15,7800.0,594371.0,-594371.0,594371.0,0.0
2024-03-15,7900.0,1807779.0,-355173.0,1081476.0,726303.0
2024-03-15,8000.0,143399.0,143399.0,0.0,143399.0
2024-03-18,7400.0,14490.0,-14490.0,14490.0,0.0
2024-03-18,7500.0,761732.0,-566932.0,664332.0,97400.0
2024-03-18,7600.0,1465319.0,-164611.0,814965.0,650354.0
2024-03-18,7700.0,1362181.0,-283881.0,823031.0,539150.0
2024-03-18,7800.0,439500.0,-303500.0,371500.0,68000.0
2024-03-18,7900.0,578579.0,-6421.0,292500.0,286079.0
2024-03-18,8000.0,54220.0,54220.0,0.0,54220.0
2024-03-19,7600.0,912413.0,-763613.0,838013.0,74400.0
2024-03-19,7700.0,1144265.0,584661.0,279802.0,864463.0
2024-03-19,7800.0,18800.0,18800.0,0.0,18800.0
2024-03-19,7900.0,5800.0,-5800.0,5800.0,0.0
2024-03-20,7600.0,338652.0,-338652.0,338652.0,0.0
2024-03-20,7700.0,904287.0,-89871.0,497079.0,407208.0
2024-03-20,7800.0,142126.0,142126.0,0.0,142126.0
2024-03-21,7800.0,238822.0,-238822.0,238822.0,0.0
2024-03-21,7900.0,2155598.0,891474.0,632062.0,1523536.0
2024-03-21,8000.0,185550.0,185550.0,0.0,185550.0
2024-03-22,7700.0,2000.0,-2000.0,2000.0,0.0
2024-03-22,7800.0,1214667.0,-913467.0,1064067.0,150600.0
2024-03-22,7900.0,1567374.0,-199288.0,883331.0,684043.0
2024-03-22,8000.0,294310.0,294310.0,0.0,294310.0
2024-03-25,7700.0,95700.0,-95700.0,95700.0,0.0
2024-03-25,7800.0,954796.0,-666596.0,810696.0,144100.0
2024-03-25,7900.0,1522661.0,-144469.0,833565.0,689096.0
2024-03-25,8000.0,38200.0,38200.0,0.0,38200.0
