t,p,q,d,b,a
2024-02-15,13350.0,54800.0,-54800.0,54800.0,0.0
2024-02-15,13400.0,859600.0,-184800.0,522200.0,337400.0
2024-02-15,13450.0,382200.0,14200.0,184000.0,198200.0
2024-02-15,13500.0,30800.0,30800.0,0.0,30800.0
2024-02-16,13350.0,17600.0,-17600.0,17600.0,0.0
2024-02-16,13400.0,40000.0,-19600.0,29800.0,10200.0
2024-02-16,13450.0,1175400.0,-325600.0,750500.0,424900.0
2024-02-16,13500.0,259200.0,259200.0,0.0,259200.0
2024-02-19,13450.0,6000.0,-6000.0,6000.0,0.0
2024-02-19,13500.0,939100.0,-290500.0,614800.0,324300.0
2024-02-19,13550.0,258000.0,257600.0,200.0,257800.0
2024-02-19,13600.0,516900.0,61700.0,227600.0,289300.0
2024-02-19,13650.0,1455200.0,-107000.0,781100.0,674100.0
2024-02-19,13700.0,483500.0,406500.0,38500.0,445000.0
2024-02-20,13500.0,10600.0,-10600.0,10600.0,0.0
2024-02-20,13550.0,199700.0,-199700.0,199700.0,0.0
2024-02-20,13600.0,1072600.0,60000.0,506300.0,566300.0
2024-02-20,13650.0,388300.0,198900.0,94700.0,293600.0
2024-02-20,13700.0,154300.0,-53700.0,104000.0,50300.0
2024-02-20,13750.0,13200.0,13200.0,0.0,13200.0
2024-02-21,13450.0,200.0,-200.0,200.0,0.0
2024-02-21,13500.0,671500.0,-633500.0,652500.0,19000.0
2024-02-21,13550.0,673000.0,-207600.0,440300.0,232700.0
2024-02-21,13600.0,601700.0,32500.0,284600.0,317100.0
2024-02-21,13650.0,21400.0,21400.0,0.0,21400.0
2024-02-22,13450.0,14900.0,-14900.0,14900.0,0.0
2024-02-22,13500.0,202000.0,-62000.0,132000.0,70000.0
2024-02-22,13550.0,343300.0,-179500.0,261400.0,81900.0
2024-02-22,13600.0,182200.0,182200.0,0.0,182200.0
2024-02-22,13650.0,112900.0,112900.0,0.0,112900.0
2024-02-22,13700.0,227000.0,227000.0,0.0,227000.0
2024-02-22,13750.0,185000.0,70400.0,57300.0,127700.0
2024-02-22,13800.0,1263800.0,-227600.0,745700.0,518100.0
2024-02-22,13850.0,2344100.0,720100.0,812000.0,1532100.0
2024-02-22,13900.0,1006900.0,548100.0,229400.0,777500.0
2024-02-22,13950.0,226800.0,132400.0,47200.0,179600.0
2024-02-22,14000.0,266300.0,266300.0,0.0,266300.0
2024-02-22,14050.0,7000.0,7000.0,0.0,7000.0
2024-02-23,13400.0,130400.0,-130400.0,130400.0,0.0
2024-02-23,13450.0,230000.0,-201600.0,215800.0,14200.0
2024-02-23,13500.0,387900.0,-225700.0,306800.0,81100.0
2024-02-23,13550.0,306000.0,-106600.0,206300.0,99700.0
2024-02-23,13600.0,253400.0,-132000.0,192700.0,60700.0
2024-02-23,13650.0,263200.0,-41800.0,152500.0,110700.0
2024-02-23,13700.0,433300.0,-425900.0,429600.0,3700.0
2024-02-23,13750.0,796300.0,162300.0,317000.0,479300.0
2024-02-23,13800.0,672900.0,-225500.0,449200.0,223700.0
2024-02-23,13850.0,249800.0,19600.0,115100.0,134700.0
2024-02-23,13900.0,235400.0,174200.0,30600.0,204800.0
2024-02-26,13250.0,74200.0,-74200.0,74200.0,0.0
