t,p,q,d,b,a
2024-07-09,28600.0,6300.0,6300.0,0.0,6300.0
2024-07-09,28800.0,5600.0,-5600.0,5600.0,0.0
2024-07-09,28900.0,3900.0,-3900.0,3900.0,0.0
2024-07-09,29000.0,32300.0,700.0,15800.0,16500.0
2024-07-09,29100.0,18900.0,-6100.0,12500.0,6400.0
2024-07-09,29200.0,82100.0,-17500.0,49800.0,32300.0
2024-07-09,29300.0,32900.0,-16500.0,24700.0,8200.0
2024-07-09,29400.0,33400.0,-30200.0,31800.0,1600.0
2024-07-09,29500.0,59800.0,-23000.0,41400.0,18400.0
2024-07-09,29600.0,28500.0,4100.0,12200.0,16300.0
2024-07-09,29700.0,16200.0,2200.0,7000.0,9200.0
2024-07-09,29900.0,0.0,0.0,0.0,0.0
2024-07-09,30000.0,100.0,100.0,0.0,100.0
2024-07-09,30100.0,2500.0,300.0,1100.0,1400.0
2024-07-09,30200.0,11800.0,-9400.0,10600.0,1200.0
2024-07-09,30300.0,2000.0,2000.0,0.0,2000.0
2024-07-09,30400.0,100.0,100.0,0.0,100.0
2024-07-10,29000.0,18300.0,-4900.0,11600.0,6700.0
2024-07-10,29100.0,11400.0,800.0,5300.0,6100.0
2024-07-10,29200.0,19000.0,-13600.0,16300.0,2700.0
2024-07-10,29300.0,37200.0,-400.0,18800.0,18400.0
2024-07-10,29400.0,3900.0,3900.0,0.0,3900.0
2024-07-10,29500.0,4600.0,600.0,2000.0,2600.0
2024-07-10,29600.0,4400.0,2600.0,900.0,3500.0
2024-07-10,29700.0,5800.0,-5600.0,5700.0,100.0
2024-07-10,29800.0,41000.0,6800.0,17100.0,23900.0
2024-07-10,29900.0,23500.0,10500.0,6500.0,17000.0
2024-07-10,30000.0,39900.0,19300.0,10300.0,29600.0
2024-07-10,30100.0,24300.0,-3700.0,14000.0,10300.0
2024-07-10,30200.0,23000.0,-5000.0,14000.0,9000.0
2024-07-10,30300.0,22900.0,-15300.0,19100.0,3800.0
2024-07-10,30400.0,31600.0,2200.0,14700.0,16900.0
2024-07-10,30500.0,31400.0,-8400.0,19900.0,11500.0
2024-07-10,30600.0,6800.0,-1000.0,3900.0,2900.0
2024-07-10,30900.0,1000.0,1000.0,0.0,1000.0
2024-07-11,29700.0,2500.0,-2500.0,2500.0,0.0
2024-07-11,29800.0,26200.0,-12000.0,19100.0,7100.0
2024-07-11,29900.0,40900.0,-15500.0,28200.0,12700.0
2024-07-11,30000.0,29800.0,800.0,14500.0,15300.0
2024-07-11,30100.0,2600.0,-2600.0,2600.0,0.0
2024-07-11,30200.0,7200.0,-3600.0,5400.0,1800.0
2024-07-11,30300.0,30100.0,-5300.0,17700.0,12400.0
2024-07-11,30400.0,2900.0,-2700.0,2800.0,100.0
2024-07-11,30500.0,22200.0,-1600.0,11900.0,10300.0
2024-07-11,30600.0,9300.0,-2300.0,5800.0,3500.0
2024-07-11,30700.0,500.0,-100.0,300.0,200.0
2024-07-11,30800.0,5300.0,4700.0,300.0,5000.0
2024-07-12,30300.0,27800.0,-16600.0,22200.0,5600.0
2024-07-12,30400.0,55100.0,-11500.0,33300.0,21800.0
2024-07-12,30500.0,83800.0,-20400.0,52100.0,31700.0
2024-07-12,30600.0,53600.0,-11200.0,32400.0,21200.0
2024-07-12,30700.0,13600.0,-4400.0,9000.0,4600.0
2024-07-12,30800.0,44900.0,15500.0,14700.0,30200.0
2024-07-12,30900.0,11900.0,8100.0,1900.0,10000.0
2024-07-12,31000.0,13500.0,13500.0,0.0,13500.0
2024-07-12,31100.0,3200.0,3200.0,0.0,3200.0
2024-07-12,31200.0,2500.0,-2500.0,2500.0,0.0
2024-07-15,30000.0,13000.0,-13000.0,13000.0,0.0
2024-07-15,30100.0,26600.0,-26600.0,26600.0,0.0
2024-07-15,30200.0,12500.0,-12500.0,12500.0,0.0
2024-07-15,30300.0,13600.0,-3600.0,8600.0,5000.0
2024-07-15,30400.0,9400.0,-8200.0,8800.0,600.0
2024-07-15,30500.0,19300.0,700.0,9300.0,10000.0
2024-07-15,30600.0,17600.0,4600.0,6500.0,11100.0
2024-07-15,30800.0,800.0,200.0,300.0,500.0
2024-07-15,30900.0,900.0,-300.0,600.0,300.0
2024-07-16,28000.0,13600.0,-13600.0,13600.0,0.0
2024-07-16,28100.0,20400.0,-19200.0,19800.0,600.0
2024-07-16,28200.0,45800.0,14200.0,15800.0,30000.0
2024-07-16,28300.0,21600.0,21600.0,0.0,21600.0
2024-07-16,28400.0,20800.0,-8400.0,14600.0,6200.0
2024-07-16,28500.0,42900.0,-31500.0,37200.0,5700.0
2024-07-16,28600.0,41700.0,-10100.0,25900.0,15800.0
2024-07-16,28700.0,19700.0,1300.0,9200.0,10500.0
2024-07-16,28800.0,46400.0,15600.0,15400.0,31000.0
2024-07-16,28900.0,10100.0,100.0,5000.0,5100.0
2024-07-16,29000.0,17400.0,600.0,8400.0,9000.0
2024-07-16,29100.0,5500.0,-3300.0,4400.0,1100.0
2024-07-16,29200.0,24600.0,-19600.0,22100.0,2500.0
2024-07-16,29300.0,36400.0,-26200.0,31300.0,5100.0
2024-07-16,29400.0,9300.0,-7100.0,8200.0,1100.0
2024-07-16,29500.0,11000.0,-4400.0,7700.0,3300.0
2024-07-16,29600.0,10400.0,-8000.0,9200.0,1200.0
2024-07-16,29800.0,9900.0,-9900.0,9900.0,0.0
2024-07-16,29900.0,2800.0,-2800.0,2800.0,0.0
2024-07-16,30000.0,35000.0,-17200.0,26100.0,8900.0
2024-07-16,30100.0,9600.0,1400.0,4100.0,5500.0
2024-07-16,30200.0,16600.0,-8000.0,12300.0,4300.0
2024-07-16,30300.0,3600.0,2600.0,500.0,3100.0
2024-07-16,30400.0,200.0,0.0,100.0,100.0
2024-07-16,30500.0,4400.0,-4000.0,4200.0,200.0
2024-07-16,30600.0,2200.0,2200.0,0.0,2200.0
2024-07-16,30700.0,2600.0,2600.0,0.0,2600.0
2024-07-17,25600.0,9900.0,-9900.0,9900.0,0.0
2024-07-17,25700.0,0.0,0.0,0.0,0.0
2024-07-17,25800.0,25400.0,-24200.0,24800.0,600.0
2024-07-17,25900.0,33800.0,-1800.0,17800.0,16000.0
2024-07-17,26000.0,90000.0,-50600.0,70300.0,19700.0
2024-07-17,26100.0,3000.0,3000.0,0.0,3000.0
2024-07-17,26300.0,5100.0,2900.0,1100.0,4000.0
2024-07-17,26400.0,600.0,-600.0,600.0,0.0
2024-07-17,26500.0,4100.0,3100.0,500.0,3600.0
2024-07-17,26600.0,6300.0,-2100.0,4200.0,2100.0
2024-07-17,26700.0,2700.0,-1500.0,2100.0,600.0
2024-07-17,26800.0,17100.0,-14100.0,15600.0,1500.0
2024-07-17,26900.0,7000.0,-3400.0,5200.0,1800.0
