t,p,q,d,b,a
2024-02-15,11700.0,282700.0,-282700.0,282700.0,0.0
2024-02-15,11750.0,5140800.0,1760200.0,1690300.0,3450500.0
2024-02-15,11800.0,4342400.0,-667400.0,2504900.0,1837500.0
2024-02-15,11850.0,3578000.0,2333000.0,622500.0,2955500.0
2024-02-15,11900.0,9301700.0,-381500.0,4841600.0,4460100.0
2024-02-15,11950.0,5295600.0,2289400.0,1503100.0,3792500.0
2024-02-15,12000.0,5782200.0,2102800.0,1839700.0,3942500.0
2024-02-15,12050.0,4770800.0,-371400.0,2571100.0,2199700.0
2024-02-15,12100.0,4840700.0,4450900.0,194900.0,4645800.0
2024-02-15,12150.0,403500.0,403500.0,0.0,403500.0
2024-02-16,11850.0,23100.0,-23100.0,23100.0,0.0
2024-02-16,11900.0,6316200.0,-4624200.0,5470200.0,846000.0
2024-02-16,11950.0,9567500.0,1663300.0,3952100.0,5615400.0
2024-02-16,12000.0,2983900.0,-480700.0,1732300.0,1251600.0
2024-02-16,12050.0,1299900.0,1061300.0,119300.0,1180600.0
2024-02-16,12100.0,25400.0,25400.0,0.0,25400.0
2024-02-19,11850.0,179000.0,-179000.0,179000.0,0.0
2024-02-19,11900.0,7555700.0,-4047500.0,5801600.0,1754100.0
2024-02-19,11950.0,9741500.0,1781100.0,3980200.0,5761300.0
2024-02-19,12000.0,3447200.0,1349800.0,1048700.0,2398500.0
2024-02-19,12050.0,1759400.0,319800.0,719800.0,1039600.0
2024-02-19,12100.0,124600.0,124600.0,0.0,124600.0
2024-02-20,11800.0,1269400.0,-1269400.0,1269400.0,0.0
2024-02-20,11850.0,7445700.0,-807100.0,4126400.0,3319300.0
2024-02-20,11900.0,3769900.0,-1916700.0,2843300.0,926600.0
2024-02-20,11950.0,6888900.0,-1795100.0,4342000.0,2546900.0
2024-02-20,12000.0,2912200.0,-237200.0,1574700.0,1337500.0
2024-02-20,12050.0,295400.0,135800.0,79800.0,215600.0
2024-02-20,12100.0,2800.0,2800.0,0.0,2800.0
2024-02-21,11800.0,1013500.0,-1013500.0,1013500.0,0.0
2024-02-21,11850.0,7202800.0,-3336200.0,5269500.0,1933300.0
2024-02-21,11900.0,6515800.0,230600.0,3142600.0,3373200.0
2024-02-21,11950.0,5646200.0,-461600.0,3053900.0,2592300.0
2024-02-21,12000.0,574700.0,574700.0,0.0,574700.0
2024-02-22,11950.0,147500.0,-147500.0,147500.0,0.0
2024-02-22,12000.0,1943600.0,1939000.0,2300.0,1941300.0
2024-02-22,12050.0,1448300.0,802700.0,322800.0,1125500.0
2024-02-22,12100.0,7071600.0,721000.0,3175300.0,3896300.0
2024-02-22,12150.0,14164100.0,-1127300.0,7645700.0,6518400.0
2024-02-22,12200.0,10350100.0,1621900.0,4364100.0,5986000.0
2024-02-22,12250.0,5296300.0,2660300.0,1318000.0,3978300.0
2024-02-22,12300.0,3788500.0,3788500.0,0.0,3788500.0
2024-02-22,12350.0,100.0,100.0,0.0,100.0
2024-02-23,11850.0,1131600.0,-1131600.0,1131600.0,0.0
2024-02-23,11900.0,4910000.0,-1932600.0,3421300.0,1488700.0
2024-02-23,11950.0,2896300.0,62700.0,1416800.0,1479500.0
2024-02-23,12000.0,2325000.0,-1150200.0,1737600.0,587400.0
2024-02-23,12050.0,1885800.0,-1662400.0,1774100.0,111700.0
2024-02-23,12100.0,6693300.0,-2339900.0,4516600.0,2176700.0
2024-02-23,12150.0,7310300.0,-3371500.0,5340900.0,1969400.0
2024-02-23,12200.0,13178500.0,5629900.0,3774300.0,9404200.0
2024-02-23,12250.0,7585000.0,5248600.0,1168200.0,6416800.0
2024-02-23,12300.0,212900.0,212900.0,0.0,212900.0
2024-02-26,11700.0,4007700.0,-4007700.0,4007700.0,0.0
