t,p,q,d,b,a
2024-02-15,17600.0,12050.0,-12050.0,12050.0,0.0
2024-02-15,17700.0,5594.0,790.0,2402.0,3192.0
2024-02-15,17800.0,5125340.0,-4153638.0,4639489.0,485851.0
2024-02-15,17900.0,5553703.0,1309723.0,2121990.0,3431713.0
2024-02-15,18000.0,275230.0,275230.0,0.0,275230.0
2024-02-16,16500.0,5511.0,5489.0,11.0,5500.0
2024-02-16,17800.0,928385.0,-928385.0,928385.0,0.0
2024-02-16,17900.0,7565172.0,-632776.0,4098974.0,3466198.0
2024-02-16,18000.0,3114443.0,921973.0,1096235.0,2018208.0
2024-02-16,18100.0,171404.0,171404.0,0.0,171404.0
2024-02-19,17600.0,200797.0,-200797.0,200797.0,0.0
2024-02-19,17700.0,5850793.0,-1115037.0,3482915.0,2367878.0
2024-02-19,17800.0,6358071.0,497423.0,2930324.0,3427747.0
2024-02-19,17900.0,1723112.0,465528.0,628792.0,1094320.0
2024-02-19,18000.0,205923.0,205923.0,0.0,205923.0
2024-02-20,16600.0,19.0,-19.0,19.0,0.0
2024-02-20,17800.0,900.0,-900.0,900.0,0.0
2024-02-20,17900.0,1144560.0,-797160.0,970860.0,173700.0
2024-02-20,18000.0,8952687.0,-3766611.0,6359649.0,2593038.0
2024-02-20,18100.0,9213556.0,182184.0,4515686.0,4697870.0
2024-02-20,18200.0,3230321.0,1650867.0,789727.0,2440594.0
2024-02-20,18300.0,850250.0,850250.0,0.0,850250.0
2024-02-21,17800.0,4110465.0,-4110465.0,4110465.0,0.0
2024-02-21,17900.0,3526120.0,-1129628.0,2327874.0,1198246.0
2024-02-21,18000.0,1713467.0,928607.0,392430.0,1321037.0
2024-02-21,18100.0,102454.0,102454.0,0.0,102454.0
2024-02-21,18200.0,5000.0,5000.0,0.0,5000.0
2024-02-22,17700.0,866700.0,-862500.0,864600.0,2100.0
2024-02-22,17800.0,4009132.0,-2267890.0,3138511.0,870621.0
2024-02-22,17900.0,4771208.0,953458.0,1908875.0,2862333.0
2024-02-22,18000.0,2009876.0,546876.0,731500.0,1278376.0
2024-02-22,18100.0,122200.0,122200.0,0.0,122200.0
2024-02-23,16100.0,1900.0,-1900.0,1900.0,0.0
2024-02-23,17200.0,189399.0,-189399.0,189399.0,0.0
2024-02-23,17300.0,4436862.0,290156.0,2073353.0,2363509.0
2024-02-23,17400.0,2885387.0,-1445189.0,2165288.0,720099.0
