t,p,q,d,b,a
2024-07-08,20500.0,58500.0,-58500.0,58500.0,0.0
2024-07-08,20550.0,390900.0,-312300.0,351600.0,39300.0
2024-07-08,20600.0,1350400.0,-124200.0,737300.0,613100.0
2024-07-08,20650.0,353600.0,155200.0,99200.0,254400.0
2024-07-08,20700.0,79800.0,-5600.0,42700.0,37100.0
2024-07-08,20750.0,23200.0,5800.0,8700.0,14500.0
2024-07-08,20800.0,96600.0,44000.0,26300.0,70300.0
2024-07-08,20850.0,30800.0,-10800.0,20800.0,10000.0
2024-07-08,20900.0,8600.0,8600.0,0.0,8600.0
2024-07-09,20550.0,117400.0,-117400.0,117400.0,0.0
2024-07-09,20600.0,355200.0,-114400.0,234800.0,120400.0
2024-07-09,20650.0,500500.0,-15100.0,257800.0,242700.0
2024-07-09,20700.0,258800.0,27000.0,115900.0,142900.0
2024-07-09,20750.0,901200.0,-97000.0,499100.0,402100.0
2024-07-09,20800.0,418600.0,118400.0,150100.0,268500.0
2024-07-09,20850.0,106800.0,97800.0,4500.0,102300.0
2024-07-09,20900.0,2400.0,2400.0,0.0,2400.0
2024-07-10,20700.0,0.0,0.0,0.0,0.0
2024-07-10,20750.0,132400.0,-27800.0,80100.0,52300.0
2024-07-10,20800.0,583500.0,10100.0,286700.0,296800.0
2024-07-10,20850.0,1596500.0,318100.0,639200.0,957300.0
2024-07-10,20900.0,318000.0,246000.0,36000.0,282000.0
2024-07-10,20950.0,25400.0,25400.0,0.0,25400.0
2024-07-11,20800.0,108900.0,58100.0,25400.0,83500.0
2024-07-11,20850.0,243700.0,-131100.0,187400.0,56300.0
2024-07-11,20900.0,1998400.0,367800.0,815300.0,1183100.0
2024-07-11,20950.0,211000.0,211000.0,0.0,211000.0
2024-07-12,20750.0,292700.0,-26900.0,159800.0,132900.0
2024-07-12,20800.0,897200.0,280800.0,308200.0,589000.0
2024-07-12,20850.0,947100.0,-135300.0,541200.0,405900.0
2024-07-12,20900.0,381300.0,109100.0,136100.0,245200.0
2024-07-12,20950.0,10500.0,10500.0,0.0,10500.0
2024-07-15,20600.0,32600.0,-32600.0,32600.0,0.0
2024-07-15,20650.0,191400.0,-62400.0,126900.0,64500.0
2024-07-15,20700.0,2011900.0,1244300.0,383800.0,1628100.0
2024-07-15,20750.0,121900.0,114700.0,3600.0,118300.0
2024-07-15,20800.0,27300.0,27300.0,0.0,27300.0
2024-07-16,20600.0,7300.0,-7300.0,7300.0,0.0
2024-07-16,20650.0,329600.0,103400.0,113100.0,216500.0
2024-07-16,20700.0,96300.0,300.0,48000.0,48300.0
2024-07-16,20750.0,1000200.0,740800.0,129700.0,870500.0
2024-07-16,20800.0,699800.0,408600.0,145600.0,554200.0
2024-07-16,20850.0,272300.0,202100.0,35100.0,237200.0
2024-07-16,20900.0,26800.0,26800.0,0.0,26800.0
2024-07-17,20650.0,54600.0,-54600.0,54600.0,0.0
2024-07-17,20700.0,404500.0,-341500.0,373000.0,31500.0
2024-07-17,20750.0,613400.0,275800.0,168800.0,444600.0
2024-07-17,20800.0,984800.0,387400.0,298700.0,686100.0
2024-07-17,20850.0,416300.0,290900.0,62700.0,353600.0
2024-07-17,20900.0,13900.0,13900.0,0.0,13900.0
2024-07-18,20600.0,101400.0,-101400.0,101400.0,0.0
2024-07-18,20650.0,1317300.0,122700.0,597300.0,720000.0
2024-07-18,20700.0,340900.0,151500.0,94700.0,246200.0
2024-07-18,20750.0,719800.0,44800.0,337500.0,382300.0
2024-07-18,20800.0,131200.0,119400.0,5900.0,125300.0
2024-07-18,20850.0,82500.0,76700.0,2900.0,79600.0
2024-07-18,20900.0,71600.0,23800.0,23900.0,47700.0
2024-07-18,20950.0,50800.0,50400.0,200.0,50600.0
2024-07-18,21000.0,17900.0,17900.0,0.0,17900.0
2024-07-19,20800.0,22900.0,-22900.0,22900.0,0.0
2024-07-19,20850.0,121400.0,-107000.0,114200.0,7200.0
2024-07-19,20900.0,588900.0,119500.0,234700.0,354200.0
2024-07-19,20950.0,765500.0,325500.0,220000.0,545500.0
2024-07-19,21000.0,644000.0,317800.0,163100.0,480900.0
2024-07-19,21050.0,262700.0,65500.0,98600.0,164100.0
2024-07-19,21100.0,1900.0,1900.0,0.0,1900.0
2024-07-22,20850.0,3400.0,-3400.0,3400.0,0.0
2024-07-22,20900.0,391800.0,-136000.0,263900.0,127900.0
2024-07-22,20950.0,1542200.0,97400.0,722400.0,819800.0
2024-07-22,21000.0,373700.0,90300.0,141700.0,232000.0
2024-07-22,21050.0,306000.0,167600.0,69200.0,236800.0
2024-07-22,21100.0,74800.0,69600.0,2600.0,72200.0
2024-07-22,21150.0,23600.0,20000.0,1800.0,21800.0
2024-07-22,21200.0,600.0,600.0,0.0,600.0
2024-07-23,21050.0,5600.0,1800.0,1900.0,3700.0
2024-07-23,21100.0,220900.0,29700.0,95600.0,125300.0
2024-07-23,21150.0,834300.0,-48700.0,441500.0,392800.0
2024-07-23,21200.0,336000.0,10800.0,162600.0,173400.0
2024-07-23,21250.0,315900.0,57300.0,129300.0,186600.0
2024-07-23,21300.0,288500.0,-8100.0,148300.0,140200.0
2024-07-23,21350.0,98000.0,-27200.0,62600.0,35400.0
2024-07-23,21400.0,181900.0,9100.0,86400.0,95500.0
