t,p,q,d,b,a
2024-02-15,35000.0,398100.0,-398100.0,398100.0,0.0
2024-02-15,35050.0,690800.0,-325600.0,508200.0,182600.0
2024-02-15,35100.0,1469800.0,-293200.0,881500.0,588300.0
2024-02-15,35150.0,929600.0,-120400.0,525000.0,404600.0
2024-02-15,35200.0,3107200.0,-2540000.0,2823600.0,283600.0
2024-02-15,35250.0,4085900.0,-443300.0,2264600.0,1821300.0
2024-02-15,35300.0,1895500.0,534700.0,680400.0,1215100.0
2024-02-15,35350.0,529800.0,-91000.0,310400.0,219400.0
2024-02-15,35400.0,586700.0,128500.0,229100.0,357600.0
2024-02-15,35450.0,442500.0,145300.0,148600.0,293900.0
2024-02-15,35500.0,3100.0,3100.0,0.0,3100.0
2024-02-16,34900.0,711800.0,-711800.0,711800.0,0.0
2024-02-16,34950.0,815600.0,-333400.0,574500.0,241100.0
2024-02-16,35000.0,5159600.0,-916600.0,3038100.0,2121500.0
2024-02-16,35050.0,2768000.0,-1232600.0,2000300.0,767700.0
2024-02-16,35100.0,4271300.0,93900.0,2088700.0,2182600.0
2024-02-16,35150.0,1596400.0,128000.0,734200.0,862200.0
2024-02-16,35200.0,799600.0,317000.0,241300.0,558300.0
2024-02-16,35250.0,328000.0,288000.0,20000.0,308000.0
2024-02-16,35300.0,263000.0,-75200.0,169100.0,93900.0
2024-02-16,35350.0,516600.0,328800.0,93900.0,422700.0
2024-02-16,35400.0,44500.0,44500.0,0.0,44500.0
2024-02-19,34400.0,6900.0,-6900.0,6900.0,0.0
2024-02-19,34450.0,1420000.0,-1148200.0,1284100.0,135900.0
2024-02-19,34500.0,7343500.0,-2768300.0,5055900.0,2287600.0
2024-02-19,34550.0,3755400.0,200000.0,1777700.0,1977700.0
2024-02-19,34600.0,2372700.0,-189900.0,1281300.0,1091400.0
2024-02-19,34650.0,3356600.0,-1000.0,1678800.0,1677800.0
2024-02-19,34700.0,1711400.0,29400.0,841000.0,870400.0
2024-02-19,34750.0,1137300.0,-175100.0,656200.0,481100.0
2024-02-19,34800.0,1674200.0,-622400.0,1148300.0,525900.0
2024-02-19,34850.0,3871700.0,-56300.0,1964000.0,1907700.0
2024-02-19,34900.0,1873900.0,201500.0,836200.0,1037700.0
2024-02-19,34950.0,1384000.0,315600.0,534200.0,849800.0
2024-02-19,35000.0,594700.0,-252100.0,423400.0,171300.0
2024-02-19,35050.0,54300.0,-42300.0,48300.0,6000.0
2024-02-19,35100.0,130400.0,130400.0,0.0,130400.0
2024-02-20,35250.0,13100.0,-13100.0,13100.0,0.0
2024-02-20,35300.0,1055200.0,-754000.0,904600.0,150600.0
2024-02-20,35350.0,2146300.0,107300.0,1019500.0,1126800.0
2024-02-20,35400.0,2042900.0,753100.0,644900.0,1398000.0
2024-02-20,35450.0,2628900.0,-42300.0,1335600.0,1293300.0
2024-02-20,35500.0,2471000.0,1032200.0,719400.0,1751600.0
2024-02-20,35550.0,1802100.0,61100.0,870500.0,931600.0
2024-02-20,35600.0,1373700.0,578100.0,397800.0,975900.0
2024-02-20,35650.0,1799700.0,1264900.0,267400.0,1532300.0
2024-02-20,35700.0,1231300.0,402900.0,414200.0,817100.0
2024-02-20,35750.0,677800.0,213400.0,232200.0,445600.0
2024-02-20,35800.0,30700.0,30700.0,0.0,30700.0
2024-02-21,34700.0,10000.0,-10000.0,10000.0,0.0
2024-02-21,34750.0,445800.0,-371600.0,408700.0,37100.0
2024-02-21,34800.0,1035400.0,-728800.0,882100.0,153300.0
2024-02-21,34850.0,2137200.0,-1111000.0,1624100.0,513100.0
2024-02-21,34900.0,2806200.0,-719400.0,1762800.0,1043400.0
2024-02-21,34950.0,2982500.0,-431700.0,1707100.0,1275400.0
2024-02-21,35000.0,2961900.0,-168500.0,1565200.0,1396700.0
2024-02-21,35050.0,2939300.0,-462500.0,1700900.0,1238400.0
2024-02-21,35100.0,1883000.0,-508200.0,1195600.0,687400.0
2024-02-21,35150.0,430400.0,279600.0,75400.0,355000.0
2024-02-21,35200.0,111100.0,-101100.0,106100.0,5000.0
2024-02-21,35250.0,125700.0,-102900.0,114300.0,11400.0
2024-02-21,35300.0,118100.0,118100.0,0.0,118100.0
2024-02-22,34550.0,212200.0,-212200.0,212200.0,0.0
2024-02-22,34600.0,2113900.0,-1025500.0,1569700.0,544200.0
2024-02-22,34650.0,1957100.0,-875500.0,1416300.0,540800.0
2024-02-22,34700.0,5549500.0,-2258500.0,3904000.0,1645500.0
2024-02-22,34750.0,2319200.0,-2800.0,1161000.0,1158200.0
2024-02-22,34800.0,1276800.0,-287600.0,782200.0,494600.0
2024-02-22,34850.0,287200.0,25400.0,130900.0,156300.0
2024-02-22,34900.0,20700.0,-5500.0,13100.0,7600.0
2024-02-22,34950.0,100.0,100.0,0.0,100.0
2024-02-23,34050.0,83200.0,-83200.0,83200.0,0.0
2024-02-23,34100.0,1168200.0,-922000.0,1045100.0,123100.0
2024-02-23,34150.0,1150900.0,-891900.0,1021400.0,129500.0
2024-02-23,34200.0,1862600.0,-1121400.0,1492000.0,370600.0
2024-02-23,34250.0,1508200.0,-263600.0,885900.0,622300.0
2024-02-23,34300.0,596200.0,-242400.0,419300.0,176900.0
2024-02-23,34350.0,573700.0,-82900.0,328300.0,245400.0
2024-02-23,34400.0,702300.0,-386700.0,544500.0,157800.0
2024-02-23,34450.0,855600.0,-148200.0,501900.0,353700.0
2024-02-23,34500.0,1600000.0,-955800.0,1277900.0,322100.0
2024-02-23,34550.0,806100.0,-731700.0,768900.0,37200.0
2024-02-23,34600.0,1919100.0,-1364100.0,1641600.0,277500.0
2024-02-23,34650.0,4843200.0,-1247000.0,3045100.0,1798100.0
2024-02-23,34700.0,2488600.0,974000.0,757300.0,1731300.0
2024-02-23,34750.0,1035000.0,-7400.0,521200.0,513800.0
2024-02-23,34800.0,1144100.0,232500.0,455800.0,688300.0
2024-02-23,34850.0,231200.0,105200.0,63000.0,168200.0
2024-02-23,34900.0,44600.0,44600.0,0.0,44600.0
2024-02-26,34050.0,275700.0,-275700.0,275700.0,0.0
2024-02-26,34100.0,1398400.0,126400.0,636000.0,762400.0
2024-02-26,34150.0,2045800.0,-37800.0,1041800.0,1004000.0
2024-02-26,34200.0,1981000.0,-41800.0,1011400.0,969600.0
2024-02-26,34250.0,1356600.0,432200.0,462200.0,894400.0
