t,p,q,d,b,a
2024-02-15,31000.0,4400.0,-4400.0,4400.0,0.0
2024-02-15,31050.0,541500.0,-536700.0,539100.0,2400.0
2024-02-15,31100.0,979600.0,218000.0,380800.0,598800.0
2024-02-15,31150.0,2511800.0,-848000.0,1679900.0,831900.0
2024-02-15,31200.0,1181100.0,680300.0,250400.0,930700.0
2024-02-15,31250.0,1037900.0,-53100.0,545500.0,492400.0
2024-02-15,31300.0,896200.0,56400.0,419900.0,476300.0
2024-02-15,31350.0,1262600.0,-969800.0,1116200.0,146400.0
2024-02-15,31400.0,2427900.0,-877100.0,1652500.0,775400.0
2024-02-15,31450.0,2207100.0,1423900.0,391600.0,1815500.0
2024-02-15,31500.0,1531300.0,338900.0,596200.0,935100.0
2024-02-15,31550.0,1074100.0,25300.0,524400.0,549700.0
2024-02-15,31600.0,846600.0,344000.0,251300.0,595300.0
2024-02-15,31650.0,200500.0,80500.0,60000.0,140500.0
2024-02-15,31700.0,21400.0,21400.0,0.0,21400.0
2024-02-16,30750.0,553400.0,-553400.0,553400.0,0.0
2024-02-16,30800.0,2637100.0,-566900.0,1602000.0,1035100.0
2024-02-16,30850.0,2955900.0,-1309700.0,2132800.0,823100.0
2024-02-16,30900.0,2856700.0,-420100.0,1638400.0,1218300.0
2024-02-16,30950.0,1401600.0,-871800.0,1136700.0,264900.0
2024-02-16,31000.0,1347200.0,-404800.0,876000.0,471200.0
2024-02-16,31050.0,453400.0,-365400.0,409400.0,44000.0
2024-02-16,31100.0,1484900.0,-1419500.0,1452200.0,32700.0
2024-02-16,31150.0,1499800.0,-650400.0,1075100.0,424700.0
2024-02-16,31200.0,2348100.0,-1578100.0,1963100.0,385000.0
2024-02-16,31250.0,853400.0,160200.0,346600.0,506800.0
2024-02-16,31300.0,783400.0,-326400.0,554900.0,228500.0
2024-02-16,31350.0,506800.0,133400.0,186700.0,320100.0
2024-02-16,31400.0,1800.0,1800.0,0.0,1800.0
2024-02-19,30450.0,6100.0,-6100.0,6100.0,0.0
2024-02-19,30500.0,1044800.0,-814800.0,929800.0,115000.0
2024-02-19,30550.0,2524900.0,-1029900.0,1777400.0,747500.0
2024-02-19,30600.0,2866200.0,-862200.0,1864200.0,1002000.0
2024-02-19,30650.0,1967200.0,425000.0,771100.0,1196100.0
2024-02-19,30700.0,1788300.0,-1115500.0,1451900.0,336400.0
2024-02-19,30750.0,1954300.0,-1099500.0,1526900.0,427400.0
2024-02-19,30800.0,1467500.0,-491500.0,979500.0,488000.0
2024-02-19,30850.0,775300.0,-235100.0,505200.0,270100.0
2024-02-19,30900.0,476800.0,470600.0,3100.0,473700.0
2024-02-19,30950.0,129900.0,129900.0,0.0,129900.0
2024-02-20,30550.0,161400.0,-161400.0,161400.0,0.0
2024-02-20,30600.0,1802500.0,-255700.0,1029100.0,773400.0
2024-02-20,30650.0,1016500.0,-260300.0,638400.0,378100.0
2024-02-20,30700.0,3744500.0,-568300.0,2156400.0,1588100.0
2024-02-20,30750.0,2471300.0,-19500.0,1245400.0,1225900.0
2024-02-20,30800.0,1742200.0,239800.0,751200.0,991000.0
2024-02-20,30850.0,1111000.0,-129400.0,620200.0,490800.0
2024-02-20,30900.0,1356100.0,139300.0,608400.0,747700.0
2024-02-20,30950.0,700900.0,235500.0,232700.0,468200.0
2024-02-20,31000.0,1341100.0,641700.0,349700.0,991400.0
2024-02-20,31050.0,145500.0,145500.0,0.0,145500.0
2024-02-21,30850.0,29000.0,-29000.0,29000.0,0.0
2024-02-21,30900.0,246800.0,-48000.0,147400.0,99400.0
2024-02-21,30950.0,326800.0,277400.0,24700.0,302100.0
2024-02-21,31000.0,1056000.0,992200.0,31900.0,1024100.0
2024-02-21,31050.0,233500.0,233500.0,0.0,233500.0
2024-02-21,31100.0,632800.0,632800.0,0.0,632800.0
2024-02-21,31150.0,120900.0,120900.0,0.0,120900.0
2024-02-21,31200.0,341500.0,341500.0,0.0,341500.0
2024-02-21,31250.0,66800.0,66800.0,0.0,66800.0
2024-02-21,31300.0,293500.0,232900.0,30300.0,263200.0
2024-02-21,31350.0,410700.0,118100.0,146300.0,264400.0
2024-02-21,31400.0,2830800.0,-277800.0,1554300.0,1276500.0
