t,p,q,d,b,a
2024-07-08,39500.0,0.0,0.0,0.0,0.0
2024-07-08,39650.0,22800.0,-21600.0,22200.0,600.0
2024-07-08,39700.0,77700.0,5300.0,36200.0,41500.0
2024-07-08,39750.0,36900.0,-3700.0,20300.0,16600.0
2024-07-08,39800.0,68800.0,20000.0,24400.0,44400.0
2024-07-08,39850.0,52900.0,7900.0,22500.0,30400.0
2024-07-08,39900.0,144700.0,-61900.0,103300.0,41400.0
2024-07-08,39950.0,55900.0,35700.0,10100.0,45800.0
2024-07-08,40000.0,60600.0,6200.0,27200.0,33400.0
2024-07-08,40050.0,42200.0,30200.0,6000.0,36200.0
2024-07-08,40100.0,65800.0,-9000.0,37400.0,28400.0
2024-07-08,40150.0,50700.0,42900.0,3900.0,46800.0
2024-07-08,40200.0,14100.0,14100.0,0.0,14100.0
2024-07-08,40250.0,16300.0,4500.0,5900.0,10400.0
2024-07-08,40300.0,80600.0,-5000.0,42800.0,37800.0
2024-07-08,40350.0,73000.0,20800.0,26100.0,46900.0
2024-07-08,40400.0,74000.0,33600.0,20200.0,53800.0
2024-07-08,40450.0,83400.0,27600.0,27900.0,55500.0
2024-07-08,40500.0,149700.0,88700.0,30500.0,119200.0
2024-07-08,40550.0,45000.0,25000.0,10000.0,35000.0
2024-07-08,40600.0,86900.0,20300.0,33300.0,53600.0
2024-07-08,40650.0,74600.0,47600.0,13500.0,61100.0
2024-07-08,40700.0,38900.0,38900.0,0.0,38900.0
2024-07-08,40900.0,0.0,0.0,0.0,0.0
2024-07-09,40600.0,55500.0,-51500.0,53500.0,2000.0
2024-07-09,40650.0,65100.0,-8700.0,36900.0,28200.0
2024-07-09,40700.0,66700.0,-15900.0,41300.0,25400.0
2024-07-09,40750.0,80200.0,800.0,39700.0,40500.0
2024-07-09,40800.0,66700.0,-28500.0,47600.0,19100.0
2024-07-09,40850.0,113100.0,-70900.0,92000.0,21100.0
2024-07-09,40900.0,103700.0,-10700.0,57200.0,46500.0
2024-07-09,40950.0,35700.0,4300.0,15700.0,20000.0
2024-07-09,41000.0,106500.0,500.0,53000.0,53500.0
2024-07-09,41050.0,32800.0,-10800.0,21800.0,11000.0
2024-07-09,41100.0,50700.0,-1900.0,26300.0,24400.0
2024-07-09,41150.0,24500.0,22100.0,1200.0,23300.0
2024-07-09,41200.0,21200.0,12800.0,4200.0,17000.0
2024-07-09,41250.0,1100.0,1100.0,0.0,1100.0
2024-07-10,40350.0,8000.0,-8000.0,8000.0,0.0
2024-07-10,40400.0,58100.0,-42500.0,50300.0,7800.0
2024-07-10,40450.0,83100.0,-62100.0,72600.0,10500.0
2024-07-10,40500.0,85700.0,-32900.0,59300.0,26400.0
2024-07-10,40550.0,133300.0,-97100.0,115200.0,18100.0
2024-07-10,40600.0,90600.0,-27600.0,59100.0,31500.0
2024-07-10,40650.0,54500.0,-46100.0,50300.0,4200.0
2024-07-10,40700.0,38600.0,-21400.0,30000.0,8600.0
2024-07-10,40750.0,65900.0,-30300.0,48100.0,17800.0
2024-07-10,40800.0,140900.0,-75700.0,108300.0,32600.0
2024-07-10,40850.0,125900.0,-43900.0,84900.0,41000.0
2024-07-10,40900.0,93200.0,-23200.0,58200.0,35000.0
2024-07-10,40950.0,5900.0,-3700.0,4800.0,1100.0
2024-07-10,41000.0,8500.0,-100.0,4300.0,4200.0
2024-07-11,40350.0,75100.0,-57700.0,66400.0,8700.0
2024-07-11,40400.0,112600.0,-23400.0,68000.0,44600.0
2024-07-11,40450.0,46200.0,11600.0,17300.0,28900.0
2024-07-11,40500.0,121900.0,-23300.0,72600.0,49300.0
2024-07-11,40550.0,16900.0,-5500.0,11200.0,5700.0
2024-07-11,40600.0,115000.0,-33200.0,74100.0,40900.0
2024-07-11,40650.0,58100.0,-1500.0,29800.0,28300.0
2024-07-11,40700.0,74900.0,10300.0,32300.0,42600.0
2024-07-11,40750.0,44900.0,-9500.0,27200.0,17700.0
2024-07-11,40800.0,48200.0,-8600.0,28400.0,19800.0
2024-07-11,40850.0,12000.0,12000.0,0.0,12000.0
2024-07-11,40900.0,10800.0,7000.0,1900.0,8900.0
2024-07-12,39800.0,14600.0,-12800.0,13700.0,900.0
2024-07-12,39850.0,12400.0,1200.0,5600.0,6800.0
2024-07-12,39900.0,6100.0,-3700.0,4900.0,1200.0
2024-07-12,39950.0,3800.0,-3800.0,3800.0,0.0
2024-07-12,40000.0,73600.0,-64600.0,69100.0,4500.0
2024-07-12,40050.0,7200.0,-7000.0,7100.0,100.0
2024-07-12,40100.0,14000.0,-10600.0,12300.0,1700.0
2024-07-12,40150.0,28500.0,-27900.0,28200.0,300.0
2024-07-12,40200.0,106700.0,-66700.0,86700.0,20000.0
2024-07-12,40250.0,83700.0,-67100.0,75400.0,8300.0
2024-07-12,40300.0,54800.0,-3600.0,29200.0,25600.0
2024-07-12,40350.0,34400.0,-5400.0,19900.0,14500.0
2024-07-12,40400.0,17500.0,6900.0,5300.0,12200.0
2024-07-12,40450.0,600.0,-600.0,600.0,0.0
2024-07-12,40500.0,10500.0,-10500.0,10500.0,0.0
2024-07-12,40550.0,30400.0,-14000.0,22200.0,8200.0
2024-07-12,40600.0,26600.0,15400.0,5600.0,21000.0
2024-07-12,40650.0,4800.0,4800.0,0.0,4800.0
2024-07-15,39600.0,31900.0,-31900.0,31900.0,0.0
2024-07-15,39650.0,41200.0,-25000.0,33100.0,8100.0
2024-07-15,39700.0,45600.0,-7600.0,26600.0,19000.0
2024-07-15,39750.0,67200.0,-24200.0,45700.0,21500.0
2024-07-15,39800.0,93300.0,-11700.0,52500.0,40800.0
2024-07-15,39850.0,23500.0,-11900.0,17700.0,5800.0
2024-07-15,39900.0,45700.0,-36700.0,41200.0,4500.0
2024-07-15,39950.0,51000.0,-18000.0,34500.0,16500.0
2024-07-15,40000.0,82600.0,-30200.0,56400.0,26200.0
2024-07-15,40050.0,57100.0,-19500.0,38300.0,18800.0
2024-07-15,40100.0,50800.0,-45200.0,48000.0,2800.0
2024-07-15,40150.0,18500.0,-4100.0,11300.0,7200.0
2024-07-15,40200.0,28400.0,7600.0,10400.0,18000.0
2024-07-15,40250.0,3000.0,2200.0,400.0,2600.0
2024-07-15,40300.0,26600.0,5800.0,10400.0,16200.0
