t,p,q,d,b,a
2024-02-15,37450.0,100.0,100.0,0.0,100.0
2024-02-15,37500.0,435000.0,435000.0,0.0,435000.0
2024-02-15,37550.0,26500.0,-15900.0,21200.0,5300.0
2024-02-15,37600.0,33000.0,33000.0,0.0,33000.0
2024-02-15,37650.0,49100.0,49100.0,0.0,49100.0
2024-02-15,37700.0,45400.0,27600.0,8900.0,36500.0
2024-02-15,37750.0,60400.0,11600.0,24400.0,36000.0
2024-02-15,37800.0,200500.0,124900.0,37800.0,162700.0
2024-02-15,37850.0,245600.0,-27600.0,136600.0,109000.0
2024-02-15,37900.0,292100.0,-5300.0,148700.0,143400.0
2024-02-15,37950.0,278400.0,2800.0,137800.0,140600.0
2024-02-15,38000.0,372600.0,142800.0,114900.0,257700.0
2024-02-15,38050.0,173900.0,-5900.0,89900.0,84000.0
2024-02-15,38100.0,339600.0,44400.0,147600.0,192000.0
2024-02-15,38150.0,438700.0,166700.0,136000.0,302700.0
2024-02-15,38200.0,322800.0,247400.0,37700.0,285100.0
2024-02-15,38250.0,745700.0,-263100.0,504400.0,241300.0
2024-02-15,38300.0,858700.0,22500.0,418100.0,440600.0
2024-02-15,38350.0,996600.0,-140200.0,568400.0,428200.0
2024-02-15,38400.0,876600.0,149200.0,363700.0,512900.0
2024-02-15,38450.0,639600.0,89000.0,275300.0,364300.0
2024-02-15,38500.0,752600.0,268800.0,241900.0,510700.0
2024-02-15,38550.0,704300.0,74500.0,314900.0,389400.0
2024-02-15,38600.0,948600.0,218600.0,365000.0,583600.0
2024-02-15,38650.0,588000.0,137200.0,225400.0,362600.0
2024-02-15,38700.0,728100.0,230500.0,248800.0,479300.0
2024-02-15,38750.0,347700.0,300300.0,23700.0,324000.0
2024-02-15,38800.0,218600.0,55000.0,81800.0,136800.0
2024-02-15,38850.0,227000.0,38600.0,94200.0,132800.0
2024-02-15,38900.0,386800.0,173400.0,106700.0,280100.0
2024-02-15,38950.0,250500.0,250300.0,100.0,250400.0
2024-02-16,37900.0,61100.0,-61100.0,61100.0,0.0
2024-02-16,37950.0,148600.0,-80600.0,114600.0,34000.0
2024-02-16,38000.0,252900.0,-95100.0,174000.0,78900.0
2024-02-16,38050.0,135700.0,-27500.0,81600.0,54100.0
2024-02-16,38100.0,308700.0,-222900.0,265800.0,42900.0
2024-02-16,38150.0,1086800.0,-730600.0,908700.0,178100.0
2024-02-16,38200.0,1359800.0,174200.0,592800.0,767000.0
