t,p,q,d,b,a
2024-07-09,19950.0,140700.0,-140700.0,140700.0,0.0
2024-07-09,20000.0,514300.0,19100.0,247600.0,266700.0
2024-07-09,20050.0,288800.0,46000.0,121400.0,167400.0
2024-07-09,20100.0,737800.0,-227400.0,482600.0,255200.0
2024-07-09,20150.0,1064300.0,228900.0,417700.0,646600.0
2024-07-09,20200.0,1648600.0,-200200.0,924400.0,724200.0
2024-07-09,20250.0,1605800.0,-44600.0,825200.0,780600.0
2024-07-09,20300.0,1012200.0,450600.0,280800.0,731400.0
2024-07-09,20350.0,1153800.0,-460600.0,807200.0,346600.0
2024-07-09,20400.0,1256000.0,684000.0,286000.0,970000.0
2024-07-09,20450.0,857600.0,308800.0,274400.0,583200.0
2024-07-09,20500.0,639300.0,308100.0,165600.0,473700.0
2024-07-09,20550.0,503300.0,211500.0,145900.0,357400.0
2024-07-09,20600.0,14600.0,14600.0,0.0,14600.0
2024-07-10,19950.0,154700.0,-154700.0,154700.0,0.0
2024-07-10,20000.0,773400.0,-584600.0,679000.0,94400.0
2024-07-10,20050.0,954500.0,-501100.0,727800.0,226700.0
2024-07-10,20100.0,1235500.0,-34100.0,634800.0,600700.0
2024-07-10,20150.0,1047500.0,-331300.0,689400.0,358100.0
2024-07-10,20200.0,1069500.0,46500.0,511500.0,558000.0
2024-07-10,20250.0,419000.0,131800.0,143600.0,275400.0
2024-07-10,20300.0,252900.0,68100.0,92400.0,160500.0
2024-07-10,20350.0,136900.0,27100.0,54900.0,82000.0
2024-07-10,20400.0,491900.0,-48700.0,270300.0,221600.0
2024-07-10,20450.0,658700.0,3100.0,327800.0,330900.0
2024-07-10,20500.0,663000.0,-18000.0,340500.0,322500.0
2024-07-10,20550.0,958600.0,-361600.0,660100.0,298500.0
2024-07-10,20600.0,1265900.0,494500.0,385700.0,880200.0
2024-07-10,20650.0,531300.0,159300.0,186000.0,345300.0
2024-07-10,20700.0,187100.0,79100.0,54000.0,133100.0
2024-07-10,20750.0,177500.0,76700.0,50400.0,127100.0
2024-07-10,20800.0,308900.0,218500.0,45200.0,263700.0
