t,p,q,d,b,a
2024-04-16,37400.0,800.0,-800.0,800.0,0.0
2024-04-16,37500.0,4600.0,-400.0,2500.0,2100.0
2024-04-16,37550.0,8100.0,-8100.0,8100.0,0.0
2024-04-16,37600.0,17300.0,-1300.0,9300.0,8000.0
2024-04-16,37650.0,5900.0,-5100.0,5500.0,400.0
2024-04-16,37700.0,7300.0,6300.0,500.0,6800.0
2024-04-16,37750.0,1000.0,-1000.0,1000.0,0.0
2024-04-16,37800.0,4000.0,-1800.0,2900.0,1100.0
2024-04-16,37900.0,4600.0,-3400.0,4000.0,600.0
2024-04-16,38000.0,12900.0,6500.0,3200.0,9700.0
2024-04-16,38100.0,500.0,-500.0,500.0,0.0
2024-04-16,38300.0,100.0,100.0,0.0,100.0
2024-05-16,36750.0,5000.0,5000.0,0.0,5000.0
2024-05-16,36850.0,2800.0,-2200.0,2500.0,300.0
2024-05-16,36900.0,10700.0,6700.0,2000.0,8700.0
2024-05-16,36950.0,500.0,500.0,0.0,500.0
2024-05-16,37000.0,400.0,400.0,0.0,400.0
2024-06-25,35600.0,10800.0,-4600.0,7700.0,3100.0
2024-06-25,35650.0,15700.0,-5300.0,10500.0,5200.0
2024-06-25,35700.0,5300.0,2500.0,1400.0,3900.0
2024-06-25,35750.0,2500.0,2500.0,0.0,2500.0
2024-06-25,35800.0,100.0,-100.0,100.0,0.0
2024-06-25,35850.0,2100.0,2100.0,0.0,2100.0
2024-06-25,35900.0,2200.0,2200.0,0.0,2200.0
2024-06-25,35950.0,2100.0,2100.0,0.0,2100.0
2024-05-24,36900.0,2200.0,-2200.0,2200.0,0.0
2024-05-24,36950.0,17500.0,-16700.0,17100.0,400.0
2024-05-24,37000.0,36400.0,5400.0,15500.0,20900.0
2024-06-17,38900.0,5500.0,-5500.0,5500.0,0.0
2024-06-17,39000.0,12700.0,-9700.0,11200.0,1500.0
2024-06-17,39050.0,2800.0,-2800.0,2800.0,0.0
2024-06-17,39100.0,11600.0,-4200.0,7900.0,3700.0
2024-06-17,39150.0,14200.0,-400.0,7300.0,6900.0
2024-06-17,39200.0,44300.0,25500.0,9400.0,34900.0
2024-06-17,39250.0,11000.0,4800.0,3100.0,7900.0
2024-06-17,39300.0,48000.0,28600.0,9700.0,38300.0
2024-06-17,39350.0,7800.0,7800.0,0.0,7800.0
2024-06-17,39950.0,10900.0,10900.0,0.0,10900.0
2024-05-31,37300.0,14200.0,-12800.0,13500.0,700.0
2024-05-31,37350.0,1600.0,-1600.0,1600.0,0.0
2024-05-31,37400.0,500.0,300.0,100.0,400.0
2024-05-31,37450.0,500.0,500.0,0.0,500.0
2024-05-31,37650.0,100.0,100.0,0.0,100.0
2024-07-02,35500.0,5400.0,-5400.0,5400.0,0.0
2024-07-02,35550.0,2600.0,-2600.0,2600.0,0.0
2024-07-02,35600.0,2400.0,1600.0,400.0,2000.0
2024-07-02,35650.0,700.0,-300.0,500.0,200.0
2024-07-02,35700.0,100.0,-100.0,100.0,0.0
2024-07-02,35850.0,300.0,300.0,0.0,300.0
2024-07-02,35900.0,2000.0,2000.0,0.0,2000.0
2024-07-02,35950.0,100.0,100.0,0.0,100.0
2024-03-27,38100.0,200.0,0.0,100.0,100.0
2024-03-27,38400.0,1100.0,-1100.0,1100.0,0.0
2024-03-27,38450.0,1000.0,1000.0,0.0,1000.0
2024-03-27,38500.0,4200.0,800.0,1700.0,2500.0
2024-07-09,35500.0,3500.0,-3500.0,3500.0,0.0
2024-07-09,35550.0,11300.0,-8300.0,9800.0,1500.0
2024-07-09,35600.0,5700.0,-3100.0,4400.0,1300.0
2024-07-09,35650.0,700.0,700.0,0.0,700.0
2024-07-09,35700.0,200.0,200.0,0.0,200.0
2024-07-10,35200.0,2700.0,-2700.0,2700.0,0.0
2024-07-10,35250.0,10900.0,-1500.0,6200.0,4700.0
2024-07-10,35300.0,6500.0,1900.0,2300.0,4200.0
2024-07-10,35350.0,5000.0,-3800.0,4400.0,600.0
2024-07-10,35400.0,23400.0,-2400.0,12900.0,10500.0
2024-07-10,35450.0,14500.0,4300.0,5100.0,9400.0
2024-07-10,35500.0,2600.0,2400.0,100.0,2500.0
2024-07-11,34800.0,4000.0,-4000.0,4000.0,0.0
2024-07-11,34850.0,9700.0,-8500.0,9100.0,600.0
2024-07-11,34900.0,20100.0,-14700.0,17400.0,2700.0
2024-07-11,34950.0,12000.0,-5800.0,8900.0,3100.0
2024-07-11,35000.0,12700.0,-7500.0,10100.0,2600.0
2024-07-11,35050.0,14200.0,-7000.0,10600.0,3600.0
2024-07-11,35100.0,13400.0,4200.0,4600.0,8800.0
2024-07-11,35150.0,3100.0,-2100.0,2600.0,500.0
2024-07-11,35200.0,5100.0,900.0,2100.0,3000.0
2024-07-11,35250.0,100.0,100.0,0.0,100.0
2024-07-12,34800.0,800.0,800.0,0.0,800.0
2024-07-12,34850.0,200.0,200.0,0.0,200.0
2024-07-12,35100.0,100.0,-100.0,100.0,0.0
2024-07-12,35150.0,2900.0,-2700.0,2800.0,100.0
2024-07-12,35200.0,2400.0,1200.0,600.0,1800.0
2024-07-12,35250.0,4100.0,-2100.0,3100.0,1000.0
2024-07-12,35300.0,200.0,200.0,0.0,200.0
2024-07-15,34750.0,2200.0,-2200.0,2200.0,0.0
2024-07-15,34800.0,16100.0,-11700.0,13900.0,2200.0
2024-07-15,34850.0,3700.0,-3700.0,3700.0,0.0
2024-07-15,34900.0,7600.0,-600.0,4100.0,3500.0
2024-07-15,34950.0,3000.0,-2200.0,2600.0,400.0
2024-07-15,35000.0,11300.0,100.0,5600.0,5700.0
2024-07-15,35200.0,600.0,600.0,0.0,600.0
2024-07-15,35250.0,200.0,-200.0,200.0,0.0
2024-07-15,35350.0,1000.0,1000.0,0.0,1000.0
2024-07-16,34950.0,100.0,100.0,0.0,100.0
2024-07-16,35000.0,3600.0,-1400.0,2500.0,1100.0
2024-07-16,35050.0,1500.0,-1500.0,1500.0,0.0
2024-07-16,35100.0,12800.0,10400.0,1200.0,11600.0
2024-07-16,35150.0,200.0,200.0,0.0,200.0
2024-07-16,35200.0,100.0,100.0,0.0,100.0
2024-07-17,34650.0,12300.0,-12300.0,12300.0,0.0
2024-07-17,34700.0,4700.0,-4500.0,4600.0,100.0
2024-07-17,34750.0,16000.0,-400.0,8200.0,7800.0
2024-07-17,34800.0,6500.0,-6100.0,6300.0,200.0
2024-07-17,34900.0,200.0,-200.0,200.0,0.0
2024-07-17,34950.0,100.0,100.0,0.0,100.0
2024-07-18,34300.0,8100.0,1300.0,3400.0,4700.0
2024-07-18,34350.0,5600.0,1200.0,2200.0,3400.0
2024-07-18,34400.0,7100.0,6100.0,500.0,6600.0
2024-07-18,34450.0,1100.0,-1100.0,1100.0,0.0
2024-07-18,34500.0,8400.0,-3200.0,5800.0,2600.0
2024-07-18,34550.0,900.0,-900.0,900.0,0.0
2024-07-18,34600.0,1800.0,-1600.0,1700.0,100.0
2024-07-18,34650.0,1800.0,-1600.0,1700.0,100.0
2024-07-18,34700.0,400.0,400.0,0.0,400.0
2024-07-19,34300.0,3400.0,-3400.0,3400.0,0.0
2024-07-19,34350.0,19300.0,9300.0,5000.0,14300.0
2024-07-19,34400.0,21600.0,17600.0,2000.0,19600.0
2024-07-19,34450.0,6600.0,6400.0,100.0,6500.0
2024-07-19,34500.0,5700.0,5700.0,0.0,5700.0
2024-07-19,34700.0,500.0,500.0,0.0,500.0
2024-07-19,34800.0,4800.0,2600.0,1100.0,3700.0
2024-07-19,34850.0,4000.0,200.0,1900.0,2100.0
2024-07-19,34950.0,3000.0,3000.0,0.0,3000.0
