t,p,q,d,b,a
2024-02-15,41250.0,300.0,-300.0,300.0,0.0
2024-02-15,41500.0,3900.0,-3900.0,3900.0,0.0
2024-02-15,41650.0,17100.0,7500.0,4800.0,12300.0
2024-02-15,41700.0,20100.0,12700.0,3700.0,16400.0
2024-02-15,41750.0,100.0,-100.0,100.0,0.0
2024-02-15,41900.0,3900.0,900.0,1500.0,2400.0
2024-02-15,41950.0,24400.0,24000.0,200.0,24200.0
2024-02-15,42000.0,78800.0,37800.0,20500.0,58300.0
2024-02-15,42050.0,101300.0,11900.0,44700.0,56600.0
2024-02-15,42100.0,96400.0,18800.0,38800.0,57600.0
2024-02-15,42150.0,24200.0,22000.0,1100.0,23100.0
2024-02-15,42200.0,55600.0,48000.0,3800.0,51800.0
2024-02-15,42250.0,125600.0,125200.0,200.0,125400.0
2024-02-15,42300.0,9500.0,4300.0,2600.0,6900.0
2024-02-15,42350.0,3500.0,3500.0,0.0,3500.0
2024-02-16,41700.0,600.0,-600.0,600.0,0.0
2024-02-16,41750.0,26300.0,-26300.0,26300.0,0.0
2024-02-16,41800.0,58000.0,-41200.0,49600.0,8400.0
2024-02-16,41850.0,15600.0,-15600.0,15600.0,0.0
2024-02-16,41900.0,14300.0,-11300.0,12800.0,1500.0
2024-02-16,41950.0,11200.0,-11200.0,11200.0,0.0
2024-02-16,42000.0,72000.0,44600.0,13700.0,58300.0
2024-02-16,42050.0,73000.0,8800.0,32100.0,40900.0
2024-02-16,42100.0,21100.0,19100.0,1000.0,20100.0
2024-02-16,42150.0,26900.0,26900.0,0.0,26900.0
2024-02-16,42200.0,130000.0,128200.0,900.0,129100.0
2024-02-16,42250.0,28200.0,28200.0,0.0,28200.0
2024-02-16,42300.0,31500.0,31500.0,0.0,31500.0
2024-02-19,41500.0,2200.0,-2200.0,2200.0,0.0
2024-02-19,41550.0,17500.0,-8500.0,13000.0,4500.0
2024-02-19,41600.0,22300.0,-15700.0,19000.0,3300.0
2024-02-19,41650.0,13600.0,-7200.0,10400.0,3200.0
2024-02-19,41700.0,57300.0,29900.0,13700.0,43600.0
2024-02-19,41750.0,58000.0,57000.0,500.0,57500.0
2024-02-19,41800.0,35100.0,31500.0,1800.0,33300.0
2024-02-19,41850.0,58100.0,58100.0,0.0,58100.0
2024-02-19,41900.0,167000.0,167000.0,0.0,167000.0
2024-02-19,41950.0,300.0,300.0,0.0,300.0
2024-02-20,41400.0,12000.0,-7000.0,9500.0,2500.0
2024-02-20,41450.0,15700.0,-7700.0,11700.0,4000.0
2024-02-20,41500.0,50200.0,24800.0,12700.0,37500.0
2024-02-20,41550.0,500.0,-500.0,500.0,0.0
2024-02-20,41600.0,35500.0,35300.0,100.0,35400.0
2024-02-20,41650.0,20000.0,20000.0,0.0,20000.0
2024-02-20,41700.0,30700.0,28100.0,1300.0,29400.0
2024-02-20,41750.0,15500.0,14500.0,500.0,15000.0
2024-02-20,41800.0,93200.0,64000.0,14600.0,78600.0
2024-02-20,41850.0,41600.0,41600.0,0.0,41600.0
2024-02-20,41900.0,26600.0,22400.0,2100.0,24500.0
