t,p,q,d,b,a
2024-02-15,24700.0,23800.0,-23800.0,23800.0,0.0
2024-02-15,24750.0,46800.0,-33400.0,40100.0,6700.0
2024-02-15,24800.0,31600.0,-13200.0,22400.0,9200.0
2024-02-15,24850.0,13000.0,-8200.0,10600.0,2400.0
2024-02-15,24900.0,13100.0,1300.0,5900.0,7200.0
2024-02-15,24950.0,18000.0,-16600.0,17300.0,700.0
2024-02-15,25000.0,153300.0,-65100.0,109200.0,44100.0
2024-02-15,25050.0,32500.0,-7500.0,20000.0,12500.0
2024-02-15,25100.0,38100.0,18500.0,9800.0,28300.0
2024-02-15,25150.0,6200.0,1000.0,2600.0,3600.0
2024-02-15,25200.0,1800.0,1800.0,0.0,1800.0
2024-02-15,25250.0,1700.0,1700.0,0.0,1700.0
2024-02-15,25300.0,7100.0,7100.0,0.0,7100.0
2024-02-16,24600.0,14900.0,-14900.0,14900.0,0.0
2024-02-16,24650.0,9000.0,-9000.0,9000.0,0.0
2024-02-16,24700.0,24300.0,1900.0,11200.0,13100.0
2024-02-16,24750.0,17000.0,-13800.0,15400.0,1600.0
2024-02-16,24800.0,64700.0,-33900.0,49300.0,15400.0
2024-02-16,24850.0,57400.0,6600.0,25400.0,32000.0
2024-02-16,24900.0,35600.0,15800.0,9900.0,25700.0
2024-02-16,24950.0,13000.0,4800.0,4100.0,8900.0
2024-02-16,25000.0,59800.0,31000.0,14400.0,45400.0
2024-02-16,25050.0,11500.0,11300.0,100.0,11400.0
2024-02-16,25100.0,68200.0,-55000.0,61600.0,6600.0
2024-02-16,25150.0,32800.0,-6200.0,19500.0,13300.0
2024-02-16,25200.0,32600.0,14400.0,9100.0,23500.0
2024-02-16,25250.0,5000.0,3200.0,900.0,4100.0
2024-02-16,25300.0,12100.0,-3900.0,8000.0,4100.0
2024-02-16,25350.0,4100.0,1300.0,1400.0,2700.0
2024-02-16,25400.0,5300.0,5300.0,0.0,5300.0
2024-02-19,24550.0,39800.0,-39800.0,39800.0,0.0
2024-02-19,24600.0,67600.0,-64200.0,65900.0,1700.0
2024-02-19,24650.0,80500.0,-5700.0,43100.0,37400.0
2024-02-19,24700.0,72800.0,-35000.0,53900.0,18900.0
2024-02-19,24750.0,62300.0,33300.0,14500.0,47800.0
2024-02-19,24800.0,25600.0,-17200.0,21400.0,4200.0
2024-02-19,24850.0,14500.0,-7300.0,10900.0,3600.0
2024-02-19,24900.0,20800.0,2800.0,9000.0,11800.0
2024-02-19,24950.0,15000.0,-4600.0,9800.0,5200.0
2024-02-19,25000.0,1300.0,-1300.0,1300.0,0.0
2024-02-19,25050.0,10500.0,7500.0,1500.0,9000.0
2024-02-19,25100.0,5500.0,5500.0,0.0,5500.0
2024-02-20,24700.0,50000.0,-50000.0,50000.0,0.0
2024-02-20,24750.0,57600.0,9600.0,24000.0,33600.0
2024-02-20,24800.0,95800.0,8400.0,43700.0,52100.0
2024-02-20,24850.0,68000.0,46400.0,10800.0,57200.0
2024-02-20,24900.0,96600.0,7400.0,44600.0,52000.0
2024-02-20,24950.0,124700.0,24700.0,50000.0,74700.0
2024-02-20,25000.0,52500.0,37900.0,7300.0,45200.0
2024-02-20,25050.0,59800.0,-21600.0,40700.0,19100.0
2024-02-20,25100.0,184300.0,700.0,91800.0,92500.0
2024-02-20,25150.0,126300.0,55900.0,35200.0,91100.0
2024-02-20,25200.0,81100.0,66100.0,7500.0,73600.0
2024-02-20,25250.0,16000.0,16000.0,0.0,16000.0
2024-02-20,25300.0,400.0,400.0,0.0,400.0
2024-02-21,25350.0,12200.0,-10600.0,11400.0,800.0
2024-02-21,25400.0,100600.0,41600.0,29500.0,71100.0
2024-02-21,25450.0,41200.0,1000.0,20100.0,21100.0
2024-02-21,25500.0,171000.0,46400.0,62300.0,108700.0
2024-02-21,25550.0,37000.0,10600.0,13200.0,23800.0
2024-02-21,25600.0,29700.0,29300.0,200.0,29500.0
2024-02-21,25650.0,58200.0,-22400.0,40300.0,17900.0
2024-02-21,25700.0,89300.0,44500.0,22400.0,66900.0
2024-02-21,25750.0,15400.0,11400.0,2000.0,13400.0
2024-02-21,25800.0,63100.0,4900.0,29100.0,34000.0
2024-02-21,25850.0,63000.0,38800.0,12100.0,50900.0
2024-02-21,25900.0,7600.0,7600.0,0.0,7600.0
2024-02-21,25950.0,12300.0,12300.0,0.0,12300.0
2024-02-21,26000.0,118400.0,118400.0,0.0,118400.0
2024-02-21,26050.0,4500.0,4500.0,0.0,4500.0
2024-02-21,26100.0,14400.0,14400.0,0.0,14400.0
2024-02-21,26150.0,7200.0,1200.0,3000.0,4200.0
2024-02-21,26200.0,112800.0,-67400.0,90100.0,22700.0
2024-02-21,26250.0,5200.0,-2400.0,3800.0,1400.0
2024-02-21,26300.0,10300.0,-1900.0,6100.0,4200.0
