t,p,q,d,b,a
2024-02-15,8050.0,4200.0,3600.0,300.0,3900.0
2024-02-15,8060.0,38000.0,37200.0,400.0,37600.0
2024-02-15,8100.0,35200.0,32200.0,1500.0,33700.0
2024-02-15,8110.0,45900.0,11300.0,17300.0,28600.0
2024-02-15,8120.0,10400.0,10400.0,0.0,10400.0
2024-02-15,8130.0,17700.0,12500.0,2600.0,15100.0
2024-02-15,8140.0,10600.0,10600.0,0.0,10600.0
2024-02-15,8150.0,76500.0,-14100.0,45300.0,31200.0
2024-02-15,8160.0,116400.0,10800.0,52800.0,63600.0
2024-02-15,8170.0,110700.0,-3900.0,57300.0,53400.0
2024-02-15,8180.0,47300.0,7900.0,19700.0,27600.0
2024-02-15,8190.0,133400.0,62000.0,35700.0,97700.0
2024-02-15,8200.0,257400.0,118200.0,69600.0,187800.0
2024-02-15,8210.0,59200.0,28600.0,15300.0,43900.0
2024-02-15,8220.0,17200.0,4400.0,6400.0,10800.0
2024-02-15,8230.0,2700.0,2700.0,0.0,2700.0
2024-02-15,8240.0,2500.0,2500.0,0.0,2500.0
2024-02-16,8000.0,21400.0,-21400.0,21400.0,0.0
2024-02-16,8010.0,5100.0,-5100.0,5100.0,0.0
2024-02-16,8020.0,9500.0,-9500.0,9500.0,0.0
2024-02-16,8030.0,5500.0,-5500.0,5500.0,0.0
2024-02-16,8050.0,6100.0,-6100.0,6100.0,0.0
2024-02-16,8060.0,1000.0,-1000.0,1000.0,0.0
2024-02-16,8070.0,1000.0,-1000.0,1000.0,0.0
2024-02-16,8100.0,18200.0,-18200.0,18200.0,0.0
2024-02-16,8110.0,14800.0,-14800.0,14800.0,0.0
2024-02-16,8120.0,18100.0,-18100.0,18100.0,0.0
2024-02-16,8130.0,18200.0,-8400.0,13300.0,4900.0
2024-02-16,8140.0,16700.0,-9500.0,13100.0,3600.0
2024-02-16,8150.0,25700.0,-24100.0,24900.0,800.0
2024-02-16,8160.0,58500.0,-38700.0,48600.0,9900.0
2024-02-16,8170.0,56000.0,-21600.0,38800.0,17200.0
2024-02-16,8180.0,71200.0,-45600.0,58400.0,12800.0
2024-02-16,8190.0,44000.0,30400.0,6800.0,37200.0
2024-02-16,8200.0,28500.0,-4700.0,16600.0,11900.0
2024-02-19,8090.0,10200.0,-4200.0,7200.0,3000.0
2024-02-19,8100.0,83300.0,-33500.0,58400.0,24900.0
2024-02-19,8110.0,32200.0,-14400.0,23300.0,8900.0
2024-02-19,8120.0,48400.0,-26600.0,37500.0,10900.0
2024-02-19,8130.0,2100.0,-2100.0,2100.0,0.0
2024-02-19,8140.0,3800.0,-600.0,2200.0,1600.0
2024-02-19,8150.0,85500.0,53100.0,16200.0,69300.0
2024-02-19,8160.0,34400.0,-10400.0,22400.0,12000.0
2024-02-19,8170.0,110000.0,13800.0,48100.0,61900.0
2024-02-19,8180.0,78900.0,9100.0,34900.0,44000.0
2024-02-19,8190.0,84800.0,43400.0,20700.0,64100.0
2024-02-19,8200.0,251400.0,48200.0,101600.0,149800.0
2024-02-19,8210.0,38600.0,-34800.0,36700.0,1900.0
2024-02-19,8220.0,76200.0,24600.0,25800.0,50400.0
2024-02-19,8230.0,32400.0,31200.0,600.0,31800.0
2024-02-19,8240.0,54600.0,54000.0,300.0,54300.0
2024-02-19,8250.0,168200.0,101000.0,33600.0,134600.0
2024-02-20,8120.0,7500.0,-7500.0,7500.0,0.0
2024-02-20,8130.0,47900.0,-37300.0,42600.0,5300.0
2024-02-20,8140.0,72800.0,-39400.0,56100.0,16700.0
2024-02-20,8150.0,67900.0,-27500.0,47700.0,20200.0
2024-02-20,8160.0,108000.0,-5600.0,56800.0,51200.0
2024-02-20,8170.0,97200.0,66200.0,15500.0,81700.0
2024-02-20,8180.0,26600.0,-14600.0,20600.0,6000.0
2024-02-20,8190.0,1400.0,-1400.0,1400.0,0.0
2024-02-20,8200.0,23300.0,1700.0,10800.0,12500.0
2024-02-20,8220.0,2300.0,700.0,800.0,1500.0
2024-02-20,8240.0,5000.0,-5000.0,5000.0,0.0
2024-02-20,8250.0,8000.0,8000.0,0.0,8000.0
2024-02-21,8030.0,132600.0,-125000.0,128800.0,3800.0
2024-02-21,8040.0,91200.0,-91200.0,91200.0,0.0
2024-02-21,8050.0,299400.0,-134000.0,216700.0,82700.0
2024-02-21,8060.0,339000.0,178800.0,80100.0,258900.0
2024-02-21,8070.0,52400.0,-24600.0,38500.0,13900.0
2024-02-21,8080.0,32800.0,-14800.0,23800.0,9000.0
2024-02-21,8090.0,116000.0,-71000.0,93500.0,22500.0
2024-02-21,8100.0,207300.0,-4700.0,106000.0,101300.0
2024-02-21,8110.0,28900.0,-28900.0,28900.0,0.0
2024-02-21,8120.0,119800.0,-62200.0,91000.0,28800.0
2024-02-21,8130.0,96900.0,16300.0,40300.0,56600.0
2024-02-21,8140.0,56000.0,34600.0,10700.0,45300.0
2024-02-21,8150.0,54200.0,36800.0,8700.0,45500.0
2024-02-21,8160.0,1300.0,1300.0,0.0,1300.0
