t,p,q,d,b,a
2024-02-15,20600.0,11600.0,-11600.0,11600.0,0.0
2024-02-15,20700.0,297124.0,-105030.0,201077.0,96047.0
2024-02-15,20800.0,315274.0,253676.0,30799.0,284475.0
2024-02-15,20900.0,110901.0,89499.0,10701.0,100200.0
2024-02-15,21000.0,566486.0,-40686.0,303586.0,262900.0
2024-02-15,21100.0,655096.0,-7464.0,331280.0,323816.0
2024-02-15,21200.0,639341.0,542141.0,48600.0,590741.0
2024-02-15,21300.0,10998.0,10998.0,0.0,10998.0
2024-02-16,20700.0,107917.0,-107917.0,107917.0,0.0
2024-02-16,20800.0,717694.0,-98734.0,408214.0,309480.0
2024-02-16,20900.0,326247.0,51927.0,137160.0,189087.0
2024-02-16,21000.0,87697.0,-53725.0,70711.0,16986.0
2024-02-16,21100.0,34668.0,34668.0,0.0,34668.0
2024-02-19,20600.0,4200.0,-4200.0,4200.0,0.0
2024-02-19,20700.0,591438.0,-660.0,296049.0,295389.0
2024-02-19,20800.0,447387.0,-55459.0,251423.0,195964.0
2024-02-19,20900.0,239179.0,-79853.0,159516.0,79663.0
2024-02-19,21000.0,323829.0,270091.0,26869.0,296960.0
2024-02-19,21100.0,10020.0,10020.0,0.0,10020.0
2024-02-20,20500.0,100.0,-100.0,100.0,0.0
2024-02-20,20600.0,291283.0,-200283.0,245783.0,45500.0
2024-02-20,20700.0,970378.0,103426.0,433476.0,536902.0
2024-02-20,20800.0,529526.0,28598.0,250464.0,279062.0
2024-02-20,20900.0,20707.0,20707.0,0.0,20707.0
2024-02-21,20600.0,23500.0,-23500.0,23500.0,0.0
2024-02-21,20700.0,315999.0,-268799.0,292399.0,23600.0
2024-02-21,20800.0,505886.0,-6824.0,256355.0,249531.0
2024-02-21,20900.0,900781.0,91325.0,404728.0,496053.0
2024-02-21,21000.0,208787.0,208787.0,0.0,208787.0
2024-02-22,20700.0,2100.0,-2100.0,2100.0,0.0
2024-02-22,21000.0,144300.0,-47900.0,96100.0,48200.0
2024-02-22,21100.0,426659.0,30859.0,197900.0,228759.0
2024-02-22,21200.0,466196.0,-164058.0,315127.0,151069.0
2024-02-22,21300.0,485827.0,-101227.0,293527.0,192300.0
2024-02-22,21400.0,677790.0,-61260.0,369525.0,308265.0
2024-02-22,21500.0,400515.0,267147.0,66684.0,333831.0
2024-02-22,21600.0,147500.0,-74700.0,111100.0,36400.0
2024-02-22,21700.0,38065.0,38065.0,0.0,38065.0
2024-02-23,20600.0,397900.0,96700.0,150600.0,247300.0
2024-02-23,20700.0,344375.0,-204625.0,274500.0,69875.0
2024-02-23,20800.0,291000.0,-269200.0,280100.0,10900.0
2024-02-23,20900.0,243953.0,-35013.0,139483.0,104470.0
2024-02-23,21000.0,416322.0,-285534.0,350928.0,65394.0
2024-02-23,21100.0,410601.0,-33747.0,222174.0,188427.0
2024-02-23,21200.0,439613.0,172461.0,133576.0,306037.0
2024-02-23,21300.0,77736.0,36864.0,20436.0,57300.0
2024-02-26,20700.0,109051.0,12183.0,48434.0,60617.0
2024-02-26,20800.0,205879.0,-71027.0,138453.0,67426.0
2024-02-26,20900.0,166221.0,100243.0,32989.0,133232.0
2024-02-26,21000.0,399980.0,118222.0,140879.0,259101.0
2024-02-26,21100.0,366255.0,148055.0,109100.0,257155.0
2024-02-26,21200.0,328966.0,-16818.0,172892.0,156074.0
2024-02-26,21300.0,794785.0,224113.0,285336.0,509449.0
2024-02-26,21400.0,360635.0,210231.0,75202.0,285433.0
2024-02-26,21500.0,21535.0,21535.0,0.0,21535.0
2024-02-27,21300.0,700.0,-700.0,700.0,0.0
2024-02-27,21400.0,489421.0,-415421.0,452421.0,37000.0
2024-02-27,21500.0,626007.0,230931.0,197538.0,428469.0
2024-02-27,21600.0,371115.0,79589.0,145763.0,225352.0
2024-02-27,21700.0,474795.0,57921.0,208437.0,266358.0
2024-02-27,21800.0,317064.0,130910.0,93077.0,223987.0
2024-02-27,21900.0,472001.0,-118781.0,295391.0,176610.0
2024-02-27,22000.0,128333.0,128333.0,0.0,128333.0
2024-02-28,21200.0,89400.0,-89400.0,89400.0,0.0
2024-02-28,21300.0,362268.0,-235810.0,299039.0,63229.0
2024-02-28,21400.0,538776.0,69810.0,234483.0,304293.0
2024-02-28,21500.0,270491.0,-225831.0,248161.0,22330.0
2024-02-28,21600.0,190345.0,-68495.0,129420.0,60925.0
2024-02-28,21700.0,244997.0,115397.0,64800.0,180197.0
2024-02-28,21800.0,119015.0,-13593.0,66304.0,52711.0
2024-02-28,21900.0,100.0,100.0,0.0,100.0
2024-02-29,21100.0,27544.0,-27544.0,27544.0,0.0
2024-02-29,21200.0,564654.0,70946.0,246854.0,317800.0
2024-02-29,21300.0,709389.0,-30697.0,370043.0,339346.0
2024-02-29,21400.0,466285.0,36105.0,215090.0,251195.0
2024-02-29,21500.0,278604.0,7196.0,135704.0,142900.0
2024-02-29,21600.0,217520.0,-57226.0,137373.0,80147.0
2024-02-29,21700.0,455967.0,-76113.0,266040.0,189927.0
2024-02-29,21800.0,56170.0,56170.0,0.0,56170.0
2024-03-01,21200.0,121002.0,-121002.0,121002.0,0.0
2024-03-01,21300.0,720412.0,-350032.0,535222.0,185190.0
2024-03-01,21400.0,645141.0,99245.0,272948.0,372193.0
2024-03-01,21500.0,158461.0,69041.0,44710.0,113751.0
2024-03-01,21600.0,6000.0,6000.0,0.0,6000.0
2024-03-04,21400.0,5000.0,-5000.0,5000.0,0.0
2024-03-04,21500.0,7100.0,-7100.0,7100.0,0.0
2024-03-04,21600.0,38408.0,38408.0,0.0,38408.0
2024-03-04,21700.0,9600.0,9600.0,0.0,9600.0
2024-03-04,21800.0,52500.0,30700.0,10900.0,41600.0
2024-03-04,21900.0,90647.0,57351.0,16648.0,73999.0
2024-03-04,22000.0,162840.0,141240.0,10800.0,152040.0
2024-03-04,22100.0,89857.0,-40257.0,65057.0,24800.0
2024-03-04,22200.0,1143033.0,-524997.0,834015.0,309018.0
2024-03-04,22300.0,1639544.0,-65316.0,852430.0,787114.0
2024-03-04,22400.0,1375174.0,1049080.0,163047.0,1212127.0
2024-03-04,22500.0,373729.0,216309.0,78710.0,295019.0
2024-03-04,22600.0,700.0,700.0,0.0,700.0
2024-03-05,22000.0,19200.0,-19200.0,19200.0,0.0
2024-03-05,22100.0,105190.0,-5190.0,55190.0,50000.0
2024-03-05,22200.0,498502.0,-380124.0,439313.0,59189.0
2024-03-05,22300.0,1105388.0,203772.0,450808.0,654580.0
2024-03-05,22400.0,291451.0,268619.0,11416.0,280035.0
2024-03-05,22500.0,900.0,-500.0,700.0,200.0
2024-03-06,21700.0,32658.0,-32658.0,32658.0,0.0
2024-03-06,21800.0,408909.0,-253853.0,331381.0,77528.0
2024-03-06,21900.0,579345.0,97529.0,240908.0,338437.0
2024-03-06,22000.0,637707.0,-269255.0,453481.0,184226.0
2024-03-06,22100.0,472008.0,-156464.0,314236.0,157772.0
2024-03-06,22200.0,344324.0,-242212.0,293268.0,51056.0
2024-03-06,22300.0,202282.0,51452.0,75415.0,126867.0
2024-03-06,22400.0,2709.0,2709.0,0.0,2709.0
2024-03-06,22500.0,22500.0,17500.0,2500.0,20000.0
2024-03-07,21900.0,279949.0,-48349.0,164149.0,115800.0
2024-03-07,22000.0,202411.0,-11025.0,106718.0,95693.0
2024-03-07,22100.0,79763.0,64037.0,7863.0,71900.0
2024-03-07,22200.0,33300.0,33300.0,0.0,33300.0
2024-03-07,22300.0,47300.0,40900.0,3200.0,44100.0
2024-03-07,22400.0,139162.0,-15920.0,77541.0,61621.0
2024-03-07,22500.0,369669.0,38389.0,165640.0,204029.0
2024-03-07,22600.0,539386.0,154018.0,192684.0,346702.0
2024-03-07,22700.0,1086877.0,130109.0,478384.0,608493.0
2024-03-07,22800.0,818389.0,149925.0,334232.0,484157.0
2024-03-07,22900.0,319784.0,319584.0,100.0,319684.0
2024-03-08,22200.0,161866.0,-161866.0,161866.0,0.0
2024-03-08,22300.0,999550.0,-517238.0,758394.0,241156.0
2024-03-08,22400.0,928243.0,-24759.0,476501.0,451742.0
2024-03-08,22500.0,296957.0,173157.0,61900.0,235057.0
2024-03-08,22600.0,28558.0,-7242.0,17900.0,10658.0
2024-03-08,22700.0,122144.0,85392.0,18376.0,103768.0
2024-03-08,22800.0,7035.0,2635.0,2200.0,4835.0
2024-03-08,22900.0,5150.0,5150.0,0.0,5150.0
2024-03-11,21700.0,15100.0,-15100.0,15100.0,0.0
2024-03-11,21800.0,437400.0,-413400.0,425400.0,12000.0
2024-03-11,21900.0,166858.0,-358.0,83608.0,83250.0
2024-03-11,22000.0,481690.0,83110.0,199290.0,282400.0
2024-03-11,22100.0,362835.0,-32875.0,197855.0,164980.0
2024-03-11,22200.0,523326.0,-165846.0,344586.0,178740.0
2024-03-11,22300.0,397104.0,-159478.0,278291.0,118813.0
2024-03-11,22400.0,378920.0,142472.0,118224.0,260696.0
2024-03-11,22500.0,197869.0,24819.0,86525.0,111344.0
2024-03-11,22600.0,76563.0,76563.0,0.0,76563.0
2024-03-12,21600.0,5500.0,-5500.0,5500.0,0.0
2024-03-12,21700.0,140800.0,-40600.0,90700.0,50100.0
2024-03-12,21800.0,124373.0,-16773.0,70573.0,53800.0
2024-03-12,21900.0,388651.0,-68747.0,228699.0,159952.0
2024-03-12,22000.0,507366.0,-10278.0,258822.0,248544.0
2024-03-12,22100.0,431310.0,301010.0,65150.0,366160.0
2024-03-12,22200.0,265168.0,251316.0,6926.0,258242.0
2024-03-12,22300.0,94576.0,84576.0,5000.0,89576.0
2024-03-12,22400.0,148607.0,26193.0,61207.0,87400.0
2024-03-12,22500.0,613137.0,361737.0,125700.0,487437.0
2024-03-12,22600.0,64577.0,64577.0,0.0,64577.0
2024-03-13,22400.0,39536.0,-39536.0,39536.0,0.0
2024-03-13,22500.0,126081.0,59481.0,33300.0,92781.0
2024-03-13,22600.0,72142.0,40138.0,16002.0,56140.0
2024-03-13,22700.0,90006.0,84796.0,2605.0,87401.0
2024-03-13,22800.0,39575.0,-20175.0,29875.0,9700.0
2024-03-13,22900.0,680916.0,-223068.0,451992.0,228924.0
2024-03-13,23000.0,719879.0,72087.0,323896.0,395983.0
2024-03-13,23100.0,634149.0,64583.0,284783.0,349366.0
2024-03-13,23200.0,586946.0,176142.0,205402.0,381544.0
2024-03-13,23300.0,120686.0,61298.0,29694.0,90992.0
2024-03-14,22600.0,47300.0,-47300.0,47300.0,0.0
2024-03-14,22700.0,354428.0,-264220.0,309324.0,45104.0
2024-03-14,22800.0,572952.0,-154542.0,363747.0,209205.0
2024-03-14,22900.0,537278.0,-184084.0,360681.0,176597.0
2024-03-14,23000.0,375494.0,209096.0,83199.0,292295.0
2024-03-14,23100.0,155418.0,-61748.0,108583.0,46835.0
2024-03-14,23200.0,35654.0,35654.0,0.0,35654.0
2024-03-14,23400.0,1500.0,1500.0,0.0,1500.0
2024-03-15,22100.0,362080.0,-362080.0,362080.0,0.0
2024-03-15,22200.0,696149.0,-423263.0,559706.0,136443.0
2024-03-15,22300.0,781509.0,247343.0,267083.0,514426.0
2024-03-15,22400.0,496708.0,-344908.0,420808.0,75900.0
2024-03-15,22500.0,640962.0,-481370.0,561166.0,79796.0
2024-03-15,22600.0,330227.0,33073.0,148577.0,181650.0
2024-03-15,22700.0,126906.0,-23894.0,75400.0,51506.0
2024-03-15,22800.0,17006.0,17006.0,0.0,17006.0
2024-03-18,21000.0,67642.0,-67642.0,67642.0,0.0
2024-03-18,21100.0,123122.0,-113122.0,118122.0,5000.0
2024-03-18,21200.0,466641.0,-121531.0,294086.0,172555.0
2024-03-18,21300.0,555301.0,-330439.0,442870.0,112431.0
2024-03-18,21400.0,494264.0,78330.0,207967.0,286297.0
2024-03-18,21500.0,326440.0,-119560.0,223000.0,103440.0
2024-03-18,21600.0,534013.0,-282789.0,408401.0,125612.0
2024-03-18,21700.0,371225.0,227883.0,71671.0,299554.0
2024-03-18,21800.0,363762.0,-141438.0,252600.0,111162.0
2024-03-18,21900.0,110539.0,-103781.0,107160.0,3379.0
2024-03-18,22000.0,301883.0,-170883.0,236383.0,65500.0
2024-03-18,22100.0,209800.0,-138000.0,173900.0,35900.0
2024-03-18,22200.0,223840.0,-37764.0,130802.0,93038.0
2024-03-18,22300.0,39423.0,-37177.0,38300.0,1123.0
2024-03-18,22400.0,106907.0,-89707.0,98307.0,8600.0
2024-03-18,22500.0,2000.0,2000.0,0.0,2000.0
2024-03-19,21500.0,85200.0,-85200.0,85200.0,0.0
2024-03-19,21600.0,335260.0,-267576.0,301418.0,33842.0
