t,p,q,d,b,a
2024-02-15,18600.0,311300.0,-310500.0,310900.0,400.0
2024-02-15,18650.0,1777600.0,-174400.0,976000.0,801600.0
2024-02-15,18700.0,2836800.0,1650800.0,593000.0,2243800.0
2024-02-15,18750.0,595600.0,438200.0,78700.0,516900.0
2024-02-15,18800.0,3381900.0,2338700.0,521600.0,2860300.0
2024-02-15,18850.0,536700.0,177300.0,179700.0,357000.0
2024-02-15,18900.0,1906700.0,212700.0,847000.0,1059700.0
2024-02-15,18950.0,2860600.0,157800.0,1351400.0,1509200.0
2024-02-15,19000.0,6927300.0,3712500.0,1607400.0,5319900.0
2024-02-15,19050.0,2035200.0,537200.0,749000.0,1286200.0
2024-02-15,19100.0,2050700.0,948300.0,551200.0,1499500.0
2024-02-15,19150.0,323900.0,323900.0,0.0,323900.0
2024-02-16,18800.0,539300.0,-539300.0,539300.0,0.0
2024-02-16,18850.0,2441500.0,-4100.0,1222800.0,1218700.0
2024-02-16,18900.0,3006600.0,368800.0,1318900.0,1687700.0
2024-02-16,18950.0,2253300.0,869500.0,691900.0,1561400.0
2024-02-16,19000.0,4891200.0,3586800.0,652200.0,4239000.0
2024-02-16,19050.0,996200.0,612000.0,192100.0,804100.0
2024-02-19,18650.0,764800.0,-764800.0,764800.0,0.0
2024-02-19,18700.0,3220200.0,50400.0,1584900.0,1635300.0
2024-02-19,18750.0,1893000.0,428800.0,732100.0,1160900.0
2024-02-19,18800.0,701700.0,-2100.0,351900.0,349800.0
2024-02-19,18850.0,622300.0,32100.0,295100.0,327200.0
2024-02-19,18900.0,1137800.0,-503000.0,820400.0,317400.0
2024-02-19,18950.0,238600.0,238600.0,0.0,238600.0
2024-02-20,18650.0,591600.0,-591600.0,591600.0,0.0
2024-02-20,18700.0,2534700.0,-826500.0,1680600.0,854100.0
2024-02-20,18750.0,2581400.0,-217800.0,1399600.0,1181800.0
2024-02-20,18800.0,3109700.0,1180500.0,964600.0,2145100.0
2024-02-20,18850.0,151700.0,151700.0,0.0,151700.0
2024-02-21,18550.0,97200.0,-97200.0,97200.0,0.0
2024-02-21,18600.0,171800.0,-171800.0,171800.0,0.0
2024-02-21,18650.0,263900.0,-248700.0,256300.0,7600.0
2024-02-21,18700.0,753300.0,-458900.0,606100.0,147200.0
2024-02-21,18750.0,627000.0,-178800.0,402900.0,224100.0
2024-02-21,18800.0,338100.0,303900.0,17100.0,321000.0
2024-02-21,18850.0,244800.0,199200.0,22800.0,222000.0
2024-02-21,18900.0,290800.0,275200.0,7800.0,283000.0
2024-02-21,18950.0,334500.0,231700.0,51400.0,283100.0
2024-02-21,19000.0,3222600.0,3222600.0,0.0,3222600.0
2024-02-21,19050.0,550100.0,-413100.0,481600.0,68500.0
2024-02-21,19100.0,5132100.0,348900.0,2391600.0,2740500.0
2024-02-21,19150.0,5385800.0,159800.0,2613000.0,2772800.0
2024-02-21,19200.0,4561000.0,2958400.0,801300.0,3759700.0
2024-02-21,19250.0,983200.0,978800.0,2200.0,981000.0
2024-02-21,19300.0,628800.0,526200.0,51300.0,577500.0
2024-02-21,19350.0,1334400.0,200200.0,567100.0,767300.0
2024-02-21,19400.0,1876800.0,1747000.0,64900.0,1811900.0
2024-02-21,19450.0,1076700.0,255500.0,410600.0,666100.0
2024-02-21,19500.0,3319500.0,3319500.0,0.0,3319500.0
2024-02-22,19200.0,5600.0,-5600.0,5600.0,0.0
2024-02-22,19250.0,123900.0,-123900.0,123900.0,0.0
2024-02-22,19300.0,1551900.0,-967700.0,1259800.0,292100.0
2024-02-22,19350.0,820100.0,-267700.0,543900.0,276200.0
2024-02-22,19400.0,1936100.0,-850900.0,1393500.0,542600.0
