t,p,q,d,b,a
2024-02-15,89100.0,4100.0,-3300.0,3700.0,400.0
2024-02-15,89200.0,20000.0,-18400.0,19200.0,800.0
2024-02-15,89300.0,18800.0,-17600.0,18200.0,600.0
2024-02-15,89400.0,29900.0,-19700.0,24800.0,5100.0
2024-02-15,89500.0,105900.0,-105700.0,105800.0,100.0
2024-02-15,89600.0,342600.0,-208000.0,275300.0,67300.0
2024-02-15,89700.0,201100.0,114300.0,43400.0,157700.0
2024-02-15,89800.0,37100.0,21700.0,7700.0,29400.0
2024-02-15,89900.0,119600.0,-113600.0,116600.0,3000.0
2024-02-15,90000.0,69600.0,-14000.0,41800.0,27800.0
2024-02-15,90100.0,37800.0,30200.0,3800.0,34000.0
2024-02-15,90200.0,2200.0,1200.0,500.0,1700.0
2024-02-15,90400.0,500.0,500.0,0.0,500.0
2024-02-15,90500.0,800.0,800.0,0.0,800.0
2024-02-15,90600.0,100.0,100.0,0.0,100.0
2024-02-15,90700.0,400.0,400.0,0.0,400.0
2024-02-16,89500.0,1100.0,-1100.0,1100.0,0.0
2024-02-16,89600.0,40400.0,-40400.0,40400.0,0.0
2024-02-16,89700.0,94000.0,6800.0,43600.0,50400.0
2024-02-16,89800.0,102200.0,-2600.0,52400.0,49800.0
2024-02-16,89900.0,149300.0,81300.0,34000.0,115300.0
2024-02-16,90000.0,152200.0,-10000.0,81100.0,71100.0
2024-02-16,90100.0,94100.0,90100.0,2000.0,92100.0
2024-02-16,90200.0,2000.0,2000.0,0.0,2000.0
2024-02-19,89300.0,73300.0,-73300.0,73300.0,0.0
2024-02-19,89400.0,225300.0,-24700.0,125000.0,100300.0
2024-02-19,89500.0,204700.0,-26900.0,115800.0,88900.0
2024-02-19,89600.0,90100.0,-14900.0,52500.0,37600.0
2024-02-19,89700.0,58100.0,9700.0,24200.0,33900.0
2024-02-19,89800.0,50600.0,20000.0,15300.0,35300.0
2024-02-19,89900.0,38200.0,18000.0,10100.0,28100.0
2024-02-19,90000.0,92600.0,54000.0,19300.0,73300.0
2024-02-19,90100.0,45700.0,26700.0,9500.0,36200.0
2024-02-19,90200.0,18200.0,2000.0,8100.0,10100.0
2024-02-19,90300.0,20700.0,-100.0,10400.0,10300.0
2024-02-19,90400.0,16900.0,16900.0,0.0,16900.0
2024-02-19,90500.0,13700.0,13700.0,0.0,13700.0
2024-02-20,89400.0,19400.0,-19400.0,19400.0,0.0
2024-02-20,89500.0,119400.0,-119400.0,119400.0,0.0
2024-02-20,89600.0,231600.0,-30000.0,130800.0,100800.0
2024-02-20,89700.0,191700.0,121900.0,34900.0,156800.0
2024-02-20,89800.0,42400.0,27600.0,7400.0,35000.0
2024-02-20,89900.0,19200.0,18800.0,200.0,19000.0
2024-02-20,90000.0,18800.0,200.0,9300.0,9500.0
2024-02-20,90100.0,29800.0,27600.0,1100.0,28700.0
2024-02-20,90200.0,86400.0,55800.0,15300.0,71100.0
2024-02-20,90300.0,46400.0,40800.0,2800.0,43600.0
2024-02-20,90400.0,62700.0,16500.0,23100.0,39600.0
2024-02-20,90500.0,100900.0,93500.0,3700.0,97200.0
2024-02-20,90600.0,37700.0,37700.0,0.0,37700.0
2024-02-20,90700.0,14600.0,14600.0,0.0,14600.0
2024-02-20,90800.0,18600.0,-9000.0,13800.0,4800.0
2024-02-20,90900.0,26200.0,-800.0,13500.0,12700.0
2024-02-20,91000.0,98100.0,31500.0,33300.0,64800.0
2024-02-20,91100.0,26500.0,17500.0,4500.0,22000.0
2024-02-20,91200.0,27600.0,16400.0,5600.0,22000.0
2024-02-20,91300.0,8400.0,4400.0,2000.0,6400.0
2024-02-20,91400.0,200.0,200.0,0.0,200.0
2024-02-21,90500.0,47300.0,-47300.0,47300.0,0.0
2024-02-21,90600.0,109700.0,-26300.0,68000.0,41700.0
2024-02-21,90700.0,79500.0,16900.0,31300.0,48200.0
2024-02-21,90800.0,57200.0,24600.0,16300.0,40900.0
2024-02-21,90900.0,107900.0,-2700.0,55300.0,52600.0
2024-02-21,91000.0,354300.0,-44700.0,199500.0,154800.0
2024-02-21,91100.0,221100.0,37900.0,91600.0,129500.0
2024-02-21,91200.0,53100.0,41300.0,5900.0,47200.0
2024-02-21,91300.0,96000.0,68400.0,13800.0,82200.0
2024-02-21,91400.0,63200.0,21600.0,20800.0,42400.0
2024-02-21,91500.0,68100.0,52100.0,8000.0,60100.0
2024-02-21,91600.0,1400.0,1400.0,0.0,1400.0
2024-02-21,91700.0,19700.0,19700.0,0.0,19700.0
2024-02-22,89900.0,9800.0,-9800.0,9800.0,0.0
2024-02-22,90000.0,147600.0,-121200.0,134400.0,13200.0
2024-02-22,90100.0,103800.0,-45800.0,74800.0,29000.0
2024-02-22,90200.0,112400.0,-82400.0,97400.0,15000.0
2024-02-22,90300.0,405900.0,-225500.0,315700.0,90200.0
2024-02-22,90400.0,149500.0,43100.0,53200.0,96300.0
2024-02-22,90500.0,38300.0,-20500.0,29400.0,8900.0
2024-02-22,90600.0,52300.0,14100.0,19100.0,33200.0
2024-02-22,90700.0,600.0,-400.0,500.0,100.0
2024-02-22,91000.0,100.0,100.0,0.0,100.0
2024-02-23,89300.0,7900.0,-7900.0,7900.0,0.0
2024-02-23,89400.0,13800.0,-4400.0,9100.0,4700.0
2024-02-23,89500.0,84300.0,-84300.0,84300.0,0.0
2024-02-23,89600.0,86200.0,-83800.0,85000.0,1200.0
2024-02-23,89700.0,79300.0,-32500.0,55900.0,23400.0
2024-02-23,89800.0,112800.0,-26200.0,69500.0,43300.0
2024-02-23,89900.0,95300.0,44300.0,25500.0,69800.0
