t,p,q,d,b,a
2024-02-15,25400.0,7800.0,-7800.0,7800.0,0.0
2024-02-15,25450.0,930100.0,-782100.0,856100.0,74000.0
2024-02-15,25500.0,1561600.0,-480800.0,1021200.0,540400.0
2024-02-15,25550.0,949900.0,-316500.0,633200.0,316700.0
2024-02-15,25600.0,999700.0,-274100.0,636900.0,362800.0
2024-02-15,25650.0,1168100.0,4500.0,581800.0,586300.0
2024-02-15,25700.0,128700.0,128700.0,0.0,128700.0
2024-02-16,25300.0,6500.0,-6500.0,6500.0,0.0
2024-02-16,25350.0,240500.0,-240500.0,240500.0,0.0
2024-02-16,25400.0,1685400.0,-355000.0,1020200.0,665200.0
2024-02-16,25450.0,1172100.0,-108100.0,640100.0,532000.0
2024-02-16,25500.0,633500.0,-432300.0,532900.0,100600.0
2024-02-16,25550.0,540100.0,-113300.0,326700.0,213400.0
2024-02-16,25600.0,698500.0,-432700.0,565600.0,132900.0
2024-02-16,25650.0,1165400.0,-463600.0,814500.0,350900.0
2024-02-16,25700.0,624200.0,-231000.0,427600.0,196600.0
2024-02-16,25750.0,607300.0,200900.0,203200.0,404100.0
2024-02-16,25800.0,19800.0,19800.0,0.0,19800.0
2024-02-19,25200.0,307700.0,-307700.0,307700.0,0.0
2024-02-19,25250.0,673900.0,-219300.0,446600.0,227300.0
2024-02-19,25300.0,1188600.0,293200.0,447700.0,740900.0
2024-02-19,25350.0,456000.0,-400.0,228200.0,227800.0
2024-02-19,25400.0,567700.0,-271100.0,419400.0,148300.0
2024-02-19,25450.0,1554000.0,-230800.0,892400.0,661600.0
2024-02-19,25500.0,709900.0,503500.0,103200.0,606700.0
2024-02-19,25550.0,239000.0,-21200.0,130100.0,108900.0
2024-02-19,25600.0,45300.0,45300.0,0.0,45300.0
2024-02-20,25350.0,96800.0,-96800.0,96800.0,0.0
2024-02-20,25400.0,614600.0,-564200.0,589400.0,25200.0
2024-02-20,25450.0,994500.0,-279500.0,637000.0,357500.0
2024-02-20,25500.0,1777700.0,-780700.0,1279200.0,498500.0
2024-02-20,25550.0,1961300.0,-161300.0,1061300.0,900000.0
2024-02-20,25600.0,1135500.0,-85100.0,610300.0,525200.0
2024-02-20,25650.0,216200.0,-8800.0,112500.0,103700.0
2024-02-20,25700.0,268000.0,106400.0,80800.0,187200.0
2024-02-20,25750.0,75300.0,75300.0,0.0,75300.0
2024-02-21,25000.0,470400.0,-470400.0,470400.0,0.0
2024-02-21,25050.0,2086600.0,-504600.0,1295600.0,791000.0
2024-02-21,25100.0,1335000.0,-131600.0,733300.0,601700.0
2024-02-21,25150.0,676000.0,-77200.0,376600.0,299400.0
2024-02-21,25200.0,739200.0,-212400.0,475800.0,263400.0
2024-02-21,25250.0,461600.0,-308000.0,384800.0,76800.0
