t,p,q,d,b,a
2024-07-08,47050.0,4100.0,-4100.0,4100.0,0.0
2024-07-08,47100.0,32000.0,-25200.0,28600.0,3400.0
2024-07-08,47150.0,35200.0,-31200.0,33200.0,2000.0
2024-07-08,47200.0,58200.0,-24400.0,41300.0,16900.0
2024-07-08,47250.0,85400.0,-58400.0,71900.0,13500.0
2024-07-08,47300.0,161100.0,-58900.0,110000.0,51100.0
2024-07-08,47350.0,95200.0,-20200.0,57700.0,37500.0
2024-07-08,47400.0,194200.0,-59000.0,126600.0,67600.0
2024-07-08,47450.0,165000.0,-19600.0,92300.0,72700.0
2024-07-08,47500.0,411400.0,57000.0,177200.0,234200.0
2024-07-08,47550.0,135900.0,66300.0,34800.0,101100.0
2024-07-08,47600.0,56400.0,-3800.0,30100.0,26300.0
2024-07-08,47650.0,108700.0,-15500.0,62100.0,46600.0
2024-07-08,47700.0,73400.0,35400.0,19000.0,54400.0
2024-07-08,47750.0,12500.0,1700.0,5400.0,7100.0
2024-07-08,47800.0,41800.0,41800.0,0.0,41800.0
2024-07-09,47200.0,171500.0,-171500.0,171500.0,0.0
2024-07-09,47250.0,259900.0,-31500.0,145700.0,114200.0
2024-07-09,47300.0,322800.0,5200.0,158800.0,164000.0
2024-07-09,47350.0,109300.0,41300.0,34000.0,75300.0
2024-07-09,47400.0,55000.0,2400.0,26300.0,28700.0
2024-07-09,47450.0,23400.0,19200.0,2100.0,21300.0
2024-07-09,47500.0,111300.0,100100.0,5600.0,105700.0
2024-07-09,47550.0,66300.0,35300.0,15500.0,50800.0
2024-07-09,47600.0,57200.0,57200.0,0.0,57200.0
2024-07-09,47650.0,12300.0,12300.0,0.0,12300.0
2024-07-09,47700.0,73700.0,6700.0,33500.0,40200.0
2024-07-09,47750.0,155400.0,64600.0,45400.0,110000.0
2024-07-09,47800.0,277600.0,123600.0,77000.0,200600.0
2024-07-09,47850.0,168000.0,46600.0,60700.0,107300.0
2024-07-09,47900.0,439600.0,-93800.0,266700.0,172900.0
2024-07-09,47950.0,635600.0,-60400.0,348000.0,287600.0
2024-07-09,48000.0,1019100.0,362900.0,328100.0,691000.0
2024-07-09,48050.0,17700.0,-4500.0,11100.0,6600.0
2024-07-09,48100.0,22200.0,2000.0,10100.0,12100.0
2024-07-09,48150.0,21500.0,21500.0,0.0,21500.0
2024-07-10,47200.0,0.0,0.0,0.0,0.0
2024-07-10,47250.0,18300.0,-18300.0,18300.0,0.0
2024-07-10,47300.0,161000.0,-101800.0,131400.0,29600.0
2024-07-10,47350.0,127200.0,-18600.0,72900.0,54300.0
2024-07-10,47400.0,109600.0,-64800.0,87200.0,22400.0
2024-07-10,47450.0,123600.0,-86600.0,105100.0,18500.0
2024-07-10,47500.0,304200.0,-174600.0,239400.0,64800.0
2024-07-10,47550.0,138200.0,-46400.0,92300.0,45900.0
2024-07-10,47600.0,108600.0,-51400.0,80000.0,28600.0
