t,p,q,d,b,a
2024-02-15,18150.0,100.0,100.0,0.0,100.0
2024-02-15,18200.0,99600.0,-28400.0,64000.0,35600.0
2024-02-15,18250.0,119700.0,-3100.0,61400.0,58300.0
2024-02-15,18300.0,146900.0,-11900.0,79400.0,67500.0
2024-02-15,18350.0,126800.0,-47400.0,87100.0,39700.0
2024-02-15,18400.0,160800.0,95800.0,32500.0,128300.0
2024-02-15,18450.0,9000.0,9000.0,0.0,9000.0
2024-02-16,18100.0,16500.0,-16500.0,16500.0,0.0
2024-02-16,18150.0,249100.0,27100.0,111000.0,138100.0
2024-02-16,18200.0,235800.0,-78600.0,157200.0,78600.0
2024-02-16,18250.0,95700.0,-5100.0,50400.0,45300.0
2024-02-16,18300.0,28100.0,-2500.0,15300.0,12800.0
2024-02-16,18350.0,36700.0,-1900.0,19300.0,17400.0
2024-02-16,18400.0,39900.0,-13700.0,26800.0,13100.0
2024-02-16,18450.0,12800.0,12800.0,0.0,12800.0
2024-02-16,18500.0,37200.0,36200.0,500.0,36700.0
2024-02-16,18550.0,6900.0,6900.0,0.0,6900.0
2024-02-16,18600.0,3400.0,3400.0,0.0,3400.0
2024-02-19,18050.0,54600.0,-54600.0,54600.0,0.0
2024-02-19,18100.0,72100.0,-8100.0,40100.0,32000.0
2024-02-19,18150.0,131900.0,8700.0,61600.0,70300.0
2024-02-19,18200.0,334500.0,-25500.0,180000.0,154500.0
2024-02-19,18250.0,232700.0,-5900.0,119300.0,113400.0
2024-02-19,18300.0,163500.0,134700.0,14400.0,149100.0
2024-02-19,18350.0,74100.0,45500.0,14300.0,59800.0
2024-02-19,18400.0,7400.0,7400.0,0.0,7400.0
2024-02-19,18450.0,25000.0,25000.0,0.0,25000.0
2024-02-20,18650.0,11400.0,-8000.0,9700.0,1700.0
2024-02-20,18700.0,55100.0,7500.0,23800.0,31300.0
2024-02-20,18750.0,150100.0,107900.0,21100.0,129000.0
2024-02-20,18800.0,159700.0,16300.0,71700.0,88000.0
2024-02-20,18850.0,127700.0,-32500.0,80100.0,47600.0
2024-02-20,18900.0,365900.0,-10700.0,188300.0,177600.0
2024-02-20,18950.0,200000.0,82200.0,58900.0,141100.0
2024-02-20,19000.0,177300.0,92300.0,42500.0,134800.0
2024-02-20,19050.0,60300.0,-37900.0,49100.0,11200.0
2024-02-20,19100.0,333500.0,-78100.0,205800.0,127700.0
2024-02-20,19150.0,183800.0,125200.0,29300.0,154500.0
2024-02-20,19200.0,62600.0,62600.0,0.0,62600.0
2024-02-21,18600.0,69200.0,-31200.0,50200.0,19000.0
2024-02-21,18650.0,38000.0,-23600.0,30800.0,7200.0
2024-02-21,18700.0,119300.0,-53500.0,86400.0,32900.0
2024-02-21,18750.0,164200.0,-20000.0,92100.0,72100.0
2024-02-21,18800.0,125100.0,-31500.0,78300.0,46800.0
2024-02-21,18850.0,102600.0,-37800.0,70200.0,32400.0
2024-02-21,18900.0,77100.0,8900.0,34100.0,43000.0
2024-02-21,18950.0,42800.0,9400.0,16700.0,26100.0
2024-02-21,19000.0,14300.0,14300.0,0.0,14300.0
2024-02-22,18550.0,41100.0,-41100.0,41100.0,0.0
2024-02-22,18600.0,203500.0,-170500.0,187000.0,16500.0
2024-02-22,18650.0,138500.0,-77500.0,108000.0,30500.0
2024-02-22,18700.0,159900.0,-63500.0,111700.0,48200.0
2024-02-22,18750.0,156600.0,-64200.0,110400.0,46200.0
2024-02-22,18800.0,80700.0,25500.0,27600.0,53100.0
2024-02-22,18850.0,52100.0,19300.0,16400.0,35700.0
2024-02-22,18900.0,900.0,900.0,0.0,900.0
2024-02-23,18250.0,25200.0,-25200.0,25200.0,0.0
2024-02-23,18300.0,71500.0,-26700.0,49100.0,22400.0
2024-02-23,18350.0,17200.0,600.0,8300.0,8900.0
2024-02-23,18400.0,28900.0,-20900.0,24900.0,4000.0
2024-02-23,18450.0,25000.0,-18200.0,21600.0,3400.0
2024-02-23,18500.0,108000.0,-33000.0,70500.0,37500.0
2024-02-23,18550.0,75300.0,-37700.0,56500.0,18800.0
2024-02-23,18600.0,239200.0,-146000.0,192600.0,46600.0
2024-02-23,18650.0,97500.0,-55700.0,76600.0,20900.0
2024-02-23,18700.0,92000.0,-2200.0,47100.0,44900.0
2024-02-23,18750.0,51700.0,4500.0,23600.0,28100.0
2024-02-23,18800.0,55500.0,-36500.0,46000.0,9500.0
2024-02-23,18850.0,76400.0,1800.0,37300.0,39100.0
2024-02-23,18900.0,19800.0,19800.0,0.0,19800.0
2024-02-26,18100.0,31700.0,-31700.0,31700.0,0.0
2024-02-26,18150.0,37500.0,-20500.0,29000.0,8500.0
2024-02-26,18200.0,60500.0,-14900.0,37700.0,22800.0
2024-02-26,18250.0,60000.0,5800.0,27100.0,32900.0
2024-02-26,18300.0,66500.0,9900.0,28300.0,38200.0
2024-02-26,18350.0,60400.0,-8400.0,34400.0,26000.0
2024-02-26,18400.0,54600.0,28000.0,13300.0,41300.0
2024-02-26,18450.0,24400.0,24400.0,0.0,24400.0
2024-02-26,18500.0,44200.0,44200.0,0.0,44200.0
2024-02-26,18550.0,10600.0,10600.0,0.0,10600.0
2024-02-26,18600.0,14400.0,11000.0,1700.0,12700.0
2024-02-26,18650.0,1200.0,1200.0,0.0,1200.0
2024-02-26,18700.0,33100.0,33100.0,0.0,33100.0
2024-02-26,18750.0,29700.0,1900.0,13900.0,15800.0
2024-02-26,18800.0,224800.0,1600.0,111600.0,113200.0
2024-02-26,18850.0,123400.0,17600.0,52900.0,70500.0
2024-02-26,18900.0,162500.0,60100.0,51200.0,111300.0
2024-02-26,18950.0,126900.0,20100.0,53400.0,73500.0
2024-02-26,19000.0,265000.0,74800.0,95100.0,169900.0
2024-02-26,19050.0,38600.0,18200.0,10200.0,28400.0
2024-02-26,19100.0,3300.0,3300.0,0.0,3300.0
2024-02-27,19100.0,1300.0,-1300.0,1300.0,0.0
2024-02-27,19150.0,16100.0,-12900.0,14500.0,1600.0
2024-02-27,19200.0,120900.0,-75700.0,98300.0,22600.0
2024-02-27,19250.0,205200.0,-3000.0,104100.0,101100.0
2024-02-27,19300.0,257800.0,70600.0,93600.0,164200.0
2024-02-27,19350.0,35800.0,28200.0,3800.0,32000.0
2024-02-27,19400.0,112000.0,13000.0,49500.0,62500.0
2024-02-27,19450.0,87300.0,26500.0,30400.0,56900.0
2024-02-27,19500.0,92700.0,28700.0,32000.0,60700.0
2024-02-27,19550.0,65600.0,15600.0,25000.0,40600.0
2024-02-27,19600.0,45500.0,45500.0,0.0,45500.0
2024-02-28,19350.0,35700.0,-30700.0,33200.0,2500.0
2024-02-28,19400.0,102600.0,-26800.0,64700.0,37900.0
2024-02-28,19450.0,206700.0,-3700.0,105200.0,101500.0
2024-02-28,19500.0,346100.0,-58500.0,202300.0,143800.0
2024-02-28,19550.0,351200.0,-63800.0,207500.0,143700.0
2024-02-28,19600.0,173300.0,4300.0,84500.0,88800.0
2024-02-28,19650.0,104200.0,-26800.0,65500.0,38700.0
2024-02-28,19700.0,121200.0,-22600.0,71900.0,49300.0
2024-02-28,19750.0,38300.0,-2500.0,20400.0,17900.0
2024-02-28,19800.0,4100.0,4100.0,0.0,4100.0
2024-02-29,19750.0,14300.0,14300.0,0.0,14300.0
2024-02-29,19800.0,8300.0,8300.0,0.0,8300.0
2024-02-29,19850.0,13300.0,-4700.0,9000.0,4300.0
2024-02-29,19900.0,46300.0,-22900.0,34600.0,11700.0
2024-02-29,19950.0,120800.0,-45800.0,83300.0,37500.0
2024-02-29,20000.0,241200.0,-68800.0,155000.0,86200.0
2024-02-29,20050.0,164000.0,-21000.0,92500.0,71500.0
2024-02-29,20100.0,299900.0,67300.0,116300.0,183600.0
2024-02-29,20150.0,201800.0,-78600.0,140200.0,61600.0
2024-02-29,20200.0,309000.0,89400.0,109800.0,199200.0
2024-02-29,20250.0,193900.0,60900.0,66500.0,127400.0
2024-02-29,20300.0,136400.0,40600.0,47900.0,88500.0
2024-02-29,20350.0,28800.0,28800.0,0.0,28800.0
2024-03-01,20300.0,49200.0,-45400.0,47300.0,1900.0
2024-03-01,20350.0,84900.0,-78100.0,81500.0,3400.0
2024-03-01,20400.0,105700.0,25500.0,40100.0,65600.0
2024-03-01,20450.0,109000.0,-800.0,54900.0,54100.0
2024-03-01,20500.0,178000.0,38000.0,70000.0,108000.0
2024-03-01,20550.0,36000.0,19400.0,8300.0,27700.0
2024-03-01,20600.0,187900.0,30500.0,78700.0,109200.0
2024-03-01,20650.0,47100.0,3700.0,21700.0,25400.0
2024-03-01,20700.0,162600.0,-11000.0,86800.0,75800.0
2024-03-01,20750.0,160700.0,-8500.0,84600.0,76100.0
2024-03-01,20800.0,315100.0,58500.0,128300.0,186800.0
2024-03-01,20850.0,138400.0,82800.0,27800.0,110600.0
2024-03-01,20900.0,5100.0,5100.0,0.0,5100.0
2024-03-04,20450.0,16200.0,-14600.0,15400.0,800.0
2024-03-04,20500.0,73800.0,-29800.0,51800.0,22000.0
2024-03-04,20550.0,170800.0,-118800.0,144800.0,26000.0
2024-03-04,20600.0,322600.0,-219400.0,271000.0,51600.0
2024-03-04,20650.0,193700.0,76500.0,58600.0,135100.0
2024-03-04,20700.0,66300.0,13100.0,26600.0,39700.0
2024-03-04,20750.0,34600.0,-6000.0,20300.0,14300.0
2024-03-04,20800.0,84100.0,-44900.0,64500.0,19600.0
2024-03-04,20850.0,43600.0,12400.0,15600.0,28000.0
2024-03-04,20900.0,29500.0,-29500.0,29500.0,0.0
2024-03-04,20950.0,6300.0,5100.0,600.0,5700.0
2024-03-04,21000.0,900.0,-900.0,900.0,0.0
2024-03-04,21050.0,2500.0,1500.0,500.0,2000.0
2024-03-04,21100.0,31500.0,29300.0,1100.0,30400.0
2024-03-04,21150.0,16800.0,-12000.0,14400.0,2400.0
