t,p,q,d,b,a
2024-02-15,52100.0,16400.0,-16400.0,16400.0,0.0
2024-02-15,52200.0,127300.0,-53900.0,90600.0,36700.0
2024-02-15,52300.0,115200.0,-80600.0,97900.0,17300.0
2024-02-15,52400.0,130800.0,-55600.0,93200.0,37600.0
2024-02-15,52500.0,127100.0,-68900.0,98000.0,29100.0
2024-02-15,52600.0,120100.0,-29300.0,74700.0,45400.0
2024-02-15,52700.0,115100.0,-50900.0,83000.0,32100.0
2024-02-15,52800.0,181800.0,-25000.0,103400.0,78400.0
2024-02-15,52900.0,43400.0,-4000.0,23700.0,19700.0
2024-02-15,53000.0,74200.0,-14200.0,44200.0,30000.0
2024-02-15,53100.0,35400.0,-2600.0,19000.0,16400.0
2024-02-15,53200.0,6500.0,5100.0,700.0,5800.0
2024-02-15,53300.0,4800.0,4800.0,0.0,4800.0
2024-02-16,52100.0,2500.0,2500.0,0.0,2500.0
2024-02-16,52200.0,4400.0,-4200.0,4300.0,100.0
2024-02-16,52300.0,13400.0,-9400.0,11400.0,2000.0
2024-02-16,52400.0,7000.0,6200.0,400.0,6600.0
2024-02-16,52500.0,34600.0,7000.0,13800.0,20800.0
2024-02-16,52600.0,119400.0,-101000.0,110200.0,9200.0
2024-02-16,52700.0,130800.0,18000.0,56400.0,74400.0
2024-02-16,52800.0,169100.0,25500.0,71800.0,97300.0
2024-02-16,52900.0,53800.0,17800.0,18000.0,35800.0
2024-02-16,53000.0,32200.0,2400.0,14900.0,17300.0
2024-02-16,53100.0,28800.0,-9400.0,19100.0,9700.0
2024-02-16,53200.0,12400.0,12200.0,100.0,12300.0
2024-02-16,53300.0,46900.0,-3300.0,25100.0,21800.0
2024-02-16,53400.0,23900.0,6700.0,8600.0,15300.0
2024-02-16,53500.0,14200.0,14200.0,0.0,14200.0
2024-02-19,52300.0,70500.0,-50100.0,60300.0,10200.0
2024-02-19,52400.0,257500.0,-153900.0,205700.0,51800.0
2024-02-19,52500.0,218500.0,13500.0,102500.0,116000.0
2024-02-19,52600.0,72800.0,-5000.0,38900.0,33900.0
2024-02-19,52700.0,98500.0,3300.0,47600.0,50900.0
2024-02-19,52800.0,57500.0,-24100.0,40800.0,16700.0
2024-02-19,52900.0,82700.0,-15900.0,49300.0,33400.0
2024-02-19,53000.0,90500.0,-18900.0,54700.0,35800.0
2024-02-19,53100.0,44200.0,16000.0,14100.0,30100.0
2024-02-19,53200.0,27500.0,9300.0,9100.0,18400.0
2024-02-19,53300.0,1300.0,1300.0,0.0,1300.0
2024-02-20,52600.0,32200.0,-32200.0,32200.0,0.0
2024-02-20,52700.0,226100.0,-158500.0,192300.0,33800.0
2024-02-20,52800.0,246000.0,60600.0,92700.0,153300.0
2024-02-20,52900.0,64900.0,10700.0,27100.0,37800.0
2024-02-20,53000.0,13700.0,2700.0,5500.0,8200.0
2024-02-20,53100.0,500.0,-500.0,500.0,0.0
2024-02-20,53200.0,9000.0,9000.0,0.0,9000.0
2024-02-21,52500.0,900.0,-900.0,900.0,0.0
2024-02-21,52600.0,9500.0,-9500.0,9500.0,0.0
2024-02-21,52700.0,70800.0,-51800.0,61300.0,9500.0
2024-02-21,52800.0,52400.0,38000.0,7200.0,45200.0
2024-02-21,52900.0,45300.0,33100.0,6100.0,39200.0
2024-02-21,53000.0,23800.0,23800.0,0.0,23800.0
2024-02-21,53100.0,11600.0,7800.0,1900.0,9700.0
2024-02-21,53200.0,5000.0,2600.0,1200.0,3800.0
2024-02-21,53300.0,28100.0,20300.0,3900.0,24200.0
2024-02-21,53400.0,27300.0,27300.0,0.0,27300.0
2024-02-21,53500.0,45800.0,45800.0,0.0,45800.0
2024-02-21,53600.0,27600.0,-5200.0,16400.0,11200.0
2024-02-21,53700.0,67700.0,-15100.0,41400.0,26300.0
2024-02-21,53800.0,323300.0,-174900.0,249100.0,74200.0
2024-02-21,53900.0,285300.0,97300.0,94000.0,191300.0
2024-02-21,54000.0,217600.0,51200.0,83200.0,134400.0
2024-02-21,54100.0,278700.0,-2700.0,140700.0,138000.0
2024-02-21,54200.0,202300.0,50700.0,75800.0,126500.0
2024-02-21,54300.0,215000.0,12000.0,101500.0,113500.0
2024-02-21,54400.0,101900.0,101900.0,0.0,101900.0
2024-02-21,54500.0,92600.0,34400.0,29100.0,63500.0
2024-02-21,54600.0,97800.0,-9200.0,53500.0,44300.0
2024-02-21,54700.0,160400.0,76200.0,42100.0,118300.0
2024-02-21,54800.0,211000.0,85400.0,62800.0,148200.0
2024-02-21,54900.0,176000.0,119800.0,28100.0,147900.0
2024-02-21,55000.0,88500.0,88500.0,0.0,88500.0
2024-02-21,55100.0,34100.0,33300.0,400.0,33700.0
2024-02-21,55200.0,18100.0,18100.0,0.0,18100.0
2024-02-21,55300.0,11500.0,6700.0,2400.0,9100.0
2024-02-21,55400.0,44600.0,38200.0,3200.0,41400.0
2024-02-21,55500.0,72700.0,72700.0,0.0,72700.0
2024-02-21,55600.0,20000.0,20000.0,0.0,20000.0
2024-02-21,55700.0,12700.0,10500.0,1100.0,11600.0
2024-02-21,55800.0,40900.0,40900.0,0.0,40900.0
2024-02-21,55900.0,28600.0,3400.0,12600.0,16000.0
2024-02-21,56000.0,51900.0,51900.0,0.0,51900.0
2024-02-21,56100.0,4600.0,4600.0,0.0,4600.0
2024-02-21,56200.0,5800.0,5800.0,0.0,5800.0
2024-02-21,56300.0,25500.0,23500.0,1000.0,24500.0
2024-02-21,56400.0,67500.0,-3100.0,35300.0,32200.0
2024-02-21,56500.0,144200.0,144200.0,0.0,144200.0
2024-02-21,56600.0,107900.0,107900.0,0.0,107900.0
2024-02-22,55200.0,40000.0,-38000.0,39000.0,1000.0
2024-02-22,55300.0,122700.0,-90100.0,106400.0,16300.0
2024-02-22,55400.0,206900.0,-25500.0,116200.0,90700.0
2024-02-22,55500.0,165500.0,-32500.0,99000.0,66500.0
2024-02-22,55600.0,117300.0,4700.0,56300.0,61000.0
2024-02-22,55700.0,131300.0,-9500.0,70400.0,60900.0
2024-02-22,55800.0,103800.0,56000.0,23900.0,79900.0
2024-02-22,55900.0,56900.0,44900.0,6000.0,50900.0
2024-02-22,56000.0,4100.0,-4100.0,4100.0,0.0
2024-02-22,56100.0,3000.0,-2000.0,2500.0,500.0
2024-02-22,56200.0,1000.0,-800.0,900.0,100.0
2024-02-22,56300.0,800.0,-800.0,800.0,0.0
2024-02-22,56400.0,13900.0,13900.0,0.0,13900.0
2024-02-23,52500.0,19900.0,-19900.0,19900.0,0.0
2024-02-23,52600.0,23000.0,200.0,11400.0,11600.0
2024-02-23,52700.0,38600.0,-27400.0,33000.0,5600.0
2024-02-23,52800.0,124200.0,-73000.0,98600.0,25600.0
2024-02-23,52900.0,123500.0,-30900.0,77200.0,46300.0
2024-02-23,53000.0,156900.0,-38700.0,97800.0,59100.0
2024-02-23,53100.0,24600.0,5800.0,9400.0,15200.0
2024-02-23,53200.0,21000.0,-9200.0,15100.0,5900.0
2024-02-23,53300.0,19200.0,-200.0,9700.0,9500.0
2024-02-23,53400.0,9600.0,-9200.0,9400.0,200.0
2024-02-23,53500.0,79800.0,-55600.0,67700.0,12100.0
2024-02-23,53600.0,68800.0,-66600.0,67700.0,1100.0
2024-02-23,53700.0,121000.0,-105600.0,113300.0,7700.0
2024-02-23,53800.0,177300.0,1700.0,87800.0,89500.0
2024-02-23,53900.0,101500.0,-24900.0,63200.0,38300.0
2024-02-23,54000.0,209100.0,-127500.0,168300.0,40800.0
2024-02-23,54100.0,58700.0,-39700.0,49200.0,9500.0
2024-02-23,54200.0,50700.0,-2900.0,26800.0,23900.0
2024-02-23,54300.0,57700.0,-57700.0,57700.0,0.0
2024-02-23,54400.0,141000.0,31400.0,54800.0,86200.0
2024-02-23,54500.0,207200.0,-100200.0,153700.0,53500.0
2024-02-23,54600.0,103900.0,-34900.0,69400.0,34500.0
2024-02-23,54700.0,135200.0,-74400.0,104800.0,30400.0
2024-02-23,54800.0,117100.0,-58500.0,87800.0,29300.0
2024-02-23,54900.0,81000.0,-61800.0,71400.0,9600.0
2024-02-23,55000.0,82200.0,8200.0,37000.0,45200.0
2024-02-23,55100.0,32100.0,1100.0,15500.0,16600.0
2024-02-23,55200.0,7000.0,-7000.0,7000.0,0.0
2024-02-23,55300.0,12200.0,-9600.0,10900.0,1300.0
2024-02-23,55400.0,14500.0,-4100.0,9300.0,5200.0
2024-02-23,55500.0,500.0,100.0,200.0,300.0
2024-02-23,55600.0,1000.0,1000.0,0.0,1000.0
2024-02-23,55700.0,3700.0,3700.0,0.0,3700.0
2024-02-26,52800.0,1100.0,700.0,200.0,900.0
2024-02-26,52900.0,19900.0,-15100.0,17500.0,2400.0
2024-02-26,53000.0,79800.0,-27400.0,53600.0,26200.0
2024-02-26,53100.0,157700.0,-54700.0,106200.0,51500.0
2024-02-26,53200.0,147600.0,41400.0,53100.0,94500.0
2024-02-26,53300.0,102100.0,18700.0,41700.0,60400.0
2024-02-26,53400.0,68300.0,25900.0,21200.0,47100.0
2024-02-26,53500.0,134500.0,25700.0,54400.0,80100.0
2024-02-26,53600.0,206200.0,54400.0,75900.0,130300.0
2024-02-26,53700.0,61400.0,49200.0,6100.0,55300.0
2024-02-26,53800.0,44500.0,500.0,22000.0,22500.0
2024-02-26,53900.0,74900.0,-10500.0,42700.0,32200.0
2024-02-26,54000.0,91400.0,55400.0,18000.0,73400.0
2024-02-26,54100.0,18900.0,18900.0,0.0,18900.0
2024-02-27,53500.0,4100.0,-4100.0,4100.0,0.0
2024-02-27,53600.0,36300.0,1900.0,17200.0,19100.0
2024-02-27,53700.0,43600.0,-33600.0,38600.0,5000.0
2024-02-27,53800.0,68500.0,-14900.0,41700.0,26800.0
2024-02-27,53900.0,65200.0,-10400.0,37800.0,27400.0
2024-02-27,54000.0,95000.0,9400.0,42800.0,52200.0
2024-02-27,54100.0,31500.0,17900.0,6800.0,24700.0
2024-02-27,54200.0,29000.0,5400.0,11800.0,17200.0
2024-02-27,54300.0,82800.0,-23600.0,53200.0,29600.0
2024-02-27,54400.0,192800.0,72400.0,60200.0,132600.0
2024-02-27,54500.0,219400.0,5000.0,107200.0,112200.0
2024-02-27,54600.0,306600.0,-17600.0,162100.0,144500.0
2024-02-27,54700.0,256500.0,-20900.0,138700.0,117800.0
2024-02-27,54800.0,159400.0,126200.0,16600.0,142800.0
2024-02-27,54900.0,75700.0,75700.0,0.0,75700.0
2024-02-28,53700.0,35400.0,-35400.0,35400.0,0.0
2024-02-28,53800.0,209300.0,19300.0,95000.0,114300.0
2024-02-28,53900.0,82900.0,-27500.0,55200.0,27700.0
2024-02-28,54000.0,122600.0,-90600.0,106600.0,16000.0
2024-02-28,54100.0,107100.0,-74700.0,90900.0,16200.0
2024-02-28,54200.0,127900.0,-31700.0,79800.0,48100.0
2024-02-28,54300.0,112100.0,-13700.0,62900.0,49200.0
2024-02-28,54400.0,54100.0,-19300.0,36700.0,17400.0
2024-02-28,54500.0,116800.0,-46600.0,81700.0,35100.0
2024-02-28,54600.0,76800.0,-33000.0,54900.0,21900.0
2024-02-28,54700.0,27800.0,-5600.0,16700.0,11100.0
2024-02-28,54800.0,64600.0,-6800.0,35700.0,28900.0
2024-02-28,54900.0,34600.0,29600.0,2500.0,32100.0
2024-02-28,55000.0,36100.0,36100.0,0.0,36100.0
2024-02-28,55100.0,5200.0,5200.0,0.0,5200.0
2024-02-29,53800.0,12600.0,-12600.0,12600.0,0.0
2024-02-29,53900.0,88200.0,-36800.0,62500.0,25700.0
2024-02-29,54000.0,253700.0,-96700.0,175200.0,78500.0
2024-02-29,54100.0,246800.0,31000.0,107900.0,138900.0
2024-02-29,54200.0,209500.0,48900.0,80300.0,129200.0
2024-02-29,54300.0,162200.0,72000.0,45100.0,117100.0
2024-02-29,54400.0,127800.0,69400.0,29200.0,98600.0
2024-02-29,54500.0,106000.0,69200.0,18400.0,87600.0
2024-02-29,54600.0,21700.0,21700.0,0.0,21700.0
2024-02-29,54700.0,8100.0,7100.0,500.0,7600.0
2024-02-29,54800.0,21300.0,21300.0,0.0,21300.0
2024-02-29,54900.0,8000.0,8000.0,0.0,8000.0
2024-02-29,55000.0,37300.0,37300.0,0.0,37300.0
2024-02-29,55100.0,6500.0,-4100.0,5300.0,1200.0
2024-02-29,55200.0,70100.0,-26700.0,48400.0,21700.0
2024-02-29,55300.0,97900.0,-5500.0,51700.0,46200.0
2024-02-29,55400.0,118400.0,19000.0,49700.0,68700.0
2024-02-29,55500.0,167600.0,78800.0,44400.0,123200.0
2024-02-29,55600.0,72900.0,46900.0,13000.0,59900.0
2024-02-29,55700.0,64600.0,-33000.0,48800.0,15800.0
2024-02-29,55800.0,201000.0,-28200.0,114600.0,86400.0
2024-02-29,55900.0,247700.0,118100.0,64800.0,182900.0
2024-02-29,56000.0,91800.0,52800.0,19500.0,72300.0
2024-02-29,56100.0,7600.0,7600.0,0.0,7600.0
2024-02-29,56200.0,6600.0,6600.0,0.0,6600.0
2024-03-01,54700.0,21200.0,-20400.0,20800.0,400.0
2024-03-01,54800.0,78800.0,-34800.0,56800.0,22000.0
2024-03-01,54900.0,164700.0,-41300.0,103000.0,61700.0
2024-03-01,55000.0,187400.0,-54600.0,121000.0,66400.0
2024-03-01,55100.0,329600.0,-111200.0,220400.0,109200.0
2024-03-01,55200.0,154400.0,57200.0,48600.0,105800.0
2024-03-01,55300.0,108700.0,-11100.0,59900.0,48800.0
2024-03-01,55400.0,158200.0,53000.0,52600.0,105600.0
2024-03-01,55500.0,72500.0,33100.0,19700.0,52800.0
2024-03-01,55600.0,39400.0,23200.0,8100.0,31300.0
2024-03-01,55700.0,10300.0,-3500.0,6900.0,3400.0
2024-03-01,55800.0,6700.0,5100.0,800.0,5900.0
2024-03-01,55900.0,16500.0,16500.0,0.0,16500.0
2024-03-01,56000.0,1000.0,1000.0,0.0,1000.0
