t,p,q,d,b,a
2024-07-09,26950.0,4900.0,-4900.0,4900.0,0.0
2024-07-09,27000.0,85500.0,-30900.0,58200.0,27300.0
2024-07-09,27050.0,107600.0,800.0,53400.0,54200.0
2024-07-09,27100.0,71500.0,12900.0,29300.0,42200.0
2024-07-09,27150.0,4000.0,-3400.0,3700.0,300.0
2024-07-09,27200.0,13000.0,13000.0,0.0,13000.0
2024-07-10,107000.0,0.0,0.0,0.0,0.0
2024-07-10,107900.0,1400.0,-1400.0,1400.0,0.0
2024-07-10,108000.0,33600.0,11800.0,10900.0,22700.0
2024-07-10,108100.0,4800.0,4200.0,300.0,4500.0
2024-07-10,108200.0,100.0,-100.0,100.0,0.0
2024-07-10,108400.0,400.0,-200.0,300.0,100.0
2024-07-10,108500.0,15600.0,12600.0,1500.0,14100.0
2024-07-10,108600.0,10800.0,10800.0,0.0,10800.0
2024-07-10,108700.0,1000.0,-800.0,900.0,100.0
2024-07-10,108800.0,16000.0,16000.0,0.0,16000.0
2024-07-10,108900.0,16900.0,16900.0,0.0,16900.0
2024-07-10,109000.0,37800.0,-1800.0,19800.0,18000.0
2024-07-10,109200.0,8100.0,3900.0,2100.0,6000.0
2024-07-10,109300.0,1200.0,-800.0,1000.0,200.0
2024-07-10,109400.0,6800.0,5400.0,700.0,6100.0
2024-07-10,109500.0,27100.0,8900.0,9100.0,18000.0
2024-07-10,109600.0,43800.0,-8800.0,26300.0,17500.0
2024-07-10,109700.0,38700.0,21700.0,8500.0,30200.0
2024-07-10,109800.0,13900.0,7500.0,3200.0,10700.0
2024-07-10,109900.0,61500.0,27700.0,16900.0,44600.0
2024-07-10,110000.0,123000.0,78000.0,22500.0,100500.0
2024-07-10,110100.0,24700.0,-18100.0,21400.0,3300.0
2024-07-10,110200.0,83500.0,21900.0,30800.0,52700.0
2024-07-10,110300.0,32900.0,26100.0,3400.0,29500.0
2024-07-10,110400.0,15000.0,7200.0,3900.0,11100.0
2024-07-10,110500.0,33400.0,-29400.0,31400.0,2000.0
2024-07-10,110600.0,17400.0,-1600.0,9500.0,7900.0
2024-07-10,110700.0,17600.0,1400.0,8100.0,9500.0
2024-07-10,110800.0,52300.0,-19300.0,35800.0,16500.0
2024-07-10,110900.0,53500.0,4300.0,24600.0,28900.0
2024-07-10,111000.0,248500.0,-21100.0,134800.0,113700.0
2024-07-10,111100.0,59700.0,-3100.0,31400.0,28300.0
2024-07-10,111200.0,120600.0,-61400.0,91000.0,29600.0
2024-07-10,111300.0,96400.0,42800.0,26800.0,69600.0
2024-07-10,111400.0,21300.0,-9100.0,15200.0,6100.0
2024-07-10,111500.0,48100.0,-3700.0,25900.0,22200.0
2024-07-10,111600.0,4600.0,3200.0,700.0,3900.0
2024-07-10,111700.0,4900.0,900.0,2000.0,2900.0
2024-07-10,111800.0,8600.0,1400.0,3600.0,5000.0
2024-07-10,111900.0,6000.0,6000.0,0.0,6000.0
2024-07-10,112000.0,34600.0,26200.0,4200.0,30400.0
2024-07-10,112100.0,200.0,0.0,100.0,100.0
2024-07-10,112200.0,600.0,-200.0,400.0,200.0
2024-07-10,112300.0,4900.0,1500.0,1700.0,3200.0
2024-07-10,112400.0,200.0,200.0,0.0,200.0
2024-07-10,112500.0,22000.0,20000.0,1000.0,21000.0
2024-07-10,112600.0,12200.0,7400.0,2400.0,9800.0
2024-07-10,112700.0,1700.0,-300.0,1000.0,700.0
2024-07-10,112800.0,28300.0,-1900.0,15100.0,13200.0
2024-07-10,112900.0,24100.0,23900.0,100.0,24000.0
2024-07-11,109100.0,2800.0,-2800.0,2800.0,0.0
2024-07-11,109200.0,3400.0,-3400.0,3400.0,0.0
2024-07-11,109300.0,3100.0,-2100.0,2600.0,500.0
2024-07-11,109400.0,2900.0,-2900.0,2900.0,0.0
2024-07-11,109500.0,5600.0,4000.0,800.0,4800.0
2024-07-11,109600.0,13700.0,700.0,6500.0,7200.0
2024-07-11,109700.0,4500.0,300.0,2100.0,2400.0
2024-07-11,109800.0,16700.0,500.0,8100.0,8600.0
2024-07-11,109900.0,400.0,-400.0,400.0,0.0
2024-07-11,110000.0,47500.0,-38500.0,43000.0,4500.0
2024-07-11,110100.0,10800.0,1600.0,4600.0,6200.0
2024-07-11,110200.0,8800.0,-1800.0,5300.0,3500.0
2024-07-11,110300.0,6200.0,-4600.0,5400.0,800.0
2024-07-11,110400.0,7000.0,-1600.0,4300.0,2700.0
2024-07-11,110500.0,23900.0,-8300.0,16100.0,7800.0
2024-07-11,110600.0,30700.0,5700.0,12500.0,18200.0
2024-07-11,110700.0,22000.0,8600.0,6700.0,15300.0
2024-07-11,110800.0,4400.0,4400.0,0.0,4400.0
2024-07-11,110900.0,42300.0,17700.0,12300.0,30000.0
2024-07-11,111000.0,28800.0,-4200.0,16500.0,12300.0
2024-07-11,111100.0,3000.0,-2600.0,2800.0,200.0
2024-07-11,111200.0,10000.0,200.0,4900.0,5100.0
2024-07-11,111300.0,3600.0,-2800.0,3200.0,400.0
2024-07-11,111400.0,22800.0,12800.0,5000.0,17800.0
2024-07-11,111500.0,15500.0,12700.0,1400.0,14100.0
2024-07-11,111600.0,9400.0,-4800.0,7100.0,2300.0
2024-07-11,111700.0,2600.0,-200.0,1400.0,1200.0
2024-07-11,111800.0,1600.0,600.0,500.0,1100.0
2024-07-11,111900.0,15800.0,-8400.0,12100.0,3700.0
2024-07-11,112000.0,44700.0,4900.0,19900.0,24800.0
2024-07-11,112100.0,600.0,-200.0,400.0,200.0
2024-07-11,112200.0,8300.0,-500.0,4400.0,3900.0
2024-07-11,112300.0,8600.0,2800.0,2900.0,5700.0
2024-07-11,112400.0,11900.0,7500.0,2200.0,9700.0
2024-07-11,112500.0,14500.0,8900.0,2800.0,11700.0
2024-07-11,112600.0,4100.0,3100.0,500.0,3600.0
2024-07-11,112700.0,300.0,300.0,0.0,300.0
2024-07-11,112800.0,17800.0,-7800.0,12800.0,5000.0
2024-07-12,107500.0,10500.0,-10500.0,10500.0,0.0
2024-07-12,107600.0,48800.0,-37600.0,43200.0,5600.0
2024-07-12,107700.0,70700.0,-34700.0,52700.0,18000.0
2024-07-12,107800.0,23400.0,-22200.0,22800.0,600.0
2024-07-12,107900.0,28200.0,-9600.0,18900.0,9300.0
2024-07-12,108000.0,159100.0,15500.0,71800.0,87300.0
2024-07-12,108100.0,17100.0,-12100.0,14600.0,2500.0
2024-07-12,108200.0,4200.0,-1400.0,2800.0,1400.0
2024-07-12,108300.0,21900.0,14300.0,3800.0,18100.0
2024-07-12,108400.0,13100.0,-900.0,7000.0,6100.0
2024-07-12,108500.0,77100.0,4700.0,36200.0,40900.0
2024-07-12,108600.0,13300.0,5700.0,3800.0,9500.0
2024-07-12,108700.0,6600.0,-5200.0,5900.0,700.0
