t,p,q,d,b,a
2024-02-15,22500.0,500.0,-500.0,500.0,0.0
2024-02-15,22600.0,40000.0,3200.0,18400.0,21600.0
2024-02-15,22700.0,100.0,-100.0,100.0,0.0
2024-02-15,22800.0,110700.0,-1900.0,56300.0,54400.0
2024-02-15,22900.0,140600.0,99800.0,20400.0,120200.0
2024-02-15,23000.0,149914.0,8114.0,70900.0,79014.0
2024-02-15,23100.0,287730.0,-32530.0,160130.0,127600.0
2024-02-15,23200.0,375977.0,-219597.0,297787.0,78190.0
2024-02-15,23300.0,399920.0,17588.0,191166.0,208754.0
2024-02-15,23400.0,293658.0,30858.0,131400.0,162258.0
2024-02-15,23500.0,124688.0,99288.0,12700.0,111988.0
2024-02-16,22900.0,1000.0,-1000.0,1000.0,0.0
2024-02-16,23000.0,179867.0,-156633.0,168250.0,11617.0
2024-02-16,23100.0,353458.0,-42600.0,198029.0,155429.0
2024-02-16,23200.0,80323.0,19489.0,30417.0,49906.0
2024-02-16,23300.0,46900.0,10100.0,18400.0,28500.0
2024-02-19,22700.0,112650.0,-112650.0,112650.0,0.0
2024-02-19,22800.0,325768.0,6254.0,159757.0,166011.0
2024-02-19,22900.0,202072.0,122606.0,39733.0,162339.0
2024-02-19,23000.0,146663.0,-48863.0,97763.0,48900.0
2024-02-19,23100.0,159759.0,-12739.0,86249.0,73510.0
2024-02-19,23200.0,178100.0,-73300.0,125700.0,52400.0
2024-02-19,23300.0,394037.0,74637.0,159700.0,234337.0
2024-02-19,23400.0,365613.0,157197.0,104208.0,261405.0
2024-02-19,23500.0,89610.0,83010.0,3300.0,86310.0
2024-02-20,23000.0,700.0,-700.0,700.0,0.0
2024-02-20,23100.0,278212.0,-148012.0,213112.0,65100.0
2024-02-20,23200.0,233729.0,77169.0,78280.0,155449.0
2024-02-20,23300.0,200572.0,14216.0,93178.0,107394.0
2024-02-20,23400.0,125439.0,-30433.0,77936.0,47503.0
2024-02-21,23000.0,44666.0,13134.0,15766.0,28900.0
2024-02-21,23100.0,373459.0,-177643.0,275551.0,97908.0
2024-02-21,23200.0,142207.0,2007.0,70100.0,72107.0
2024-02-21,23300.0,160315.0,11657.0,74329.0,85986.0
2024-02-21,23400.0,170029.0,50647.0,59691.0,110338.0
2024-02-22,22500.0,18000.0,-18000.0,18000.0,0.0
2024-02-22,22600.0,180100.0,-36300.0,108200.0,71900.0
2024-02-22,22700.0,131840.0,-78380.0,105110.0,26730.0
2024-02-22,22800.0,304786.0,-211596.0,258191.0,46595.0
2024-02-22,22900.0,269764.0,1578.0,134093.0,135671.0
2024-02-22,23000.0,125823.0,68217.0,28803.0,97020.0
2024-02-22,23100.0,1900.0,1900.0,0.0,1900.0
2024-02-23,22000.0,107576.0,56624.0,25476.0,82100.0
2024-02-23,22100.0,222495.0,-141091.0,181793.0,40702.0
2024-02-23,22200.0,135207.0,-86207.0,110707.0,24500.0
2024-02-23,22300.0,203020.0,-164420.0,183720.0,19300.0
2024-02-23,22400.0,291051.0,-10429.0,150740.0,140311.0
2024-02-23,22500.0,137227.0,-50023.0,93625.0,43602.0
2024-02-23,22600.0,135062.0,-117778.0,126420.0,8642.0
2024-02-23,22700.0,133173.0,7333.0,62920.0,70253.0
2024-02-26,21900.0,118780.0,-92214.0,105497.0,13283.0
2024-02-26,22000.0,242551.0,105259.0,68646.0,173905.0
2024-02-26,22100.0,141760.0,62460.0,39650.0,102110.0
2024-02-26,22200.0,49911.0,21311.0,14300.0,35611.0
2024-02-26,22300.0,109337.0,-36137.0,72737.0,36600.0
2024-02-26,22400.0,106220.0,43420.0,31400.0,74820.0
2024-02-26,22500.0,2600.0,2600.0,0.0,2600.0
2024-02-27,22400.0,17840.0,-9440.0,13640.0,4200.0
2024-02-27,22500.0,11700.0,-4500.0,8100.0,3600.0
2024-02-27,22600.0,13800.0,-9200.0,11500.0,2300.0
2024-02-27,22700.0,23800.0,10800.0,6500.0,17300.0
2024-02-27,22800.0,36000.0,26000.0,5000.0,31000.0
2024-02-27,22900.0,47800.0,2200.0,22800.0,25000.0
2024-02-27,23000.0,213410.0,-36810.0,125110.0,88300.0
2024-02-27,23100.0,222125.0,191725.0,15200.0,206925.0
2024-02-27,23200.0,76837.0,72237.0,2300.0,74537.0
2024-02-27,23300.0,54000.0,12400.0,20800.0,33200.0
2024-02-27,23400.0,44500.0,31700.0,6400.0,38100.0
2024-02-27,23500.0,84500.0,74500.0,5000.0,79500.0
2024-02-27,23600.0,72188.0,-71988.0,72088.0,100.0
2024-02-27,23700.0,362740.0,-68512.0,215626.0,147114.0
2024-02-27,23800.0,422829.0,37949.0,192440.0,230389.0
2024-02-27,23900.0,264161.0,-38535.0,151348.0,112813.0
2024-02-27,24000.0,534273.0,186543.0,173865.0,360408.0
2024-02-27,24100.0,163984.0,-63494.0,113739.0,50245.0
2024-02-27,24200.0,138535.0,-3589.0,71062.0,67473.0
2024-02-27,24300.0,72443.0,14243.0,29100.0,43343.0
2024-02-27,24400.0,50538.0,-4910.0,27724.0,22814.0
2024-02-27,24500.0,159097.0,124495.0,17301.0,141796.0
2024-02-27,24600.0,4699.0,4699.0,0.0,4699.0
2024-02-28,23700.0,23216.0,-23216.0,23216.0,0.0
2024-02-28,23800.0,96211.0,-47011.0,71611.0,24600.0
2024-02-28,23900.0,264945.0,21435.0,121755.0,143190.0
2024-02-28,24000.0,211184.0,-13136.0,112160.0,99024.0
2024-02-28,24100.0,148151.0,-17301.0,82726.0,65425.0
2024-02-28,24200.0,176485.0,77089.0,49698.0,126787.0
2024-02-28,24300.0,242863.0,34941.0,103961.0,138902.0
2024-02-28,24400.0,200100.0,103896.0,48102.0,151998.0
2024-02-28,24500.0,32400.0,32400.0,0.0,32400.0
2024-02-29,24100.0,1900.0,-1900.0,1900.0,0.0
2024-02-29,24200.0,46646.0,5246.0,20700.0,25946.0
2024-02-29,24300.0,68057.0,-61031.0,64544.0,3513.0
2024-02-29,24400.0,264496.0,102996.0,80750.0,183746.0
2024-02-29,24500.0,284726.0,-41628.0,163177.0,121549.0
2024-02-29,24600.0,215384.0,-90028.0,152706.0,62678.0
2024-02-29,24700.0,165035.0,33953.0,65541.0,99494.0
2024-02-29,24800.0,125258.0,-42284.0,83771.0,41487.0
2024-02-29,24900.0,59625.0,5825.0,26900.0,32725.0
2024-02-29,25000.0,127078.0,-6122.0,66600.0,60478.0
2024-02-29,25100.0,27920.0,-5080.0,16500.0,11420.0
2024-02-29,25200.0,14780.0,8780.0,3000.0,11780.0
2024-02-29,25300.0,2700.0,2700.0,0.0,2700.0
2024-03-01,24200.0,4600.0,-4600.0,4600.0,0.0
2024-03-01,24300.0,27900.0,-27900.0,27900.0,0.0
2024-03-01,24400.0,25300.0,-24900.0,25100.0,200.0
2024-03-01,24500.0,215901.0,-46581.0,131241.0,84660.0
2024-03-01,24600.0,274104.0,-16712.0,145408.0,128696.0
2024-03-01,24700.0,135457.0,11101.0,62178.0,73279.0
2024-03-01,24800.0,73837.0,30977.0,21430.0,52407.0
2024-03-01,24900.0,105830.0,83830.0,11000.0,94830.0
2024-03-01,25000.0,7093.0,7093.0,0.0,7093.0
2024-03-04,25000.0,100.0,-100.0,100.0,0.0
2024-03-04,25100.0,23633.0,-23433.0,23533.0,100.0
2024-03-04,25200.0,28622.0,-622.0,14622.0,14000.0
2024-03-04,25300.0,77592.0,-60392.0,68992.0,8600.0
2024-03-04,25400.0,145570.0,-101270.0,123420.0,22150.0
2024-03-04,25500.0,407066.0,-52154.0,229610.0,177456.0
2024-03-04,25600.0,357756.0,-78340.0,218048.0,139708.0
2024-03-04,25700.0,247256.0,-27066.0,137161.0,110095.0
2024-03-04,25800.0,209918.0,93822.0,58048.0,151870.0
2024-03-04,25900.0,26541.0,26541.0,0.0,26541.0
2024-03-05,25000.0,5800.0,-5800.0,5800.0,0.0
2024-03-05,25100.0,9920.0,-9920.0,9920.0,0.0
2024-03-05,25200.0,169697.0,-55495.0,112596.0,57101.0
2024-03-05,25300.0,143460.0,76660.0,33400.0,110060.0
2024-03-05,25400.0,110178.0,1446.0,54366.0,55812.0
2024-03-05,25500.0,360922.0,59342.0,150790.0,210132.0
2024-03-05,25600.0,228922.0,179432.0,24745.0,204177.0
2024-03-05,25700.0,75520.0,22320.0,26600.0,48920.0
2024-03-05,25800.0,8712.0,8712.0,0.0,8712.0
2024-03-06,24600.0,20239.0,-19039.0,19639.0,600.0
2024-03-06,24700.0,189224.0,-58404.0,123814.0,65410.0
2024-03-06,24800.0,292476.0,-1876.0,147176.0,145300.0
2024-03-06,24900.0,219871.0,-79227.0,149549.0,70322.0
2024-03-06,25000.0,338414.0,-103210.0,220812.0,117602.0
2024-03-06,25100.0,137686.0,-16088.0,76887.0,60799.0
2024-03-06,25200.0,134719.0,-2481.0,68600.0,66119.0
2024-03-06,25300.0,99142.0,43858.0,27642.0,71500.0
2024-03-06,25400.0,3300.0,3300.0,0.0,3300.0
2024-03-06,25500.0,2400.0,2400.0,0.0,2400.0
2024-03-06,25600.0,4524.0,4076.0,224.0,4300.0
2024-03-07,25000.0,22450.0,-16250.0,19350.0,3100.0
2024-03-07,25100.0,114827.0,-22225.0,68526.0,46301.0
2024-03-07,25200.0,165079.0,-18159.0,91619.0,73460.0
2024-03-07,25300.0,161058.0,29560.0,65749.0,95309.0
2024-03-07,25400.0,143464.0,-7996.0,75730.0,67734.0
2024-03-07,25500.0,139319.0,72417.0,33451.0,105868.0
2024-03-07,25600.0,190705.0,189105.0,800.0,189905.0
2024-03-08,25200.0,5100.0,-5100.0,5100.0,0.0
2024-03-08,25300.0,125300.0,48700.0,38300.0,87000.0
2024-03-08,25400.0,155934.0,-68534.0,112234.0,43700.0
2024-03-08,25500.0,193959.0,-15141.0,104550.0,89409.0
2024-03-08,25600.0,446880.0,-170036.0,308458.0,138422.0
2024-03-08,25700.0,309711.0,2619.0,153546.0,156165.0
2024-03-08,25800.0,197616.0,24092.0,86762.0,110854.0
2024-03-08,25900.0,104199.0,-14697.0,59448.0,44751.0
2024-03-08,26000.0,159544.0,12074.0,73735.0,85809.0
2024-03-08,26100.0,61510.0,-30890.0,46200.0,15310.0
2024-03-08,26200.0,113771.0,9115.0,52328.0,61443.0
2024-03-08,26300.0,9500.0,9500.0,0.0,9500.0
2024-03-11,24300.0,95227.0,-95227.0,95227.0,0.0
2024-03-11,24400.0,89004.0,-49396.0,69200.0,19804.0
2024-03-11,24500.0,187161.0,-335.0,93748.0,93413.0
2024-03-11,24600.0,94444.0,-55756.0,75100.0,19344.0
2024-03-11,24700.0,98500.0,6300.0,46100.0,52400.0
2024-03-11,24800.0,99402.0,-22998.0,61200.0,38202.0
2024-03-11,24900.0,212019.0,-42019.0,127019.0,85000.0
2024-03-11,25000.0,231059.0,-22039.0,126549.0,104510.0
2024-03-11,25100.0,67525.0,-3915.0,35720.0,31805.0
2024-03-11,25200.0,703.0,703.0,0.0,703.0
2024-03-11,25300.0,300.0,100.0,100.0,200.0
2024-03-11,25600.0,900.0,900.0,0.0,900.0
2024-03-12,24400.0,158800.0,-143800.0,151300.0,7500.0
2024-03-12,24500.0,126901.0,-6901.0,66901.0,60000.0
2024-03-12,24600.0,292333.0,-55131.0,173732.0,118601.0
2024-03-12,24700.0,272243.0,40281.0,115981.0,156262.0
2024-03-12,24800.0,99708.0,25108.0,37300.0,62408.0
2024-03-12,24900.0,120400.0,-20000.0,70200.0,50200.0
2024-03-12,25000.0,26310.0,26310.0,0.0,26310.0
2024-03-13,24400.0,40600.0,-40600.0,40600.0,0.0
2024-03-13,24500.0,29900.0,3100.0,13400.0,16500.0
2024-03-13,24600.0,51962.0,18700.0,16631.0,35331.0
2024-03-13,24700.0,17905.0,-3699.0,10802.0,7103.0
2024-03-13,24800.0,110926.0,12916.0,49005.0,61921.0
2024-03-13,24900.0,83788.0,27132.0,28328.0,55460.0
2024-03-13,25000.0,203937.0,125663.0,39137.0,164800.0
2024-03-13,25100.0,116400.0,-18200.0,67300.0,49100.0
2024-03-13,25200.0,101550.0,38850.0,31350.0,70200.0
2024-03-13,25300.0,59105.0,50095.0,4505.0,54600.0
2024-03-13,25400.0,111205.0,-1205.0,56205.0,55000.0
2024-03-13,25500.0,191660.0,29980.0,80840.0,110820.0
2024-03-13,25600.0,68910.0,64110.0,2400.0,66510.0
2024-03-13,25700.0,41900.0,40900.0,500.0,41400.0
2024-03-13,25800.0,21419.0,20419.0,500.0,20919.0
2024-03-13,25900.0,70480.0,68380.0,1050.0,69430.0
2024-03-13,26000.0,61000.0,21000.0,20000.0,41000.0
2024-03-13,26100.0,17600.0,17600.0,0.0,17600.0
2024-03-13,26200.0,16221.0,15379.0,421.0,15800.0
2024-03-13,26300.0,26400.0,-20400.0,23400.0,3000.0
2024-03-13,26400.0,16931.0,-11931.0,14431.0,2500.0
2024-03-13,26500.0,32700.0,-8900.0,20800.0,11900.0
2024-03-13,26600.0,31030.0,29830.0,600.0,30430.0
2024-03-13,26700.0,56939.0,-33319.0,45129.0,11810.0
2024-03-13,26800.0,691660.0,-39198.0,365429.0,326231.0
2024-03-14,24200.0,309.0,291.0,9.0,300.0
2024-03-14,26200.0,2400.0,-2400.0,2400.0,0.0
2024-03-14,26300.0,46459.0,-24659.0,35559.0,10900.0
2024-03-14,26400.0,173002.0,43998.0,64502.0,108500.0
2024-03-14,26500.0,166971.0,-98971.0,132971.0,34000.0
2024-03-14,26600.0,136965.0,10545.0,63210.0,73755.0
2024-03-14,26700.0,105917.0,-38107.0,72012.0,33905.0
2024-03-14,26800.0,132247.0,58773.0,36737.0,95510.0
