t,p,q,d,b,a
2024-07-09,17300.0,188900.0,-188900.0,188900.0,0.0
2024-07-09,17400.0,1153500.0,-458100.0,805800.0,347700.0
2024-07-09,17500.0,1058100.0,152900.0,452600.0,605500.0
2024-07-09,17600.0,651100.0,208100.0,221500.0,429600.0
2024-07-09,17700.0,515500.0,-49100.0,282300.0,233200.0
2024-07-09,17800.0,845500.0,260300.0,292600.0,552900.0
2024-07-09,17900.0,534800.0,159600.0,187600.0,347200.0
2024-07-09,18000.0,604700.0,354900.0,124900.0,479800.0
2024-07-09,18100.0,289700.0,86700.0,101500.0,188200.0
2024-07-09,18200.0,60700.0,60700.0,0.0,60700.0
2024-07-10,17200.0,53400.0,-53400.0,53400.0,0.0
2024-07-10,17300.0,1468200.0,-393800.0,931000.0,537200.0
2024-07-10,17400.0,1480200.0,-332600.0,906400.0,573800.0
2024-07-10,17500.0,1217600.0,269200.0,474200.0,743400.0
2024-07-10,17600.0,205500.0,205500.0,0.0,205500.0
2024-07-10,17700.0,200.0,200.0,0.0,200.0
2024-07-11,17100.0,872600.0,-761400.0,817000.0,55600.0
2024-07-11,17200.0,1839600.0,792800.0,523400.0,1316200.0
2024-07-11,17300.0,666000.0,17800.0,324100.0,341900.0
2024-07-11,17400.0,293900.0,-160700.0,227300.0,66600.0
2024-07-11,17500.0,152500.0,-119300.0,135900.0,16600.0
2024-07-11,17600.0,28400.0,18600.0,4900.0,23500.0
2024-07-12,17200.0,403200.0,-403200.0,403200.0,0.0
2024-07-12,17300.0,1144300.0,210100.0,467100.0,677200.0
2024-07-12,17400.0,1023500.0,78500.0,472500.0,551000.0
2024-07-12,17500.0,1095100.0,141700.0,476700.0,618400.0
2024-07-12,17600.0,82700.0,82700.0,0.0,82700.0
2024-07-15,17500.0,52700.0,-52700.0,52700.0,0.0
2024-07-15,17600.0,682100.0,-473100.0,577600.0,104500.0
2024-07-15,17700.0,1238800.0,510000.0,364400.0,874400.0
2024-07-15,17800.0,480900.0,141700.0,169600.0,311300.0
2024-07-15,17900.0,279100.0,151700.0,63700.0,215400.0
2024-07-15,18000.0,236100.0,236100.0,0.0,236100.0
2024-07-16,17300.0,545900.0,-272100.0,409000.0,136900.0
2024-07-16,17400.0,671600.0,-288400.0,480000.0,191600.0
2024-07-16,17500.0,380000.0,-47000.0,213500.0,166500.0
2024-07-16,17600.0,453000.0,-321400.0,387200.0,65800.0
2024-07-16,17700.0,445500.0,-226300.0,335900.0,109600.0
2024-07-16,17800.0,384600.0,-163400.0,274000.0,110600.0
2024-07-16,17900.0,256900.0,-146100.0,201500.0,55400.0
2024-07-16,18000.0,752500.0,162900.0,294800.0,457700.0
2024-07-16,18100.0,219600.0,140600.0,39500.0,180100.0
2024-07-16,18200.0,326500.0,14500.0,156000.0,170500.0
2024-07-16,18300.0,2600.0,2600.0,0.0,2600.0
2024-07-17,15700.0,184600.0,-130600.0,157600.0,27000.0
2024-07-17,15800.0,332800.0,-206600.0,269700.0,63100.0
2024-07-17,15900.0,62500.0,34700.0,13900.0,48600.0
2024-07-17,16000.0,313500.0,-86500.0,200000.0,113500.0
2024-07-17,16100.0,187600.0,-133200.0,160400.0,27200.0
2024-07-17,16200.0,245900.0,-172300.0,209100.0,36800.0
2024-07-17,16300.0,201700.0,56100.0,72800.0,128900.0
2024-07-17,16400.0,445700.0,143900.0,150900.0,294800.0
2024-07-17,16500.0,262700.0,-207500.0,235100.0,27600.0
2024-07-17,16600.0,136700.0,-123100.0,129900.0,6800.0
2024-07-17,16700.0,147700.0,-52100.0,99900.0,47800.0
2024-07-17,16800.0,651700.0,-35300.0,343500.0,308200.0
2024-07-17,16900.0,494100.0,-162700.0,328400.0,165700.0
2024-07-17,17000.0,1087100.0,-93900.0,590500.0,496600.0
2024-07-17,17100.0,420100.0,-119700.0,269900.0,150200.0
2024-07-17,17200.0,233900.0,-57500.0,145700.0,88200.0
2024-07-17,17300.0,159700.0,-134100.0,146900.0,12800.0
2024-07-17,17400.0,174900.0,-146500.0,160700.0,14200.0
2024-07-17,17500.0,81200.0,-6400.0,43800.0,37400.0
2024-07-17,17600.0,108300.0,49700.0,29300.0,79000.0
2024-07-17,17700.0,2000.0,-1000.0,1500.0,500.0
2024-07-18,15800.0,60500.0,-60500.0,60500.0,0.0
2024-07-18,15900.0,221000.0,-171800.0,196400.0,24600.0
2024-07-18,16000.0,644900.0,-423100.0,534000.0,110900.0
2024-07-18,16100.0,302900.0,-30700.0,166800.0,136100.0
2024-07-18,16200.0,426200.0,-135400.0,280800.0,145400.0
2024-07-18,16300.0,628400.0,122600.0,252900.0,375500.0
2024-07-18,16400.0,466200.0,149800.0,158200.0,308000.0
2024-07-18,16500.0,324700.0,-6700.0,165700.0,159000.0
2024-07-18,16600.0,271900.0,162300.0,54800.0,217100.0
2024-07-18,16700.0,180200.0,152200.0,14000.0,166200.0
2024-07-18,16800.0,200.0,200.0,0.0,200.0
2024-07-19,16100.0,24900.0,-24900.0,24900.0,0.0
2024-07-19,16200.0,99800.0,-51800.0,75800.0,24000.0
2024-07-19,16300.0,383600.0,-140800.0,262200.0,121400.0
2024-07-19,16400.0,867500.0,97500.0,385000.0,482500.0
2024-07-19,16500.0,367200.0,-41200.0,204200.0,163000.0
2024-07-19,16600.0,81400.0,66400.0,7500.0,73900.0
2024-07-19,16700.0,600.0,400.0,100.0,500.0
2024-07-22,14800.0,0.0,0.0,0.0,0.0
2024-07-22,15200.0,109300.0,-109300.0,109300.0,0.0
2024-07-22,15300.0,521900.0,-393300.0,457600.0,64300.0
2024-07-22,15400.0,967800.0,-175000.0,571400.0,396400.0
2024-07-22,15500.0,603100.0,-127300.0,365200.0,237900.0
2024-07-22,15600.0,431700.0,-12500.0,222100.0,209600.0
2024-07-22,15700.0,421900.0,-244700.0,333300.0,88600.0
2024-07-22,15800.0,361800.0,-78600.0,220200.0,141600.0
2024-07-22,15900.0,212400.0,-134600.0,173500.0,38900.0
2024-07-22,16000.0,265200.0,-400.0,132800.0,132400.0
2024-07-22,16100.0,136400.0,101600.0,17400.0,119000.0
2024-07-22,16200.0,19100.0,7700.0,5700.0,13400.0
2024-07-22,16400.0,2000.0,2000.0,0.0,2000.0
2024-07-22,16500.0,4700.0,4700.0,0.0,4700.0
2024-07-23,14100.0,139100.0,-111100.0,125100.0,14000.0
2024-07-23,14200.0,289000.0,-10600.0,149800.0,139200.0
2024-07-23,14300.0,225600.0,-53400.0,139500.0,86100.0
2024-07-23,14400.0,139100.0,-10900.0,75000.0,64100.0
2024-07-23,14500.0,250400.0,-212800.0,231600.0,18800.0
2024-07-23,14600.0,323700.0,-64300.0,194000.0,129700.0
2024-07-23,14700.0,380800.0,207200.0,86800.0,294000.0
