t,p,q,d,b,a
2024-02-15,65500.0,4100.0,-4100.0,4100.0,0.0
2024-02-15,65600.0,151700.0,-151700.0,151700.0,0.0
2024-02-15,65700.0,253000.0,-159400.0,206200.0,46800.0
2024-02-15,65800.0,158400.0,-40000.0,99200.0,59200.0
2024-02-15,65900.0,19900.0,3700.0,8100.0,11800.0
2024-02-15,66000.0,12700.0,7100.0,2800.0,9900.0
2024-02-16,65600.0,9500.0,8100.0,700.0,8800.0
2024-02-16,65700.0,18400.0,-3000.0,10700.0,7700.0
2024-02-16,65800.0,32100.0,-20300.0,26200.0,5900.0
2024-02-16,65900.0,8800.0,5000.0,1900.0,6900.0
2024-02-16,66000.0,41700.0,33700.0,4000.0,37700.0
2024-02-16,66100.0,6900.0,6900.0,0.0,6900.0
2024-02-16,66200.0,10700.0,10700.0,0.0,10700.0
2024-02-16,66300.0,1400.0,1400.0,0.0,1400.0
2024-02-16,66400.0,1000.0,1000.0,0.0,1000.0
2024-02-16,66500.0,32700.0,16700.0,8000.0,24700.0
2024-02-16,66600.0,73700.0,-24900.0,49300.0,24400.0
2024-02-16,66700.0,149700.0,-39500.0,94600.0,55100.0
2024-02-16,66800.0,110700.0,51900.0,29400.0,81300.0
2024-02-16,66900.0,29600.0,10600.0,9500.0,20100.0
2024-02-16,67000.0,60100.0,27500.0,16300.0,43800.0
2024-02-16,67100.0,8500.0,-8300.0,8400.0,100.0
2024-02-16,67200.0,38500.0,3900.0,17300.0,21200.0
2024-02-16,67300.0,20000.0,20000.0,0.0,20000.0
2024-02-16,67400.0,300.0,300.0,0.0,300.0
2024-02-19,64400.0,4900.0,-4900.0,4900.0,0.0
2024-02-19,64500.0,71900.0,-27300.0,49600.0,22300.0
2024-02-19,64600.0,124200.0,-55200.0,89700.0,34500.0
2024-02-19,64700.0,226400.0,-133400.0,179900.0,46500.0
2024-02-19,64800.0,161400.0,32200.0,64600.0,96800.0
2024-02-19,64900.0,46400.0,31000.0,7700.0,38700.0
2024-02-19,65000.0,35700.0,27900.0,3900.0,31800.0
2024-02-19,65100.0,200.0,200.0,0.0,200.0
2024-02-19,65200.0,9500.0,9500.0,0.0,9500.0
2024-02-20,64100.0,111100.0,-111100.0,111100.0,0.0
2024-02-20,64200.0,446400.0,-179600.0,313000.0,133400.0
2024-02-20,64300.0,263000.0,145800.0,58600.0,204400.0
2024-02-20,64400.0,22000.0,-1400.0,11700.0,10300.0
2024-02-20,64500.0,48700.0,-48300.0,48500.0,200.0
2024-02-20,64600.0,49200.0,-2800.0,26000.0,23200.0
2024-02-20,64700.0,8600.0,7200.0,700.0,7900.0
2024-02-20,64800.0,1900.0,1500.0,200.0,1700.0
2024-02-20,64900.0,200.0,-200.0,200.0,0.0
2024-02-20,65000.0,6100.0,6100.0,0.0,6100.0
2024-02-21,63100.0,19900.0,-19900.0,19900.0,0.0
2024-02-21,63200.0,88500.0,-88500.0,88500.0,0.0
2024-02-21,63300.0,158800.0,-110000.0,134400.0,24400.0
2024-02-21,63400.0,130700.0,-14900.0,72800.0,57900.0
2024-02-21,63500.0,133300.0,-84300.0,108800.0,24500.0
2024-02-21,63600.0,159100.0,-122900.0,141000.0,18100.0
2024-02-21,63700.0,120500.0,-3300.0,61900.0,58600.0
2024-02-21,63800.0,76400.0,6800.0,34800.0,41600.0
2024-02-21,63900.0,37200.0,0.0,18600.0,18600.0
2024-02-21,64000.0,14500.0,13100.0,700.0,13800.0
2024-02-22,63500.0,7500.0,-7500.0,7500.0,0.0
2024-02-22,63600.0,39200.0,12200.0,13500.0,25700.0
2024-02-22,63700.0,37800.0,37000.0,400.0,37400.0
2024-02-22,63800.0,11500.0,11500.0,0.0,11500.0
2024-02-22,63900.0,13900.0,13900.0,0.0,13900.0
2024-02-22,64000.0,15700.0,15700.0,0.0,15700.0
2024-02-22,64100.0,24900.0,-18500.0,21700.0,3200.0
2024-02-22,64200.0,125900.0,-4500.0,65200.0,60700.0
2024-02-22,64300.0,108200.0,-2400.0,55300.0,52900.0
2024-02-22,64400.0,98600.0,32400.0,33100.0,65500.0
2024-02-22,64500.0,29200.0,4600.0,12300.0,16900.0
2024-02-22,64600.0,43100.0,21700.0,10700.0,32400.0
2024-02-22,64700.0,2400.0,2400.0,0.0,2400.0
2024-02-23,64500.0,10900.0,-10900.0,10900.0,0.0
2024-02-23,64600.0,7100.0,2700.0,2200.0,4900.0
2024-02-23,64700.0,53800.0,12000.0,20900.0,32900.0
2024-02-23,64800.0,64300.0,13300.0,25500.0,38800.0
2024-02-23,64900.0,37000.0,17400.0,9800.0,27200.0
2024-02-23,65000.0,151600.0,-57200.0,104400.0,47200.0
2024-02-23,65100.0,64700.0,-21500.0,43100.0,21600.0
2024-02-23,65200.0,77600.0,10800.0,33400.0,44200.0
2024-02-23,65300.0,37400.0,-7200.0,22300.0,15100.0
2024-02-23,65400.0,87900.0,-27700.0,57800.0,30100.0
2024-02-23,65500.0,106700.0,-35500.0,71100.0,35600.0
2024-02-23,65600.0,78900.0,3700.0,37600.0,41300.0
2024-02-23,65700.0,97900.0,35500.0,31200.0,66700.0
2024-02-23,65800.0,107100.0,11900.0,47600.0,59500.0
2024-02-23,65900.0,80500.0,27900.0,26300.0,54200.0
2024-02-23,66000.0,149200.0,-79400.0,114300.0,34900.0
2024-02-23,66100.0,181900.0,-90900.0,136400.0,45500.0
2024-02-23,66200.0,285900.0,-59900.0,172900.0,113000.0
2024-02-23,66300.0,115900.0,61500.0,27200.0,88700.0
2024-02-23,66400.0,84900.0,42500.0,21200.0,63700.0
