t,p,q,d,b,a
2024-02-15,17800.0,486800.0,-486800.0,486800.0,0.0
2024-02-15,17850.0,2718200.0,-1172800.0,1945500.0,772700.0
2024-02-15,17900.0,1880000.0,-1116800.0,1498400.0,381600.0
2024-02-15,17950.0,1304700.0,-363100.0,833900.0,470800.0
2024-02-15,18000.0,1668400.0,-1441600.0,1555000.0,113400.0
2024-02-15,18050.0,4560400.0,-2262400.0,3411400.0,1149000.0
2024-02-15,18100.0,6262300.0,-1818500.0,4040400.0,2221900.0
2024-02-15,18150.0,3482800.0,693000.0,1394900.0,2087900.0
2024-02-15,18200.0,802500.0,35100.0,383700.0,418800.0
2024-02-15,18250.0,239800.0,239800.0,0.0,239800.0
2024-02-16,17800.0,154000.0,-154000.0,154000.0,0.0
2024-02-16,17850.0,3101100.0,-1146700.0,2123900.0,977200.0
2024-02-16,17900.0,3539800.0,833800.0,1353000.0,2186800.0
2024-02-16,17950.0,4458200.0,-690200.0,2574200.0,1884000.0
2024-02-16,18000.0,6252100.0,1339100.0,2456500.0,3795600.0
2024-02-16,18050.0,2749600.0,639400.0,1055100.0,1694500.0
2024-02-16,18100.0,1130200.0,1082800.0,23700.0,1106500.0
2024-02-16,18150.0,3900.0,3900.0,0.0,3900.0
2024-02-19,17500.0,1700.0,-1700.0,1700.0,0.0
2024-02-19,17550.0,1899800.0,-1899800.0,1899800.0,0.0
2024-02-19,17600.0,5553900.0,-2287300.0,3920600.0,1633300.0
2024-02-19,17650.0,3781900.0,-1403700.0,2592800.0,1189100.0
2024-02-19,17700.0,2511100.0,-291700.0,1401400.0,1109700.0
2024-02-19,17750.0,4350400.0,-205600.0,2278000.0,2072400.0
2024-02-19,17800.0,2064400.0,-613000.0,1338700.0,725700.0
2024-02-19,17850.0,3886800.0,-2005400.0,2946100.0,940700.0
2024-02-19,17900.0,1485700.0,225100.0,630300.0,855400.0
2024-02-19,17950.0,715800.0,-67000.0,391400.0,324400.0
2024-02-19,18000.0,10700.0,10700.0,0.0,10700.0
2024-02-20,18000.0,326600.0,311200.0,7700.0,318900.0
2024-02-20,18050.0,394900.0,296100.0,49400.0,345500.0
2024-02-20,18100.0,926500.0,253300.0,336600.0,589900.0
2024-02-20,18150.0,1876900.0,1282500.0,297200.0,1579700.0
2024-02-20,18200.0,4414300.0,123700.0,2145300.0,2269000.0
2024-02-20,18250.0,5041300.0,2208700.0,1416300.0,3625000.0
2024-02-20,18300.0,4336200.0,2385400.0,975400.0,3360800.0
2024-02-20,18350.0,4739300.0,774700.0,1982300.0,2757000.0
2024-02-20,18400.0,3586000.0,865800.0,1360100.0,2225900.0
2024-02-20,18450.0,3617800.0,530400.0,1543700.0,2074100.0
2024-02-20,18500.0,2797300.0,982900.0,907200.0,1890100.0
2024-02-20,18550.0,5244500.0,-699700.0,2972100.0,2272400.0
2024-02-20,18600.0,6675400.0,285200.0,3195100.0,3480300.0
2024-02-20,18650.0,4061200.0,2651000.0,705100.0,3356100.0
2024-02-20,18700.0,429500.0,429500.0,0.0,429500.0
2024-02-21,18150.0,42400.0,-42400.0,42400.0,0.0
2024-02-21,18200.0,1741400.0,-1028200.0,1384800.0,356600.0
2024-02-21,18250.0,4562700.0,-279700.0,2421200.0,2141500.0
2024-02-21,18300.0,5221600.0,-2333000.0,3777300.0,1444300.0
2024-02-21,18350.0,6539700.0,1357500.0,2591100.0,3948600.0
2024-02-21,18400.0,4592600.0,2527600.0,1032500.0,3560100.0
2024-02-21,18450.0,1326100.0,867700.0,229200.0,1096900.0
2024-02-21,18500.0,31600.0,31600.0,0.0,31600.0
2024-02-22,18050.0,761900.0,-761900.0,761900.0,0.0
2024-02-22,18100.0,3009100.0,-1769700.0,2389400.0,619700.0
2024-02-22,18150.0,3946200.0,-1281000.0,2613600.0,1332600.0
2024-02-22,18200.0,3456700.0,143500.0,1656600.0,1800100.0
2024-02-22,18250.0,1606600.0,-1057800.0,1332200.0,274400.0
2024-02-22,18300.0,957500.0,78900.0,439300.0,518200.0
2024-02-22,18350.0,226500.0,78100.0,74200.0,152300.0
2024-02-22,18400.0,2300.0,2300.0,0.0,2300.0
2024-02-23,17450.0,198200.0,-198200.0,198200.0,0.0
2024-02-23,17500.0,2951800.0,-1568600.0,2260200.0,691600.0
2024-02-23,17550.0,3600500.0,-893900.0,2247200.0,1353300.0
2024-02-23,17600.0,2205000.0,-651400.0,1428200.0,776800.0
2024-02-23,17650.0,1156500.0,-484300.0,820400.0,336100.0
2024-02-23,17700.0,2500700.0,-698100.0,1599400.0,901300.0
2024-02-23,17750.0,2045000.0,-1100600.0,1572800.0,472200.0
2024-02-23,17800.0,2038300.0,-814900.0,1426600.0,611700.0
2024-02-23,17850.0,1285900.0,-392700.0,839300.0,446600.0
2024-02-23,17900.0,1321200.0,-1299200.0,1310200.0,11000.0
2024-02-23,17950.0,4507400.0,-1756800.0,3132100.0,1375300.0
2024-02-23,18000.0,4031000.0,-223600.0,2127300.0,1903700.0
2024-02-23,18050.0,2670800.0,-509800.0,1590300.0,1080500.0
2024-02-23,18100.0,2935600.0,-96800.0,1516200.0,1419400.0
2024-02-23,18150.0,1265100.0,946900.0,159100.0,1106000.0
2024-02-23,18200.0,106600.0,106600.0,0.0,106600.0
2024-02-26,17300.0,277300.0,-277300.0,277300.0,0.0
2024-02-26,17350.0,1609700.0,-1099500.0,1354600.0,255100.0
2024-02-26,17400.0,4063500.0,-589300.0,2326400.0,1737100.0
2024-02-26,17450.0,2874500.0,106900.0,1383800.0,1490700.0
2024-02-26,17500.0,1232400.0,606800.0,312800.0,919600.0
2024-02-26,17550.0,521700.0,372500.0,74600.0,447100.0
2024-02-26,17600.0,360500.0,360500.0,0.0,360500.0
2024-02-26,17650.0,125800.0,8400.0,58700.0,67100.0
2024-02-26,17700.0,1808400.0,-529200.0,1168800.0,639600.0
2024-02-26,17750.0,1401600.0,676200.0,362700.0,1038900.0
2024-02-26,17800.0,1525400.0,945400.0,290000.0,1235400.0
2024-02-26,17850.0,776000.0,129400.0,323300.0,452700.0
2024-02-26,17900.0,2130900.0,-683100.0,1407000.0,723900.0
2024-02-26,17950.0,2873700.0,1362700.0,755500.0,2118200.0
2024-02-26,18000.0,1698900.0,1133100.0,282900.0,1416000.0
2024-02-26,18050.0,299200.0,13800.0,142700.0,156500.0
2024-02-26,18100.0,418300.0,39300.0,189500.0,228800.0
2024-02-26,18150.0,161000.0,161000.0,0.0,161000.0
2024-02-27,17900.0,69700.0,-69700.0,69700.0,0.0
2024-02-27,17950.0,2231000.0,-1460400.0,1845700.0,385300.0
2024-02-27,18000.0,1838900.0,807700.0,515600.0,1323300.0
2024-02-27,18050.0,969300.0,127500.0,420900.0,548400.0
2024-02-27,18100.0,2785700.0,191900.0,1296900.0,1488800.0
2024-02-27,18150.0,5022600.0,75400.0,2473600.0,2549000.0
2024-02-27,18200.0,3716300.0,2011700.0,852300.0,2864000.0
2024-02-27,18250.0,2444400.0,514400.0,965000.0,1479400.0
2024-02-27,18300.0,812800.0,385800.0,213500.0,599300.0
2024-02-27,18350.0,671900.0,38100.0,316900.0,355000.0
2024-02-27,18400.0,631900.0,618700.0,6600.0,625300.0
2024-02-27,18450.0,182600.0,182600.0,0.0,182600.0
2024-02-28,18000.0,48400.0,-48400.0,48400.0,0.0
2024-02-28,18050.0,382600.0,-344200.0,363400.0,19200.0
2024-02-28,18100.0,3138800.0,-2336400.0,2737600.0,401200.0
2024-02-28,18150.0,3404100.0,-219700.0,1811900.0,1592200.0
2024-02-28,18200.0,4186100.0,350900.0,1917600.0,2268500.0
2024-02-28,18250.0,5976200.0,1072600.0,2451800.0,3524400.0
2024-02-28,18300.0,4038800.0,1299600.0,1369600.0,2669200.0
2024-02-28,18350.0,3330000.0,99200.0,1615400.0,1714600.0
2024-02-28,18400.0,2719200.0,955200.0,882000.0,1837200.0
2024-02-28,18450.0,365200.0,365200.0,0.0,365200.0
2024-02-29,18150.0,30500.0,-30500.0,30500.0,0.0
2024-02-29,18200.0,2484800.0,-2228800.0,2356800.0,128000.0
2024-02-29,18250.0,5660800.0,-2500400.0,4080600.0,1580200.0
2024-02-29,18300.0,4672600.0,1036400.0,1818100.0,2854500.0
2024-02-29,18350.0,3057800.0,-1353400.0,2205600.0,852200.0
2024-02-29,18400.0,4443100.0,276700.0,2083200.0,2359900.0
2024-02-29,18450.0,3602200.0,622000.0,1490100.0,2112100.0
2024-02-29,18500.0,3652200.0,1115400.0,1268400.0,2383800.0
2024-02-29,18550.0,1484300.0,160300.0,662000.0,822300.0
2024-02-29,18600.0,2244600.0,212400.0,1016100.0,1228500.0
2024-02-29,18650.0,1200100.0,427300.0,386400.0,813700.0
2024-02-29,18700.0,1503400.0,764800.0,369300.0,1134100.0
2024-02-29,18750.0,1171200.0,574600.0,298300.0,872900.0
2024-02-29,18800.0,606700.0,606700.0,0.0,606700.0
2024-03-01,18350.0,239100.0,223100.0,8000.0,231100.0
2024-03-01,18400.0,72300.0,61900.0,5200.0,67100.0
2024-03-01,18450.0,151800.0,-27200.0,89500.0,62300.0
2024-03-01,18500.0,1788200.0,-264000.0,1026100.0,762100.0
2024-03-01,18550.0,2038600.0,1064200.0,487200.0,1551400.0
