t,p,q,d,b,a
2024-02-15,22900.0,194600.0,-194600.0,194600.0,0.0
2024-02-15,22950.0,2141700.0,-1424500.0,1783100.0,358600.0
2024-02-15,23000.0,2913100.0,-893100.0,1903100.0,1010000.0
2024-02-15,23050.0,3686700.0,-1845100.0,2765900.0,920800.0
2024-02-15,23100.0,7395400.0,-1245200.0,4320300.0,3075100.0
2024-02-15,23150.0,3056400.0,-250400.0,1653400.0,1403000.0
2024-02-15,23200.0,2255400.0,925000.0,665200.0,1590200.0
2024-02-15,23250.0,128900.0,-61500.0,95200.0,33700.0
2024-02-15,23300.0,421100.0,421100.0,0.0,421100.0
2024-02-16,23000.0,5000.0,-5000.0,5000.0,0.0
2024-02-16,23050.0,1074600.0,-796200.0,935400.0,139200.0
2024-02-16,23100.0,6789400.0,-1683800.0,4236600.0,2552800.0
2024-02-16,23150.0,3038400.0,942200.0,1048100.0,1990300.0
2024-02-16,23200.0,5470500.0,416100.0,2527200.0,2943300.0
2024-02-16,23250.0,4540400.0,229200.0,2155600.0,2384800.0
2024-02-16,23300.0,3212700.0,905700.0,1153500.0,2059200.0
2024-02-16,23350.0,1895000.0,579800.0,657600.0,1237400.0
2024-02-16,23400.0,3244100.0,719700.0,1262200.0,1981900.0
2024-02-16,23450.0,1434600.0,955800.0,239400.0,1195200.0
2024-02-16,23500.0,8500.0,8500.0,0.0,8500.0
2024-02-19,22600.0,344700.0,-344700.0,344700.0,0.0
2024-02-19,22650.0,2560900.0,193500.0,1183700.0,1377200.0
2024-02-19,22700.0,1880300.0,-759300.0,1319800.0,560500.0
2024-02-19,22750.0,1244900.0,-239100.0,742000.0,502900.0
2024-02-19,22800.0,6216500.0,-2563100.0,4389800.0,1826700.0
2024-02-19,22850.0,8039200.0,-1651000.0,4845100.0,3194100.0
2024-02-19,22900.0,5743000.0,67200.0,2837900.0,2905100.0
2024-02-19,22950.0,2607000.0,963800.0,821600.0,1785400.0
2024-02-19,23000.0,1339900.0,-926300.0,1133100.0,206800.0
2024-02-19,23050.0,2192900.0,-1388100.0,1790500.0,402400.0
2024-02-19,23100.0,3082500.0,-602900.0,1842700.0,1239800.0
2024-02-19,23150.0,1764000.0,-570800.0,1167400.0,596600.0
2024-02-19,23200.0,1369500.0,310700.0,529400.0,840100.0
2024-02-19,23250.0,567400.0,-439800.0,503600.0,63800.0
2024-02-19,23300.0,1064700.0,322500.0,371100.0,693600.0
2024-02-19,23350.0,406700.0,21300.0,192700.0,214000.0
2024-02-19,23400.0,64600.0,64600.0,0.0,64600.0
2024-02-20,23000.0,490500.0,-490500.0,490500.0,0.0
2024-02-20,23050.0,3048400.0,-1605800.0,2327100.0,721300.0
2024-02-20,23100.0,2792400.0,-810600.0,1801500.0,990900.0
2024-02-20,23150.0,4299900.0,-587300.0,2443600.0,1856300.0
2024-02-20,23200.0,3449200.0,333600.0,1557800.0,1891400.0
2024-02-20,23250.0,3423400.0,973200.0,1225100.0,2198300.0
2024-02-20,23300.0,1636500.0,1173100.0,231700.0,1404800.0
2024-02-20,23350.0,593800.0,276600.0,158600.0,435200.0
2024-02-20,23400.0,1090900.0,1900.0,544500.0,546400.0
2024-02-20,23450.0,187800.0,187800.0,0.0,187800.0
