t,p,q,d,b,a
2024-02-15,67200.0,5900.0,-5900.0,5900.0,0.0
2024-02-15,67300.0,268300.0,-268300.0,268300.0,0.0
2024-02-15,67400.0,345700.0,11500.0,167100.0,178600.0
2024-02-15,67500.0,603700.0,-599900.0,601800.0,1900.0
2024-02-15,67600.0,1590400.0,-12600.0,801500.0,788900.0
2024-02-15,67700.0,626800.0,-37000.0,331900.0,294900.0
2024-02-15,67800.0,159800.0,-51800.0,105800.0,54000.0
2024-02-15,67900.0,78300.0,71700.0,3300.0,75000.0
2024-02-15,68000.0,500.0,500.0,0.0,500.0
2024-02-16,67500.0,1400.0,-1400.0,1400.0,0.0
2024-02-16,67600.0,238700.0,-131700.0,185200.0,53500.0
2024-02-16,67700.0,144000.0,74400.0,34800.0,109200.0
2024-02-16,67800.0,107000.0,88000.0,9500.0,97500.0
2024-02-16,67900.0,35900.0,35900.0,0.0,35900.0
2024-02-16,68000.0,111100.0,21900.0,44600.0,66500.0
2024-02-16,68100.0,174600.0,142200.0,16200.0,158400.0
2024-02-16,68200.0,139900.0,139900.0,0.0,139900.0
2024-02-16,68300.0,121100.0,-2100.0,61600.0,59500.0
2024-02-16,68400.0,215600.0,-67200.0,141400.0,74200.0
2024-02-16,68500.0,542400.0,12400.0,265000.0,277400.0
2024-02-16,68600.0,346500.0,176500.0,85000.0,261500.0
2024-02-16,68700.0,550100.0,176700.0,186700.0,363400.0
2024-02-16,68800.0,277400.0,181800.0,47800.0,229600.0
2024-02-16,68900.0,88400.0,88400.0,0.0,88400.0
2024-02-16,69000.0,232200.0,90000.0,71100.0,161100.0
2024-02-16,69100.0,205100.0,113500.0,45800.0,159300.0
2024-02-16,69200.0,536900.0,-227900.0,382400.0,154500.0
2024-02-16,69300.0,1126700.0,-235500.0,681100.0,445600.0
2024-02-16,69400.0,1059700.0,173100.0,443300.0,616400.0
2024-02-16,69500.0,737600.0,358800.0,189400.0,548200.0
2024-02-16,69600.0,681900.0,154300.0,263800.0,418100.0
2024-02-16,69700.0,234000.0,211000.0,11500.0,222500.0
2024-02-16,69800.0,204400.0,88600.0,57900.0,146500.0
2024-02-16,69900.0,462400.0,-34000.0,248200.0,214200.0
2024-02-16,70000.0,1101300.0,194700.0,453300.0,648000.0
2024-02-16,70100.0,644300.0,210900.0,216700.0,427600.0
2024-02-16,70200.0,194900.0,161300.0,16800.0,178100.0
2024-02-16,70300.0,100.0,100.0,0.0,100.0
2024-02-19,70700.0,1500.0,-1500.0,1500.0,0.0
2024-02-19,70800.0,168200.0,52000.0,58100.0,110100.0
2024-02-19,70900.0,319400.0,211000.0,54200.0,265200.0
2024-02-19,71000.0,69500.0,67700.0,900.0,68600.0
2024-02-19,71100.0,27600.0,27600.0,0.0,27600.0
2024-02-19,71200.0,89600.0,-3800.0,46700.0,42900.0
2024-02-19,71300.0,285300.0,-66700.0,176000.0,109300.0
2024-02-19,71400.0,385300.0,7900.0,188700.0,196600.0
2024-02-19,71500.0,604100.0,-219300.0,411700.0,192400.0
2024-02-19,71600.0,1000800.0,-101400.0,551100.0,449700.0
2024-02-19,71700.0,1407400.0,195000.0,606200.0,801200.0
2024-02-19,71800.0,618900.0,-92700.0,355800.0,263100.0
2024-02-19,71900.0,499600.0,137000.0,181300.0,318300.0
2024-02-19,72000.0,454500.0,183900.0,135300.0,319200.0
2024-02-19,72100.0,108700.0,-68500.0,88600.0,20100.0
2024-02-19,72200.0,76600.0,26800.0,24900.0,51700.0
2024-02-19,72300.0,112600.0,26800.0,42900.0,69700.0
2024-02-19,72400.0,125500.0,119700.0,2900.0,122600.0
2024-02-19,72500.0,114300.0,114300.0,0.0,114300.0
2024-02-19,72600.0,1200.0,1200.0,0.0,1200.0
2024-02-20,71300.0,2600.0,-2600.0,2600.0,0.0
2024-02-20,71400.0,220300.0,-110100.0,165200.0,55100.0
2024-02-20,71500.0,635100.0,-170300.0,402700.0,232400.0
2024-02-20,71600.0,689900.0,-107900.0,398900.0,291000.0
2024-02-20,71700.0,539500.0,2500.0,268500.0,271000.0
2024-02-20,71800.0,596400.0,-181200.0,388800.0,207600.0
2024-02-20,71900.0,920400.0,37200.0,441600.0,478800.0
2024-02-20,72000.0,360600.0,266800.0,46900.0,313700.0
2024-02-20,72100.0,71700.0,6900.0,32400.0,39300.0
2024-02-20,72200.0,68900.0,-14500.0,41700.0,27200.0
2024-02-20,72300.0,83100.0,-1300.0,42200.0,40900.0
2024-02-20,72400.0,4600.0,4600.0,0.0,4600.0
2024-02-21,71000.0,187900.0,-187900.0,187900.0,0.0
2024-02-21,71100.0,503800.0,-348800.0,426300.0,77500.0
2024-02-21,71200.0,1129700.0,-613100.0,871400.0,258300.0
2024-02-21,71300.0,806100.0,-27300.0,416700.0,389400.0
2024-02-21,71400.0,216800.0,2600.0,107100.0,109700.0
2024-02-21,71500.0,303700.0,69300.0,117200.0,186500.0
2024-02-21,71600.0,114600.0,61600.0,26500.0,88100.0
2024-02-21,71700.0,57400.0,14600.0,21400.0,36000.0
2024-02-21,71800.0,109700.0,48300.0,30700.0,79000.0
2024-02-21,71900.0,5400.0,5400.0,0.0,5400.0
2024-02-22,71100.0,242600.0,-216600.0,229600.0,13000.0
2024-02-22,71200.0,285000.0,-135200.0,210100.0,74900.0
2024-02-22,71300.0,174600.0,46200.0,64200.0,110400.0
2024-02-22,71400.0,27800.0,27800.0,0.0,27800.0
2024-02-22,71500.0,43000.0,42800.0,100.0,42900.0
2024-02-22,71600.0,15000.0,15000.0,0.0,15000.0
2024-02-22,71700.0,115800.0,-17000.0,66400.0,49400.0
2024-02-22,71800.0,403600.0,-155400.0,279500.0,124100.0
2024-02-22,71900.0,492800.0,29400.0,231700.0,261100.0
2024-02-22,72000.0,719700.0,-194700.0,457200.0,262500.0
2024-02-22,72100.0,375600.0,20800.0,177400.0,198200.0
2024-02-22,72200.0,601300.0,232700.0,184300.0,417000.0
2024-02-22,72300.0,370900.0,40900.0,165000.0,205900.0
2024-02-22,72400.0,310700.0,131900.0,89400.0,221300.0
2024-02-22,72500.0,144800.0,-7600.0,76200.0,68600.0
2024-02-22,72600.0,121000.0,60400.0,30300.0,90700.0
2024-02-22,72700.0,13000.0,13000.0,0.0,13000.0
2024-02-23,71000.0,269000.0,-269000.0,269000.0,0.0
2024-02-23,71100.0,202200.0,-120800.0,161500.0,40700.0
2024-02-23,71200.0,122200.0,-67600.0,94900.0,27300.0
2024-02-23,71300.0,237100.0,-140100.0,188600.0,48500.0
2024-02-23,71400.0,202900.0,-37100.0,120000.0,82900.0
2024-02-23,71500.0,343400.0,-261200.0,302300.0,41100.0
2024-02-23,71600.0,720400.0,-94000.0,407200.0,313200.0
2024-02-23,71700.0,488400.0,37200.0,225600.0,262800.0
2024-02-23,71800.0,659800.0,-173400.0,416600.0,243200.0
2024-02-23,71900.0,311200.0,194200.0,58500.0,252700.0
2024-02-23,72000.0,463700.0,20300.0,221700.0,242000.0
2024-02-23,72100.0,284100.0,-68100.0,176100.0,108000.0
2024-02-23,72200.0,333300.0,37700.0,147800.0,185500.0
2024-02-23,72300.0,202900.0,107500.0,47700.0,155200.0
2024-02-23,72400.0,230700.0,-40900.0,135800.0,94900.0
2024-02-23,72500.0,524800.0,208000.0,158400.0,366400.0
2024-02-23,72600.0,64600.0,30800.0,16900.0,47700.0
2024-02-23,72700.0,11100.0,11100.0,0.0,11100.0
2024-02-26,70700.0,5200.0,-5200.0,5200.0,0.0
2024-02-26,70800.0,63300.0,-63300.0,63300.0,0.0
2024-02-26,70900.0,192100.0,-96300.0,144200.0,47900.0
2024-02-26,71000.0,379100.0,-79900.0,229500.0,149600.0
2024-02-26,71100.0,286300.0,-93700.0,190000.0,96300.0
2024-02-26,71200.0,495400.0,-164000.0,329700.0,165700.0
2024-02-26,71300.0,463100.0,-40500.0,251800.0,211300.0
2024-02-26,71400.0,458200.0,86800.0,185700.0,272500.0
2024-02-26,71500.0,397500.0,85900.0,155800.0,241700.0
2024-02-26,71600.0,146100.0,81100.0,32500.0,113600.0
2024-02-26,71700.0,16600.0,16600.0,0.0,16600.0
2024-02-27,71100.0,1400.0,-1400.0,1400.0,0.0
2024-02-27,71200.0,83000.0,-6800.0,44900.0,38100.0
2024-02-27,71300.0,97000.0,-66800.0,81900.0,15100.0
2024-02-27,71400.0,51100.0,43300.0,3900.0,47200.0
2024-02-27,71500.0,76300.0,7700.0,34300.0,42000.0
2024-02-27,71600.0,186600.0,-115600.0,151100.0,35500.0
2024-02-27,71700.0,745700.0,-485300.0,615500.0,130200.0
2024-02-27,71800.0,1339800.0,-95000.0,717400.0,622400.0
2024-02-27,71900.0,436400.0,17200.0,209600.0,226800.0
2024-02-27,72000.0,835800.0,182000.0,326900.0,508900.0
2024-02-27,72100.0,537500.0,-15100.0,276300.0,261200.0
2024-02-27,72200.0,416000.0,240800.0,87600.0,328400.0
2024-02-27,72300.0,65500.0,65500.0,0.0,65500.0
2024-02-27,72400.0,700.0,700.0,0.0,700.0
2024-02-28,71500.0,114700.0,-114700.0,114700.0,0.0
2024-02-28,71600.0,250700.0,-250700.0,250700.0,0.0
2024-02-28,71700.0,487200.0,-322400.0,404800.0,82400.0
2024-02-28,71800.0,451400.0,-26600.0,239000.0,212400.0
2024-02-28,71900.0,388800.0,-130600.0,259700.0,129100.0
2024-02-28,72000.0,530400.0,-169400.0,349900.0,180500.0
2024-02-28,72100.0,520600.0,-52400.0,286500.0,234100.0
2024-02-28,72200.0,126400.0,123200.0,1600.0,124800.0
2024-02-28,72300.0,16300.0,13700.0,1300.0,15000.0
2024-02-28,72400.0,138000.0,85800.0,26100.0,111900.0
2024-02-28,72500.0,62700.0,900.0,30900.0,31800.0
2024-02-28,72600.0,23100.0,23100.0,0.0,23100.0
2024-02-29,71600.0,21100.0,-21100.0,21100.0,0.0
2024-02-29,71700.0,473000.0,-264200.0,368600.0,104400.0
2024-02-29,71800.0,678800.0,-163000.0,420900.0,257900.0
2024-02-29,71900.0,631800.0,-10600.0,321200.0,310600.0
2024-02-29,72000.0,550300.0,-172700.0,361500.0,188800.0
2024-02-29,72100.0,291000.0,-36600.0,163800.0,127200.0
2024-02-29,72200.0,280700.0,-126300.0,203500.0,77200.0
2024-02-29,72300.0,310100.0,-94900.0,202500.0,107600.0
2024-02-29,72400.0,207700.0,59500.0,74100.0,133600.0
2024-02-29,72500.0,104600.0,-65400.0,85000.0,19600.0
2024-02-29,72600.0,435200.0,40200.0,197500.0,237700.0
2024-02-29,72700.0,136500.0,65900.0,35300.0,101200.0
2024-02-29,72800.0,88600.0,-48200.0,68400.0,20200.0
2024-02-29,72900.0,326700.0,-156500.0,241600.0,85100.0
2024-02-29,73000.0,1010100.0,-100.0,505100.0,505000.0
2024-02-29,73100.0,279400.0,19600.0,129900.0,149500.0
2024-02-29,73200.0,253000.0,173000.0,40000.0,213000.0
2024-02-29,73300.0,20800.0,20800.0,0.0,20800.0
2024-03-01,71200.0,4300.0,-4300.0,4300.0,0.0
