t,p,q,d,b,a
2024-02-15,12000.0,67400.0,-67400.0,67400.0,0.0
2024-02-15,12050.0,278400.0,1400.0,138500.0,139900.0
2024-02-15,12100.0,331100.0,-143700.0,237400.0,93700.0
2024-02-15,12150.0,293400.0,-58000.0,175700.0,117700.0
2024-02-15,12200.0,221200.0,-105200.0,163200.0,58000.0
2024-02-15,12250.0,68900.0,-23700.0,46300.0,22600.0
2024-02-15,12300.0,69900.0,-53700.0,61800.0,8100.0
2024-02-15,12350.0,203700.0,-45900.0,124800.0,78900.0
2024-02-15,12400.0,28000.0,18000.0,5000.0,23000.0
2024-02-15,12450.0,7100.0,-6500.0,6800.0,300.0
2024-02-15,12500.0,10500.0,4500.0,3000.0,7500.0
2024-02-15,12600.0,74100.0,74100.0,0.0,74100.0
2024-02-16,11950.0,800.0,-800.0,800.0,0.0
2024-02-16,12000.0,67700.0,-67700.0,67700.0,0.0
2024-02-16,12050.0,144900.0,-80700.0,112800.0,32100.0
2024-02-16,12100.0,229800.0,26200.0,101800.0,128000.0
2024-02-16,12150.0,275500.0,-31700.0,153600.0,121900.0
2024-02-16,12200.0,307700.0,56900.0,125400.0,182300.0
2024-02-16,12250.0,135700.0,-2500.0,69100.0,66600.0
2024-02-16,12300.0,87000.0,36000.0,25500.0,61500.0
2024-02-16,12350.0,400.0,400.0,0.0,400.0
2024-02-19,12050.0,11500.0,-11500.0,11500.0,0.0
2024-02-19,12100.0,236700.0,-82300.0,159500.0,77200.0
2024-02-19,12150.0,526800.0,-173200.0,350000.0,176800.0
2024-02-19,12200.0,219600.0,76400.0,71600.0,148000.0
2024-02-19,12250.0,92800.0,-52400.0,72600.0,20200.0
2024-02-19,12300.0,283700.0,-201100.0,242400.0,41300.0
2024-02-19,12350.0,249000.0,71800.0,88600.0,160400.0
2024-02-19,12400.0,107500.0,34700.0,36400.0,71100.0
2024-02-19,12450.0,8000.0,8000.0,0.0,8000.0
2024-02-20,11900.0,352000.0,-305800.0,328900.0,23100.0
2024-02-20,11950.0,581400.0,-159400.0,370400.0,211000.0
2024-02-20,12000.0,436900.0,-124300.0,280600.0,156300.0
2024-02-20,12050.0,244400.0,13800.0,115300.0,129100.0
2024-02-20,12100.0,23000.0,-7000.0,15000.0,8000.0
2024-02-20,12150.0,14000.0,14000.0,0.0,14000.0
2024-02-21,11950.0,18300.0,-18300.0,18300.0,0.0
2024-02-21,12000.0,288500.0,-130100.0,209300.0,79200.0
2024-02-21,12050.0,146800.0,-54000.0,100400.0,46400.0
2024-02-21,12100.0,175800.0,16000.0,79900.0,95900.0
2024-02-21,12150.0,151300.0,-3900.0,77600.0,73700.0
2024-02-21,12200.0,145700.0,23900.0,60900.0,84800.0
2024-02-21,12250.0,79900.0,26900.0,26500.0,53400.0
2024-02-21,12300.0,9700.0,9700.0,0.0,9700.0
2024-02-22,11950.0,32400.0,-32400.0,32400.0,0.0
2024-02-22,12000.0,74000.0,-58600.0,66300.0,7700.0
2024-02-22,12050.0,179800.0,-56000.0,117900.0,61900.0
2024-02-22,12100.0,265900.0,-66500.0,166200.0,99700.0
2024-02-22,12150.0,376200.0,134000.0,121100.0,255100.0
2024-02-22,12200.0,614000.0,342800.0,135600.0,478400.0
2024-02-22,12250.0,422000.0,161000.0,130500.0,291500.0
2024-02-22,12300.0,33000.0,33000.0,0.0,33000.0
2024-02-23,11800.0,52900.0,-52900.0,52900.0,0.0
2024-02-23,11850.0,261200.0,-82800.0,172000.0,89200.0
2024-02-23,11900.0,164300.0,-53100.0,108700.0,55600.0
2024-02-23,11950.0,208200.0,59600.0,74300.0,133900.0
2024-02-23,12000.0,159800.0,-157800.0,158800.0,1000.0
2024-02-23,12050.0,165700.0,-47300.0,106500.0,59200.0
2024-02-23,12100.0,251700.0,-186100.0,218900.0,32800.0
2024-02-23,12150.0,295900.0,-55100.0,175500.0,120400.0
2024-02-23,12200.0,293000.0,-122800.0,207900.0,85100.0
2024-02-23,12250.0,345300.0,57900.0,143700.0,201600.0
2024-02-23,12300.0,180300.0,45900.0,67200.0,113100.0
2024-02-23,12350.0,5300.0,5300.0,0.0,5300.0
2024-02-26,11750.0,24200.0,-20600.0,22400.0,1800.0
2024-02-26,11800.0,129800.0,-8800.0,69300.0,60500.0
2024-02-26,11850.0,230800.0,29600.0,100600.0,130200.0
2024-02-26,11900.0,199000.0,85800.0,56600.0,142400.0
2024-02-26,11950.0,153000.0,21600.0,65700.0,87300.0
2024-02-26,12000.0,139700.0,138500.0,600.0,139100.0
2024-02-26,12050.0,86100.0,85900.0,100.0,86000.0
2024-02-26,12100.0,219000.0,3000.0,108000.0,111000.0
2024-02-26,12150.0,267900.0,116500.0,75700.0,192200.0
2024-02-26,12200.0,602000.0,94800.0,253600.0,348400.0
2024-02-26,12250.0,267000.0,188200.0,39400.0,227600.0
2024-02-26,12300.0,132700.0,132700.0,0.0,132700.0
2024-02-27,12000.0,223000.0,-223000.0,223000.0,0.0
2024-02-27,12050.0,803400.0,113000.0,345200.0,458200.0
2024-02-27,12100.0,211400.0,28200.0,91600.0,119800.0
2024-02-27,12150.0,66000.0,-65400.0,65700.0,300.0
2024-02-27,12200.0,70300.0,-15100.0,42700.0,27600.0
2024-02-27,12250.0,300.0,300.0,0.0,300.0
2024-02-27,12300.0,9300.0,9300.0,0.0,9300.0
2024-02-28,11950.0,327800.0,-292800.0,310300.0,17500.0
2024-02-28,12000.0,429500.0,-249700.0,339600.0,89900.0
2024-02-28,12050.0,240100.0,23500.0,108300.0,131800.0
2024-02-28,12100.0,254400.0,-114600.0,184500.0,69900.0
2024-02-28,12150.0,274000.0,39600.0,117200.0,156800.0
2024-02-28,12200.0,173100.0,83900.0,44600.0,128500.0
2024-02-28,12250.0,72500.0,36900.0,17800.0,54700.0
2024-02-29,11850.0,266100.0,-266100.0,266100.0,0.0
2024-02-29,11900.0,754900.0,-138700.0,446800.0,308100.0
2024-02-29,11950.0,267000.0,-14000.0,140500.0,126500.0
2024-02-29,12000.0,266900.0,15900.0,125500.0,141400.0
2024-02-29,12050.0,18600.0,-16400.0,17500.0,1100.0
2024-02-29,12100.0,63200.0,12600.0,25300.0,37900.0
2024-02-29,12150.0,17300.0,-9500.0,13400.0,3900.0
2024-02-29,12200.0,300.0,300.0,0.0,300.0
2024-03-01,11850.0,148300.0,-132900.0,140600.0,7700.0
2024-03-01,11900.0,259200.0,-76200.0,167700.0,91500.0
2024-03-01,11950.0,174000.0,-13600.0,93800.0,80200.0
2024-03-01,12000.0,288200.0,63200.0,112500.0,175700.0
2024-03-01,12050.0,181900.0,120700.0,30600.0,151300.0
2024-03-01,12100.0,101800.0,90400.0,5700.0,96100.0
2024-03-01,12150.0,30000.0,30000.0,0.0,30000.0
2024-03-04,12150.0,9100.0,5100.0,2000.0,7100.0
2024-03-04,12200.0,153100.0,-103700.0,128400.0,24700.0
2024-03-04,12250.0,518600.0,4800.0,256900.0,261700.0
2024-03-04,12300.0,561400.0,118600.0,221400.0,340000.0
2024-03-04,12350.0,378200.0,-9000.0,193600.0,184600.0
2024-03-04,12400.0,603400.0,-16000.0,309700.0,293700.0
2024-03-04,12450.0,570200.0,115800.0,227200.0,343000.0
2024-03-04,12500.0,558000.0,139600.0,209200.0,348800.0
2024-03-04,12550.0,248300.0,113500.0,67400.0,180900.0
2024-03-04,12600.0,77500.0,77500.0,0.0,77500.0
2024-03-05,12300.0,88700.0,-88700.0,88700.0,0.0
2024-03-05,12350.0,658500.0,900.0,328800.0,329700.0
2024-03-05,12400.0,314500.0,-42100.0,178300.0,136200.0
2024-03-05,12450.0,77000.0,4600.0,36200.0,40800.0
2024-03-05,12500.0,44600.0,13400.0,15600.0,29000.0
2024-03-05,12550.0,55900.0,-6900.0,31400.0,24500.0
2024-03-05,12600.0,5200.0,5200.0,0.0,5200.0
2024-03-06,12100.0,207800.0,-207800.0,207800.0,0.0
2024-03-06,12150.0,384700.0,-153300.0,269000.0,115700.0
2024-03-06,12200.0,358400.0,-271200.0,314800.0,43600.0
2024-03-06,12250.0,294300.0,-98900.0,196600.0,97700.0
2024-03-06,12300.0,122500.0,-100100.0,111300.0,11200.0
2024-03-06,12350.0,117300.0,-14500.0,65900.0,51400.0
2024-03-06,12400.0,58600.0,-20800.0,39700.0,18900.0
2024-03-06,12450.0,10700.0,1900.0,4400.0,6300.0
2024-03-06,12500.0,129700.0,-94900.0,112300.0,17400.0
2024-03-06,12550.0,107700.0,-38100.0,72900.0,34800.0
2024-03-06,12600.0,90900.0,39100.0,25900.0,65000.0
2024-03-06,12650.0,84900.0,18500.0,33200.0,51700.0
2024-03-07,11950.0,84100.0,-84100.0,84100.0,0.0
2024-03-07,12000.0,1179800.0,-342600.0,761200.0,418600.0
2024-03-07,12050.0,560600.0,-99400.0,330000.0,230600.0
2024-03-07,12100.0,255600.0,108200.0,73700.0,181900.0
2024-03-07,12150.0,19000.0,19000.0,0.0,19000.0
2024-03-08,11800.0,42900.0,-42900.0,42900.0,0.0
2024-03-08,11850.0,339100.0,-99300.0,219200.0,119900.0
2024-03-08,11900.0,657000.0,-210800.0,433900.0,223100.0
2024-03-08,11950.0,540700.0,-6500.0,273600.0,267100.0
2024-03-08,12000.0,130600.0,-81800.0,106200.0,24400.0
2024-03-08,12050.0,35200.0,4400.0,15400.0,19800.0
2024-03-08,12100.0,38800.0,-18000.0,28400.0,10400.0
2024-03-08,12150.0,31100.0,17100.0,7000.0,24100.0
2024-03-08,12200.0,40800.0,28800.0,6000.0,34800.0
2024-03-11,11650.0,21000.0,-21000.0,21000.0,0.0
