t,p,q,d,b,a
2024-02-15,19600.0,205500.0,21100.0,92200.0,113300.0
2024-02-15,19650.0,1144800.0,214000.0,465400.0,679400.0
2024-02-15,19700.0,968600.0,328400.0,320100.0,648500.0
2024-02-15,19750.0,2739600.0,-1169400.0,1954500.0,785100.0
2024-02-15,19800.0,4507500.0,598900.0,1954300.0,2553200.0
2024-02-15,19850.0,1636800.0,1334600.0,151100.0,1485700.0
2024-02-15,19900.0,1328400.0,304400.0,512000.0,816400.0
2024-02-15,19950.0,1932400.0,315600.0,808400.0,1124000.0
2024-02-15,20000.0,1597800.0,774600.0,411600.0,1186200.0
2024-02-15,20050.0,1018200.0,-67200.0,542700.0,475500.0
2024-02-15,20100.0,1368100.0,545700.0,411200.0,956900.0
2024-02-15,20150.0,218200.0,218200.0,0.0,218200.0
2024-02-16,19700.0,178800.0,-178800.0,178800.0,0.0
2024-02-16,19750.0,2518700.0,-725100.0,1621900.0,896800.0
2024-02-16,19800.0,2341000.0,669800.0,835600.0,1505400.0
2024-02-16,19850.0,861300.0,-216700.0,539000.0,322300.0
2024-02-16,19900.0,646200.0,-339400.0,492800.0,153400.0
2024-02-16,19950.0,288900.0,288500.0,200.0,288700.0
2024-02-19,19650.0,874300.0,-874300.0,874300.0,0.0
2024-02-19,19700.0,4302900.0,-1691500.0,2997200.0,1305700.0
2024-02-19,19750.0,2701300.0,288700.0,1206300.0,1495000.0
2024-02-19,19800.0,1606800.0,170400.0,718200.0,888600.0
2024-02-19,19850.0,800700.0,512300.0,144200.0,656500.0
2024-02-19,19900.0,28000.0,-3200.0,15600.0,12400.0
2024-02-19,19950.0,1300.0,1300.0,0.0,1300.0
2024-02-20,19500.0,570000.0,-570000.0,570000.0,0.0
2024-02-20,19550.0,3104100.0,-613700.0,1858900.0,1245200.0
2024-02-20,19600.0,1783600.0,-426000.0,1104800.0,678800.0
2024-02-20,19650.0,5079500.0,-2293500.0,3686500.0,1393000.0
2024-02-20,19700.0,4178200.0,2113400.0,1032400.0,3145800.0
2024-02-20,19750.0,44800.0,44800.0,0.0,44800.0
2024-02-21,19600.0,390200.0,-85200.0,237700.0,152500.0
2024-02-21,19650.0,1195500.0,-534100.0,864800.0,330700.0
2024-02-21,19700.0,2541200.0,380600.0,1080300.0,1460900.0
2024-02-21,19750.0,2778400.0,661000.0,1058700.0,1719700.0
2024-02-21,19800.0,3441300.0,-975700.0,2208500.0,1232800.0
2024-02-21,19850.0,3296900.0,56500.0,1620200.0,1676700.0
2024-02-21,19900.0,1678100.0,932900.0,372600.0,1305500.0
2024-02-21,19950.0,1507000.0,657200.0,424900.0,1082100.0
2024-02-21,20000.0,12800.0,12800.0,0.0,12800.0
2024-02-22,19600.0,315100.0,-315100.0,315100.0,0.0
2024-02-22,19650.0,2005100.0,-894900.0,1450000.0,555100.0
2024-02-22,19700.0,3103200.0,489000.0,1307100.0,1796100.0
2024-02-22,19750.0,1395400.0,420400.0,487500.0,907900.0
2024-02-22,19800.0,1235900.0,-115700.0,675800.0,560100.0
2024-02-22,19850.0,1023900.0,561700.0,231100.0,792800.0
2024-02-22,19900.0,69700.0,69700.0,0.0,69700.0
2024-02-23,19500.0,1148600.0,-1148600.0,1148600.0,0.0
2024-02-23,19550.0,1492600.0,-404600.0,948600.0,544000.0
2024-02-23,19600.0,1570400.0,-1360400.0,1465400.0,105000.0
2024-02-23,19650.0,1498200.0,-1043800.0,1271000.0,227200.0
2024-02-23,19700.0,3211100.0,-1957100.0,2584100.0,627000.0
2024-02-23,19750.0,2858600.0,-577200.0,1717900.0,1140700.0
2024-02-23,19800.0,4907000.0,921200.0,1992900.0,2914100.0
2024-02-23,19850.0,2009300.0,437700.0,785800.0,1223500.0
2024-02-23,19900.0,2446100.0,809700.0,818200.0,1627900.0
2024-02-23,19950.0,2737900.0,-66500.0,1402200.0,1335700.0
2024-02-23,20000.0,8197100.0,2553700.0,2821700.0,5375400.0
2024-02-23,20050.0,4640800.0,2422600.0,1109100.0,3531700.0
2024-02-23,20100.0,1556400.0,248400.0,654000.0,902400.0
2024-02-23,20150.0,1665000.0,101000.0,782000.0,883000.0
2024-02-23,20200.0,1357200.0,1357200.0,0.0,1357200.0
2024-02-23,20250.0,7500.0,7500.0,0.0,7500.0
