t,p,q,d,b,a
2024-02-15,21700.0,46700.0,-46700.0,46700.0,0.0
2024-02-15,21750.0,26300.0,-22300.0,24300.0,2000.0
2024-02-15,21800.0,207400.0,-109400.0,158400.0,49000.0
2024-02-15,21850.0,182600.0,-97600.0,140100.0,42500.0
2024-02-15,21900.0,360700.0,-252700.0,306700.0,54000.0
2024-02-15,21950.0,527300.0,-207300.0,367300.0,160000.0
2024-02-15,22000.0,785500.0,-240900.0,513200.0,272300.0
2024-02-15,22050.0,1144700.0,-858500.0,1001600.0,143100.0
2024-02-15,22100.0,947100.0,28900.0,459100.0,488000.0
2024-02-15,22150.0,136400.0,-84000.0,110200.0,26200.0
2024-02-15,22200.0,233400.0,-183000.0,208200.0,25200.0
2024-02-15,22250.0,274200.0,-144400.0,209300.0,64900.0
2024-02-15,22300.0,364600.0,154200.0,105200.0,259400.0
2024-02-15,22350.0,6400.0,-1800.0,4100.0,2300.0
2024-02-15,22400.0,600.0,600.0,0.0,600.0
2024-02-16,21800.0,49100.0,19100.0,15000.0,34100.0
2024-02-16,21850.0,45100.0,-45100.0,45100.0,0.0
2024-02-16,21900.0,184800.0,-178400.0,181600.0,3200.0
2024-02-16,21950.0,1012400.0,-118800.0,565600.0,446800.0
2024-02-16,22000.0,669700.0,290700.0,189500.0,480200.0
2024-02-16,22050.0,224700.0,32100.0,96300.0,128400.0
2024-02-16,22100.0,332700.0,157300.0,87700.0,245000.0
2024-02-16,22150.0,141100.0,43100.0,49000.0,92100.0
2024-02-16,22200.0,90400.0,90400.0,0.0,90400.0
2024-02-16,22250.0,40900.0,39900.0,500.0,40400.0
2024-02-16,22300.0,33700.0,30100.0,1800.0,31900.0
2024-02-16,22350.0,141800.0,-21400.0,81600.0,60200.0
2024-02-16,22400.0,162000.0,77800.0,42100.0,119900.0
2024-02-16,22450.0,469400.0,3400.0,233000.0,236400.0
2024-02-16,22500.0,454700.0,190900.0,131900.0,322800.0
2024-02-16,22550.0,229300.0,68500.0,80400.0,148900.0
2024-02-16,22600.0,184100.0,65100.0,59500.0,124600.0
2024-02-16,22650.0,100200.0,42800.0,28700.0,71500.0
2024-02-16,22700.0,6100.0,6100.0,0.0,6100.0
2024-02-19,22050.0,6400.0,-6400.0,6400.0,0.0
2024-02-19,22100.0,348000.0,-280400.0,314200.0,33800.0
2024-02-19,22150.0,280500.0,-226300.0,253400.0,27100.0
2024-02-19,22200.0,660900.0,-264900.0,462900.0,198000.0
2024-02-19,22250.0,474600.0,-45600.0,260100.0,214500.0
2024-02-19,22300.0,301900.0,-16100.0,159000.0,142900.0
2024-02-19,22350.0,96900.0,-86700.0,91800.0,5100.0
2024-02-19,22400.0,157600.0,-113800.0,135700.0,21900.0
2024-02-19,22450.0,177400.0,-11400.0,94400.0,83000.0
2024-02-19,22500.0,180400.0,2600.0,88900.0,91500.0
2024-02-19,22550.0,41600.0,12800.0,14400.0,27200.0
2024-02-19,22600.0,106100.0,-13300.0,59700.0,46400.0
2024-02-19,22650.0,80000.0,17600.0,31200.0,48800.0
2024-02-19,22700.0,50700.0,-13900.0,32300.0,18400.0
2024-02-19,22750.0,20000.0,20000.0,0.0,20000.0
2024-02-20,21900.0,41700.0,-41700.0,41700.0,0.0
2024-02-20,21950.0,137700.0,-134900.0,136300.0,1400.0
2024-02-20,22000.0,687900.0,-612300.0,650100.0,37800.0
2024-02-20,22050.0,1704800.0,-670800.0,1187800.0,517000.0
2024-02-20,22100.0,587900.0,217100.0,185400.0,402500.0
2024-02-20,22150.0,186500.0,-61900.0,124200.0,62300.0
2024-02-20,22200.0,78000.0,27200.0,25400.0,52600.0
2024-02-20,22250.0,195700.0,-25700.0,110700.0,85000.0
2024-02-20,22300.0,242300.0,148500.0,46900.0,195400.0
2024-02-20,22350.0,208400.0,41400.0,83500.0,124900.0
2024-02-20,22400.0,308400.0,112200.0,98100.0,210300.0
2024-02-20,22450.0,330900.0,300900.0,15000.0,315900.0
2024-02-20,22500.0,274800.0,274800.0,0.0,274800.0
2024-02-20,22550.0,31500.0,31500.0,0.0,31500.0
2024-02-20,22600.0,131800.0,131800.0,0.0,131800.0
2024-02-21,22450.0,10600.0,-10600.0,10600.0,0.0
2024-02-21,22500.0,398700.0,-97100.0,247900.0,150800.0
2024-02-21,22550.0,340500.0,20300.0,160100.0,180400.0
2024-02-21,22600.0,280200.0,-145000.0,212600.0,67600.0
2024-02-21,22650.0,386600.0,154400.0,116100.0,270500.0
2024-02-21,22700.0,373900.0,-169300.0,271600.0,102300.0
2024-02-21,22750.0,420600.0,-168800.0,294700.0,125900.0
2024-02-21,22800.0,438800.0,63600.0,187600.0,251200.0
2024-02-21,22850.0,191600.0,8600.0,91500.0,100100.0
2024-02-21,22900.0,427500.0,72500.0,177500.0,250000.0
2024-02-21,22950.0,179900.0,18100.0,80900.0,99000.0
2024-02-21,23000.0,168300.0,-58300.0,113300.0,55000.0
2024-02-21,23050.0,67100.0,14500.0,26300.0,40800.0
2024-02-21,23100.0,161700.0,112300.0,24700.0,137000.0
2024-02-21,23150.0,20400.0,20400.0,0.0,20400.0
2024-02-21,23200.0,10000.0,10000.0,0.0,10000.0
2024-02-22,22500.0,200.0,-200.0,200.0,0.0
2024-02-22,22550.0,301900.0,-281700.0,291800.0,10100.0
2024-02-22,22600.0,801000.0,-258000.0,529500.0,271500.0
2024-02-22,22650.0,692400.0,88000.0,302200.0,390200.0
2024-02-22,22700.0,444200.0,-109600.0,276900.0,167300.0
2024-02-22,22750.0,299100.0,185900.0,56600.0,242500.0
2024-02-22,22800.0,58700.0,4700.0,27000.0,31700.0
2024-02-22,22850.0,500.0,500.0,0.0,500.0
2024-02-23,22000.0,47400.0,-47400.0,47400.0,0.0
2024-02-23,22050.0,58500.0,-58500.0,58500.0,0.0
2024-02-23,22100.0,395800.0,-135600.0,265700.0,130100.0
2024-02-23,22150.0,355200.0,-89600.0,222400.0,132800.0
