t,p,q,d,b,a
2024-02-15,10350.0,500.0,-500.0,500.0,0.0
2024-02-15,10400.0,28000.0,-26200.0,27100.0,900.0
2024-02-15,10450.0,40900.0,-36900.0,38900.0,2000.0
2024-02-15,10500.0,72200.0,-10800.0,41500.0,30700.0
2024-02-15,10550.0,142500.0,-23500.0,83000.0,59500.0
2024-02-15,10600.0,39900.0,-28700.0,34300.0,5600.0
2024-02-15,10650.0,300.0,300.0,0.0,300.0
2024-02-15,10700.0,500.0,500.0,0.0,500.0
2024-02-16,10400.0,2400.0,-2400.0,2400.0,0.0
2024-02-16,10450.0,49100.0,-38900.0,44000.0,5100.0
2024-02-16,10500.0,67100.0,20700.0,23200.0,43900.0
2024-02-16,10550.0,6700.0,6700.0,0.0,6700.0
2024-02-19,10300.0,69800.0,-69800.0,69800.0,0.0
2024-02-19,10350.0,141900.0,-82500.0,112200.0,29700.0
2024-02-19,10400.0,73100.0,-20500.0,46800.0,26300.0
2024-02-19,10450.0,48900.0,-4700.0,26800.0,22100.0
2024-02-19,10500.0,900.0,700.0,100.0,800.0
2024-02-19,10550.0,1600.0,1600.0,0.0,1600.0
2024-02-20,10250.0,9300.0,-9300.0,9300.0,0.0
2024-02-20,10300.0,113500.0,-101300.0,107400.0,6100.0
2024-02-20,10350.0,107200.0,14800.0,46200.0,61000.0
2024-02-20,10400.0,113200.0,58400.0,27400.0,85800.0
2024-02-20,10450.0,15900.0,15900.0,0.0,15900.0
2024-02-20,10500.0,4800.0,4800.0,0.0,4800.0
2024-02-21,10200.0,27100.0,-27100.0,27100.0,0.0
2024-02-21,10250.0,131900.0,-55700.0,93800.0,38100.0
2024-02-21,10300.0,67800.0,46400.0,10700.0,57100.0
2024-02-21,10350.0,8200.0,3000.0,2600.0,5600.0
2024-02-21,10400.0,100.0,100.0,0.0,100.0
2024-02-22,10200.0,3400.0,-3400.0,3400.0,0.0
2024-02-22,10250.0,25500.0,-25500.0,25500.0,0.0
2024-02-22,10300.0,29800.0,2400.0,13700.0,16100.0
2024-02-22,10350.0,47500.0,28700.0,9400.0,38100.0
2024-02-22,10400.0,13500.0,13500.0,0.0,13500.0
2024-02-23,10050.0,12200.0,-12200.0,12200.0,0.0
2024-02-23,10100.0,38600.0,-31400.0,35000.0,3600.0
2024-02-23,10150.0,18700.0,-13300.0,16000.0,2700.0
2024-02-23,10200.0,85700.0,-46500.0,66100.0,19600.0
2024-02-23,10250.0,71000.0,-71000.0,71000.0,0.0
2024-02-23,10300.0,34700.0,-7100.0,20900.0,13800.0
2024-02-23,10350.0,42500.0,29300.0,6600.0,35900.0
2024-02-23,10400.0,3700.0,-500.0,2100.0,1600.0
2024-02-23,10500.0,2300.0,2300.0,0.0,2300.0
