t,delta,cum_del
2024-02-15,10012500.0,10012500.0
2024-02-16,4893700.0,14906200.0
2024-02-19,-520000.0,14386200.0
2024-02-20,-303700.0,14082500.0
2024-02-21,13158400.0,27240900.0
2024-02-22,3324500.0,30565400.0
2024-02-23,920700.0,31486100.0
2024-02-26,-229000.0,31257100.0
2024-02-27,-2462400.0,28794700.0
2024-02-28,6058000.0,34852700.0
2024-02-29,2324600.0,37177300.0
2024-03-01,-533900.0,36643400.0
2024-03-04,-5360000.0,31283400.0
2024-03-05,-3728200.0,27555200.0
2024-03-06,-2731300.0,24823900.0
2024-03-07,-1939300.0,22884600.0
2024-03-08,-10208600.0,12676000.0
2024-03-11,-2259900.0,10416100.0
2024-03-12,-1739800.0,8676300.0
2024-03-13,1364600.0,10040900.0
2024-03-14,-2653300.0,7387600.0
2024-03-15,-1047200.0,6340400.0
2024-03-18,-3959800.0,2380600.0
2024-03-19,-1805800.0,574800.0
2024-03-20,1401500.0,1976300.0
2024-03-21,69900.0,2046200.0
2024-03-22,-1355100.0,691100.0
2024-03-25,1879300.0,2570400.0
2024-03-26,3395200.0,5965600.0
2024-03-27,-881200.0,5084400.0
2024-03-28,-443900.0,4640500.0
2024-03-29,-851500.0,3789000.0
2024-04-01,-2005700.0,1783300.0
2024-04-02,-1375000.0,408300.0
2024-04-03,-1800000.0,-1391700.0
2024-04-04,-837000.0,-2228700.0
2024-04-05,-193800.0,-2422500.0
2024-04-08,4252400.0,1829900.0
2024-04-09,815700.0,2645600.0
2024-04-10,-1021400.0,1624200.0
2024-04-11,-1376200.0,248000.0
2024-04-12,2084700.0,2332700.0
2024-04-15,-4788700.0,-2456000.0
2024-04-16,7000.0,-2449000.0
2024-04-17,-3712400.0,-6161400.0
2024-04-19,-1299800.0,-7461200.0
2024-04-22,7129600.0,-331600.0
2024-04-23,-1817300.0,-2148900.0
2024-04-25,-1521500.0,-3670400.0
2024-04-26,-54800.0,-3725200.0
2024-05-02,-347300.0,-4072500.0
2024-05-03,-2415000.0,-6487500.0
2024-05-06,1309500.0,-5178000.0
2024-05-07,-556600.0,-5734600.0
2024-05-08,-1633900.0,-7368500.0
2024-05-09,6820800.0,-547700.0
2024-05-10,1120100.0,572400.0
2024-05-13,-1246400.0,-674000.0
2024-05-14,-668400.0,-1342400.0
2024-05-15,1152800.0,-189600.0
2024-05-16,-735900.0,-925500.0
2024-05-17,2804800.0,1879300.0
2024-05-20,6086100.0,7965400.0
2024-05-21,-1324700.0,6640700.0
2024-05-22,-1114600.0,5526100.0
2024-05-23,-560500.0,4965600.0
2024-05-24,-7097700.0,-2132100.0
2024-05-27,-2750800.0,-4882900.0
2024-05-28,-974900.0,-5857800.0
2024-05-29,-1636100.0,-7493900.0
2024-05-30,-2540400.0,-10034300.0
2024-05-31,-2722500.0,-12756800.0
2024-06-03,3890500.0,-8866300.0
2024-06-04,44400.0,-8821900.0
2024-06-05,-763800.0,-9585700.0
2024-06-06,941900.0,-8643800.0
2024-06-07,-415800.0,-9059600.0
2024-06-10,3223400.0,-5836200.0
2024-06-11,-1249600.0,-7085800.0
2024-06-12,260100.0,-6825700.0
2024-06-13,18023600.0,11197900.0
2024-06-14,-3437100.0,7760800.0
2024-06-17,-1843100.0,5917700.0
2024-06-18,-1218700.0,4699000.0
2024-06-19,-1325400.0,3373600.0
2024-06-20,266000.0,3639600.0
2024-06-21,-90300.0,3549300.0
2024-06-24,-3560200.0,-10900.0
2024-06-25,-521400.0,-532300.0
2024-06-26,-1603000.0,-2135300.0
2024-06-27,-844500.0,-2979800.0
2024-06-28,-1253200.0,-4233000.0
2024-07-01,-257200.0,-4490200.0
2024-07-02,-83100.0,-4573300.0
2024-07-03,-707000.0,-5280300.0
2024-07-04,1224200.0,-4056100.0
2024-07-05,-475500.0,-4531600.0
2024-07-08,5858400.0,1326800.0
2024-07-09,1039700.0,2366500.0
2024-07-10,-2096900.0,269600.0
2024-07-11,3176900.0,3446500.0
2024-07-12,-1358300.0,2088200.0
2024-07-15,-1479600.0,608600.0
2024-07-16,657800.0,1266400.0
2024-07-17,621600.0,1888000.0
2024-07-18,-326100.0,1561900.0
2024-07-19,14099400.0,15661300.0
2024-07-22,7841700.0,23503000.0
2024-07-23,-5232700.0,18270300.0
2024-07-24,4216900.0,22487200.0
2024-07-25,-3432900.0,19054300.0
2024-07-26,318400.0,19372700.0
2024-07-29,5493000.0,24865700.0
2024-07-30,-1582800.0,23282900.0
2024-07-31,9665000.0,32947900.0
2024-08-01,-4778200.0,28169700.0
2024-08-02,-996300.0,27173400.0
2024-08-05,-6611500.0,20561900.0
2024-08-06,1536800.0,22098700.0
2024-08-07,-137500.0,21961200.0
2024-08-08,-1820200.0,20141000.0
2024-08-09,3031600.0,23172600.0
2024-08-12,-115200.0,23057400.0
