t,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,18150,18630,18100,18340,25902501,1,10.0125,10.0125
2024-02-16,18390,18540,18290,18390,14364194,1,4.8937,14.9062
2024-02-19,18390,18440,18150,18290,8782998,1,-0.52,14.3862
2024-02-20,18240,18340,18150,18240,9315850,1,-0.3037,14.0825
2024-02-21,18240,18970,18050,18970,31800025,1,13.1584,27.2409
2024-02-22,18970,19220,18680,19020,15647874,1,3.3245,30.5654
2024-02-23,19070,19560,18580,18580,43609529,1,0.9207,31.4861
2024-02-26,18540,18780,18440,18630,8203673,1,-0.229,31.2571
2024-02-27,18630,18780,18340,18630,15272359,1,-2.4624,28.7947
2024-02-28,18730,19460,18580,19460,25604492,1,6.058,34.8527
2024-02-29,19460,19700,19170,19310,30163480,1,2.3246,37.1773
2024-03-01,19310,19410,19020,19310,14285287,1,-0.5339,36.6434
2024-03-04,19360,19410,18970,19070,15044312,1,-5.36,31.2834
2024-03-05,19070,19070,18780,18880,12297029,1,-3.7282,27.5552
2024-03-06,18880,19120,18580,18680,10019615,1,-2.7313,24.8239
2024-03-07,18830,18830,18630,18730,9138978,1,-1.9393,22.8846
2024-03-08,18730,18780,18100,18100,22069265,1,-10.2086,12.676
2024-03-11,18050,18290,17900,18000,11039443,1,-2.2599,10.4161
2024-03-12,18000,18200,17950,18000,7981563,1,-1.7398,8.6763
2024-03-13,18000,18490,17950,18490,7645139,1,1.3646,10.0409
2024-03-14,18490,18540,18100,18240,7678563,1,-2.6533,7.3876
2024-03-15,18200,18490,17950,18290,9001479,1,-1.0472,6.3404
2024-03-18,18490,18490,17220,17810,13706020,1,-3.9598,2.3806
2024-03-19,17810,17900,17710,17710,4383580,1,-1.8058,0.5748
2024-03-20,17710,18240,17470,18100,15981272,1,1.4015,1.9763
2024-03-21,18290,18340,18000,18240,9185199,1,0.0699,2.0462
2024-03-22,18290,18730,18150,18240,17972329,1,-1.3551,0.6911
2024-03-25,18290,18730,18200,18490,17585868,1,1.8793,2.5704
2024-03-26,18490,18680,18390,18630,10845104,1,3.3952,5.9656
2024-03-27,18680,18730,18490,18680,6032387,1,-0.8812,5.0844
2024-03-28,18880,18970,18490,18580,10136151,1,-0.4439,4.6405
2024-03-29,18680,18680,18490,18580,5777111,1,-0.8515,3.789
2024-04-01,18490,18540,18150,18240,10022082,1,-2.0057,1.7833
2024-04-02,18150,18340,17810,18340,10361316,1,-1.375,0.4083
2024-04-03,18290,18290,17950,18000,8205356,1,-1.8,-1.3917
2024-04-04,18000,18050,17810,17900,11409380,1,-0.837,-2.2287
2024-04-05,17710,17850,17610,17710,9631727,1,-0.1938,-2.4225
2024-04-08,17710,18100,17610,17760,11669502,1,4.2524,1.8299
2024-04-09,17850,18100,17660,18100,4447989,1,0.8157,2.6456
2024-04-10,18150,18150,17850,17850,4269718,1,-1.0214,1.6242
2024-04-11,17610,17850,17610,17850,6872629,1,-1.3762,0.248
2024-04-12,17850,18200,17760,18200,10983193,1,2.0847,2.3327
2024-04-15,17950,18150,17030,17030,12294528,1,-4.7887,-2.456
2024-04-16,17030,17270,16540,17120,16800367,1,0.007,-2.449
2024-04-17,17220,17220,16540,16540,6202546,1,-3.7124,-6.1614
2024-04-19,16490,16640,15960,16149,8466392,1,-1.2998,-7.4612
2024-04-22,16540,17080,16350,17030,12636955,1,7.1296,-0.3316
2024-04-23,16930,17120,16690,16780,6326477,1,-1.8173,-2.1489
2024-04-25,17470,17510,17220,17470,4945753,1,-1.5215,-3.6704
2024-04-26,17170,17470,17170,17420,3092380,1,-0.0548,-3.7252
2024-05-02,17420,17470,17170,17170,1668427,1,-0.3473,-4.0725
2024-05-03,17270,17420,17030,17030,7857085,1,-2.415,-6.4875
2024-05-06,17220,17420,17120,17320,4038552,1,1.3095,-5.178
2024-05-07,17370,17370,17120,17270,2575038,1,-0.5566,-5.7346
2024-05-08,17220,17320,17080,17270,4168883,1,-1.6339,-7.3685
2024-05-09,17320,17900,17220,17660,15538786,1,6.8208,-0.5477
2024-05-10,17710,17810,17510,17610,8321349,1,1.1201,0.5724
2024-05-13,17610,17850,17420,17510,5844574,1,-1.2464,-0.674
2024-05-14,17560,17710,17420,17510,4387329,1,-0.6684,-1.3424
2024-05-15,17710,17710,17420,17470,9488725,1,1.1528,-0.1896
2024-05-16,17710,17900,17510,17850,9640850,1,-0.7359,-0.9255
2024-05-17,17900,18150,17760,17900,12136290,1,2.8048,1.8793
2024-05-20,17900,18100,17900,17950,13765827,1,6.0861,7.9654
2024-05-21,18000,18000,17710,17850,4451104,1,-1.3247,6.6407
2024-05-22,17900,17950,17610,17660,6157747,1,-1.1146,5.5261
2024-05-23,17660,17810,17560,17810,5062723,1,-0.5605,4.9656
2024-05-24,17510,17850,17120,17270,15603862,1,-7.0977,-2.1321
2024-05-27,17270,17420,17080,17220,5793453,1,-2.7508,-4.8829
2024-05-28,17320,17420,17220,17370,4458316,1,-0.9749,-5.8578
2024-05-29,17420,17420,17220,17220,4683211,1,-1.6361,-7.4939
2024-05-30,17220,17270,17030,17220,6362308,1,-2.5404,-10.0343
2024-05-31,17220,17320,17080,17170,3888474,1,-2.7225,-12.7568
2024-06-03,17270,17850,17220,17560,12045228,1,3.8905,-8.8663
2024-06-04,17660,17710,17510,17560,4465731,1,0.0444,-8.8219
2024-06-05,17560,17660,17470,17510,4057482,1,-0.7638,-9.5857
2024-06-06,17510,17850,17470,17760,8350356,1,0.9419,-8.6438
2024-06-07,17810,17900,17610,17610,3481908,1,-0.4158,-9.0596
2024-06-10,17760,18100,17710,17850,13101015,1,3.2234,-5.8362
2024-06-11,17900,18000,17660,17710,4549487,1,-1.2496,-7.0858
2024-06-12,17710,18000,17660,17950,6748117,1,0.2601,-6.8257
2024-06-13,18000,18580,17950,18490,44008939,1,18.0236,11.1979
2024-06-14,18490,18580,18150,18150,11914278,1,-3.4371,7.7608
2024-06-17,18200,18200,17900,18050,9227155,1,-1.8431,5.9177
2024-06-18,18240,18240,18000,18100,7925120,1,-1.2187,4.699
2024-06-19,18200,18240,17900,18050,8455930,1,-1.3254,3.3736
2024-06-20,18300,18300,18000,18250,8933153,1,0.266,3.6396
2024-06-21,18150,18350,18050,18100,7478006,1,-0.0903,3.5493
2024-06-24,18050,18100,17400,17400,9998726,1,-3.5602,-0.0109
2024-06-25,17550,17600,17400,17550,4195120,1,-0.5214,-0.5323
2024-06-26,17500,17550,17300,17550,4414757,1,-1.603,-2.1353
2024-06-27,17450,17550,17350,17450,2870324,1,-0.8445,-2.9798
2024-06-28,17250,17500,17100,17200,5437684,1,-1.2532,-4.233
2024-07-01,17200,17350,17150,17350,2304798,1,-0.2572,-4.4902
2024-07-02,17350,17600,17350,17450,2732397,1,-0.0831,-4.5733
2024-07-03,17500,17700,17450,17550,3470501,1,-0.707,-5.2803
2024-07-04,17600,17800,17550,17650,4745748,1,1.2242,-4.0561
2024-07-05,17650,17700,17450,17700,2533797,1,-0.4755,-4.5316
2024-07-08,17700,18050,17700,17750,12786282,1,5.8584,1.3268
2024-07-09,17750,18000,17700,17900,7759602,1,1.0397,2.3665
2024-07-10,18000,18000,17600,17850,4930100,1,-2.0969,0.2696
2024-07-11,17900,18050,17750,17900,9298029,1,3.1769,3.4465
2024-07-12,17900,18000,17800,17950,4263833,1,-1.3583,2.0882
2024-07-15,17950,18000,17600,17650,2941273,1,-1.4796,0.6086
2024-07-16,17700,18050,17700,17850,4742215,1,0.6578,1.2664
2024-07-17,17850,18300,17700,17850,10970541,1,0.6216,1.888
2024-07-18,17950,18000,17700,18000,3673666,1,-0.3261,1.5619
2024-07-19,18000,18550,17900,18400,42893806,1,14.0994,15.6613
2024-07-22,18400,18900,18300,18600,32705162,1,7.8417,23.503
2024-07-23,18650,18700,17300,17750,14193128,1,-5.2327,18.2703
