,o,h,l,c,v,pot,pot_ask,pot_bid
2024-02-15,17.4,17.45,17.15,17.3,1199810,1,1,1
2024-02-16,17.4,17.55,17.15,17.3,1306613,1,1,1
2024-02-19,17.35,17.35,16.9,17.2,1716835,1,1,1
2024-02-20,17.3,17.75,17.3,17.5,2708617,1,1,1
2024-02-21,17.5,17.5,17.2,17.4,878476,1,1,1
2024-02-22,17.4,17.5,17.1,17.15,1137260,1,1,1
2024-02-23,17.25,17.3,16.15,16.55,2620174,1,1,1
2024-02-26,16.6,17.3,16.5,17.3,2081147,1,1,1
2024-02-27,17.35,17.65,17.15,17.4,1598658,1,1,1
2024-02-28,17.5,17.5,17.1,17.3,1121093,1,1,1
2024-02-29,17.4,17.8,17.3,17.45,2740656,1,1,1
2024-03-01,17.65,18.5,17.5,18.1,3490695,1,1,1
2024-03-04,18.25,18.45,17.8,18.1,1855453,1,1,1
2024-03-05,18.1,18.8,17.7,18.8,3115430,1,1,1
2024-03-06,19.0,19.4,18.6,19.1,3844314,1,1,1
2024-03-07,19.4,20.4,19.4,20.4,4335493,1,1,1
2024-03-08,21.0,21.35,20.5,21.0,5478863,1,1,1
2024-03-11,20.8,21.6,20.5,21.2,3088526,1,1,1
2024-03-12,21.2,21.25,20.5,20.9,2898076,1,1,1
2024-03-13,21.0,21.9,20.7,21.8,3897868,1,1,1
2024-03-14,22.0,22.0,21.1,21.35,3849549,1,1,1
2024-03-15,21.35,21.5,20.7,21.5,3016910,1,1,1
2024-03-18,21.6,21.65,20.0,20.15,6766885,1,1,1
2024-03-19,20.2,20.5,19.9,20.25,2085887,1,1,1
2024-03-20,20.3,20.9,20.1,20.75,1936446,1,1,1
2024-03-21,21.35,21.5,20.55,20.8,2967946,1,1,1
2024-03-22,20.9,21.5,20.75,21.1,3697260,1,1,1
2024-03-25,21.1,21.35,20.65,20.75,1952077,1,1,1
2024-03-26,20.55,21.15,20.4,21.1,1245585,1,1,1
2024-03-27,21.4,21.4,21.05,21.2,1411477,1,1,1
2024-03-28,21.5,22.65,21.45,22.65,5942894,1,1,1
2024-03-29,22.65,22.75,22.15,22.3,2389889,1,1,1
2024-04-01,22.3,22.5,21.7,22.15,1968083,1,1,1
2024-04-02,22.0,22.3,21.75,22.3,1879680,1,1,1
2024-04-03,22.7,23.0,21.7,21.8,3392278,1,1,1
2024-04-04,21.8,21.8,21.0,21.3,2605917,1,1,1
2024-04-05,20.8,20.9,20.5,20.5,3103559,1,1,1
2024-04-08,20.25,20.75,20.1,20.25,2280954,1,1,1
2024-04-09,20.35,21.05,20.3,21.05,1801842,1,1,1
2024-04-10,21.1,21.1,20.6,20.7,1264565,1,1,1
2024-04-11,20.2,21.0,20.2,20.95,1435238,1,1,1
2024-04-12,21.2,21.7,20.85,21.65,2278589,1,1,1
2024-04-15,21.7,22.45,20.15,20.15,5477730,1,1,1
2024-04-16,20.15,20.5,18.85,20.5,4297873,1,1,1
2024-04-17,20.7,20.9,19.65,19.65,2932285,1,1,1
2024-04-19,18.65,19.35,18.3,18.3,6263895,1,1,1
2024-04-22,18.8,19.35,18.2,19.0,2913697,1,1,1
2024-04-23,19.1,19.1,17.7,17.7,3430936,1,1,1
2024-04-25,18.5,18.55,18.0,18.2,1979933,1,1,1
